,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Economic,Capacity_and_resources,Morality,Fairness_and_equality,Legality_jurisdiction,Policy_prescription,Crime_and_punishment,Security_and_defense,Health_and_safety,Quality_of_life,Cultural_identity,Public_sentiment,Political,External_regulation,Other
Immigration1.0-36397,0,0,1,new york times,1988,7,17,19880717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-36396,0,0,1,new york times,1988,7,17,19880717,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-31872,0,0,1,palm beach post,2011,10,29,20111029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-36398,0,0,1,new york times,1988,7,17,19880717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-16091,0,1,0,new york times,2004,7,30,20040730,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-20887,0,0,1,washington post,2006,5,4,20060504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-5301,0,0,1,new york times,1998,7,11,19980711,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-16099,0,0,1,washington post,2004,7,29,20040729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-26486,0,0,1,atlanta journal and constitution,2008,4,27,20080427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-24419,0,0,1,usa today,2007,5,25,20070525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-26482,0,0,1,washington post,2008,4,29,20080429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-26481,0,0,1,san jose mercury news,2008,4,29,20080429,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-33707,0,1,0,atlanta journal and constitution,2012,10,11,20121011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-21172,0,1,0,st. petersburg times,2006,6,2,20060602,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-38395,0,0,1,new york times,1992,2,19,19920219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-21216,0,0,1,usa today,2006,5,30,20060530,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-21214,0,0,1,saint paul pioneer press,2006,5,30,20060530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-10077,0,0,1,new york times,2001,8,5,20010805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-27689,0,0,1,new york times,2008,10,18,20081018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-1825,0,0,1,palm beach post,1996,5,30,19960530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-14949,0,0,1,washington post,2003,10,30,20031030,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-13660,0,0,1,daily news,2003,1,13,20030113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-14947,0,0,1,philadelphia inquirer,2003,10,30,20031030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-29761,0,1,0,san jose mercury news,2010,7,29,20100729,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-10384,0,0,0,daily news,2001,10,19,20011019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-10389,0,0,1,washington post,2001,10,19,20011019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-17766,0,0,1,san jose mercury news,2005,8,26,20050826,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-39661,0,0,1,usa today,1993,6,8,19930608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-31418,0,0,1,new york times,2011,8,17,20110817,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-378,0,1,0,philadelphia inquirer,1995,8,29,19950829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-20221,0,0,1,usa today,2006,4,28,20060428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-372,0,0,1,daily news,1995,8,29,19950829,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-376,0,0,1,new york times,1995,8,29,19950829,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-35570,0,0,1,new york times,1985,7,26,19850726,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-7653,0,0,1,new york times,2000,1,12,20000112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37717,0,0,1,palm beach post,1991,10,28,19911028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-41079,0,1,0,usa today,1994,12,5,19941205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28145,0,0,1,atlanta journal and constitution,2010,1,15,20100115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-28142,0,0,1,san jose mercury news,2009,4,1,20090401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-34164,0,0,1,daily news,2012,12,2,20121202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-39442,0,0,1,palm beach post,1993,7,29,19930729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-39440,0,0,1,washington post,1993,7,30,19930730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-22151,0,0,0,daily news,2006,8,20,20060820,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-32474,0,0,1,new york times,2012,1,1,20120101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-11031,0,0,1,saint paul pioneer press,2001,11,18,20011118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-11034,0,0,1,washington post,2001,11,18,20011118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-35410,0,0,1,new york times,1983,5,24,19830524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37153,0,0,1,st. louis post-dispatch,1989,2,21,19890221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-7430,0,0,1,philadelphia inquirer,2000,2,19,20000219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-19011,0,0,1,daily news,2005,12,23,20051223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-7436,0,0,1,st. louis post-dispatch,2000,2,19,20000219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-7438,0,0,1,washington post,2000,2,19,20000219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-41212,0,0,1,san jose mercury news,1994,11,11,19941111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18490,0,0,1,daily news,2005,10,13,20051013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18491,0,0,1,palm beach post,2005,10,13,20051013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-18492,0,0,1,st. petersburg times,2005,10,13,20051013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-6740,0,0,1,palm beach post,1999,5,25,19990525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-6742,0,0,1,new york times,1999,5,23,19990523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-26315,0,0,1,new york times,2008,5,27,20080527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-26311,0,0,1,atlanta journal and constitution,2008,5,27,20080527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-6749,0,0,1,new york times,1999,5,21,19990521,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-13863,0,0,1,atlanta journal and constitution,2003,6,5,20030605,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-18167,0,0,1,new york times,2005,12,10,20051210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-16562,0,0,1,san jose mercury news,2004,11,19,20041119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-18721,0,0,1,denver post,2006,2,12,20060212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18727,0,0,1,washington post,2006,2,12,20060212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-18724,0,0,1,philadelphia inquirer,2006,2,12,20060212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-36143,0,0,1,new york times,1986,7,8,19860708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-16568,0,0,1,st. petersburg times,2004,11,18,20041118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-18729,0,0,1,atlanta journal and constitution,2006,2,11,20060211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-10802,0,0,1,washington post,2001,12,20,20011220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-16152,0,0,1,san jose mercury news,2004,7,16,20040716,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-32393,0,0,1,new york times,2012,1,24,20120124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-34768,0,1,0,new york times,1981,10,10,19811010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-25663,0,0,1,denver post,2007,10,31,20071031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-20949,0,0,1,atlanta journal and constitution,2006,6,21,20060621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-30733,0,0,1,daily news,2010,12,31,20101231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-30736,0,0,1,washington post,2010,12,31,20101231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-32645,0,0,1,st. petersburg times,2011,11,28,20111128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-32646,0,0,1,washington post,2011,11,28,20111128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-9338,0,0,1,atlanta journal and constitution,2001,2,22,20010222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25271,0,0,1,st. petersburg times,2007,8,25,20070825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28312,0,0,1,san jose mercury news,2009,11,17,20091117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-28316,0,0,1,new york times,2009,11,14,20091114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-34393,0,0,1,new york times,1980,4,8,19800408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-9806,0,0,1,new york times,2001,5,23,20010523,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-5463,0,0,1,denver post,1998,5,31,19980531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-5464,0,0,1,herald-sun,1998,5,31,19980531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-1140,0,0,1,new york times,1995,10,3,19951003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-9773,0,0,1,saint paul pioneer press,2001,5,27,20010527,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-38099,0,0,1,st. louis post-dispatch,1991,3,19,19910319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-17575,0,0,0,washington post,2005,4,15,20050415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-4846,0,0,1,philadelphia inquirer,1998,3,22,19980322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-1367,0,0,1,washington post,1996,3,21,19960321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-1363,0,0,1,st. louis post-dispatch,1996,3,21,19960321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-1361,0,0,1,st. petersburg times,1996,3,21,19960321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-38273,0,0,1,palm beach post,1992,5,6,19920506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-38276,0,0,1,new york times,1992,5,3,19920503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-33519,0,0,1,new york times,2012,6,15,20120615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-4513,0,0,1,denver post,1997,10,31,19971031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-31602,0,0,1,new york times,2011,7,6,20110706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-31606,0,0,1,atlanta journal and constitution,2011,7,5,20110705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-4514,0,0,1,palm beach post,1997,10,31,19971031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-39059,0,1,0,new york times,1992,6,21,19920621,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-39058,0,0,1,new york times,1992,6,21,19920621,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-29407,0,0,1,palm beach post,2010,5,6,20100506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-29959,0,0,1,washington post,2010,7,7,20100707,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-14006,0,0,1,saint paul pioneer press,2003,5,15,20030515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-14002,0,0,1,new york times,2003,5,15,20030515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-10249,0,1,0,denver post,2001,7,14,20010714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-10245,0,0,1,new york times,2001,7,15,20010715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-10246,0,0,1,palm beach post,2001,7,15,20010715,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-8177,0,0,1,atlanta journal and constitution,2000,3,16,20000316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-16717,0,0,1,daily news,2004,10,12,20041012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-16713,0,0,1,philadelphia inquirer,2004,10,13,20041013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-23335,0,0,1,new york times,2007,2,27,20070227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-583,0,0,1,daily news,1995,6,23,19950623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-584,0,0,1,philadelphia inquirer,1995,6,23,19950623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-21796,0,0,1,washington post,2006,7,1,20060701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-21794,0,0,1,st. petersburg times,2006,7,1,20060701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-40623,0,0,1,palm beach post,1994,6,11,19940611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-8016,0,0,1,washington post,2000,4,9,20000409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-8015,0,0,1,st. louis post-dispatch,2000,4,9,20000409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-632,0,0,1,atlanta journal and constitution,1995,6,17,19950617,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-637,0,0,0,atlanta journal and constitution,1995,6,15,19950615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-636,0,0,1,philadelphia inquirer,1995,6,16,19950616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37528,0,0,1,palm beach post,1990,6,3,19900603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-30893,0,0,1,saint paul pioneer press,2011,6,2,20110602,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-32000,0,0,1,palm beach post,2011,10,10,20111010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-19357,0,0,1,herald-sun,2006,3,22,20060322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-19601,0,0,1,new york times,2006,4,12,20060412,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-22313,0,0,1,san jose mercury news,2006,11,15,20061115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-14318,0,0,1,herald-sun,2003,9,24,20030924,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-15067,0,0,1,new york times,2004,2,19,20040219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-16,0,0,1,san jose mercury news,1995,4,25,19950425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-9948,0,0,1,st. petersburg times,2001,8,25,20010825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-9491,0,0,1,philadelphia inquirer,2001,1,11,20010111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-9942,0,1,0,new york times,2001,8,26,20010826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-22176,0,0,1,san jose mercury news,2006,8,19,20060819,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-22174,0,0,1,new york times,2006,8,19,20060819,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-25786,0,0,1,st. louis post-dispatch,2007,10,18,20071018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-3189,0,1,0,atlanta journal and constitution,1997,2,19,19970219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-965,0,0,1,new york times,1995,11,26,19951126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-18568,0,0,1,washington post,2005,9,30,20050930,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-6491,0,0,1,palm beach post,1999,7,25,19990725,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-11839,0,0,1,herald-sun,2002,3,29,20020329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration1.0-11838,0,0,1,denver post,2002,3,29,20020329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-11529,0,0,1,washington post,2002,1,8,20020108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-11524,0,0,1,st. louis post-dispatch,2002,1,9,20020109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-2322,0,0,1,herald-sun,1996,9,10,19960910,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-2323,0,0,1,san jose mercury news,1996,9,10,19960910,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-11837,0,0,1,daily news,2002,3,29,20020329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-3450,0,0,1,washington post,1997,6,11,19970611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-36803,0,0,1,new york times,1987,2,11,19870211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-24781,0,0,1,denver post,2007,7,2,20070702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-6008,0,0,1,saint paul pioneer press,1999,4,12,19990412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-32229,0,0,1,washington post,2011,9,3,20110903,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-21151,0,0,1,st. louis post-dispatch,2006,6,4,20060604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-21154,0,1,0,new york times,2006,6,3,20060603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-21158,0,0,1,san jose mercury news,2006,6,3,20060603,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-33728,0,0,1,new york times,2012,10,5,20121005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-5676,0,1,0,st. petersburg times,1998,11,29,19981129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-26467,0,0,1,new york times,2008,5,1,20080501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-14822,0,0,1,san jose mercury news,2003,11,25,20031125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-5302,0,0,1,new york times,1998,7,11,19980711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-13608,0,0,1,washington post,2003,1,22,20030122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Immigration1.0-10013,0,0,1,herald-sun,2001,8,14,20010814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-4988,0,0,1,denver post,1998,2,15,19980215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-10015,0,0,1,atlanta journal and constitution,2001,8,13,20010813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-17292,0,1,0,daily news,2005,6,5,20050605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-4980,0,0,1,san jose mercury news,1998,2,19,19980219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-11110,0,0,1,st. petersburg times,2001,11,5,20011105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-29574,0,0,1,washington post,2010,8,18,20100818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-14805,0,0,1,atlanta journal and constitution,2003,11,27,20031127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-5586,0,0,1,palm beach post,1998,5,1,19980501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-1802,0,0,1,washington post,1996,6,7,19960607,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-5589,0,0,1,herald-sun,1998,12,31,19981231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-30078,0,0,1,daily news,2010,11,14,20101114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-38131,0,1,0,palm beach post,1991,2,21,19910221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration1.0-38130,0,0,1,palm beach post,1991,2,21,19910221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-31478,0,0,1,daily news,2011,7,31,20110731,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-39601,0,1,0,atlanta journal and constitution,1993,6,18,19930618,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-14809,0,0,1,new york times,2003,11,26,20031126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-39608,0,0,1,atlanta journal and constitution,1993,6,16,19930616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-356,0,0,1,new york times,1995,1,3,19950103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-3514,0,0,1,saint paul pioneer press,1997,5,25,19970525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-20144,0,0,1,usa today,2006,5,1,20060501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-1776,0,0,1,san jose mercury news,1996,6,12,19960612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-1778,0,1,0,denver post,1996,6,11,19960611,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-35596,0,0,1,new york times,1985,6,19,19850619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
