,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit
gun_control1.0-10101,0,0,1,saint paul pioneer press,2005,8,31,20050831,0.255736278,0.285118272,0.45914545,0.000164184,0.999835816
gun_control1.0-10102,0,0,1,st. louis post-dispatch,2005,8,28,20050828,0.163004451,0.095094719,0.741900831,0.0054893,0.9945107
gun_control1.0-10103,0,0,0,washington post,2005,8,27,20050827,0.658133714,0.115628338,0.226237948,0.013491357,0.986508643
gun_control1.0-10104,0,0,0,atlanta journal and constitution,2005,8,5,20050805,0.615437089,0.098520604,0.286042307,0.1236984,0.8763016
gun_control1.0-10105,0,0,0,st. louis post-dispatch,2005,8,5,20050805,0.549905109,0.034588522,0.415506369,0.11383219,0.88616781
gun_control1.0-10106,0,0,0,new york times,2005,8,4,20050804,0.331690148,0.038515185,0.629794666,0.236985361,0.763014639
gun_control1.0-10107,0,0,0,saint paul pioneer press,2005,8,2,20050802,0.384220738,0.277589172,0.33819009,0.000594815,0.999405185
gun_control1.0-10108,0,0,0,atlanta journal and constitution,2005,8,1,20050801,0.189463466,0.07547697,0.735059564,0.971289886,0.028710114
gun_control1.0-10109,0,0,1,denver post,2005,7,31,20050731,0.392876072,0.359442361,0.247681567,6.33E-05,0.999936702
gun_control1.0-1011,0,0,0,st. louis post-dispatch,1991,5,10,19910510,0.065760419,0.115349828,0.818889754,4.78E-05,0.99995222
gun_control1.0-10110,0,0,0,new york times,2005,7,31,20050731,0.192777287,0.066686782,0.740535931,0.136486176,0.863513824
gun_control1.0-10112,0,0,0,new york times,2005,7,30,20050730,0.215001778,0.104695005,0.680303217,0.005372139,0.994627861
gun_control1.0-10113,0,0,0,new york times,2005,7,30,20050730,0.511646234,0.216211425,0.272142341,0.002082375,0.997917625
gun_control1.0-10114,0,0,0,philadelphia inquirer,2005,7,30,20050730,0.199619793,0.429940654,0.370439552,0.017562009,0.982437991
gun_control1.0-10115,0,0,1,saint paul pioneer press,2005,7,30,20050730,0.596458901,0.225025542,0.178515557,0.012612672,0.987387328
gun_control1.0-10117,0,0,0,st. louis post-dispatch,2005,7,30,20050730,0.147115858,0.123594743,0.729289399,0.024704654,0.975295346
gun_control1.0-10118,0,0,1,washington post,2005,7,29,20050729,0.312727614,0.098458088,0.588814298,0.14862682,0.85137318
gun_control1.0-10119,0,0,1,new york times,2005,7,28,20050728,0.134530568,0.094546906,0.770922526,0.965898371,0.034101629
gun_control1.0-1012,0,0,1,usa today,1991,5,10,19910510,0.13003777,0.076962489,0.792999741,0.969481694,0.030518306
gun_control1.0-10120,0,1,0,philadelphia inquirer,2005,7,27,20050727,0.273852603,0.095857124,0.630290272,0.999306004,0.000693996
gun_control1.0-10121,0,0,1,washington post,2005,7,27,20050727,0.453951637,0.102603998,0.443444365,0.00394502,0.99605498
gun_control1.0-10123,0,0,0,st. louis post-dispatch,2005,7,26,20050726,0.393748806,0.183116135,0.423135059,0.000618824,0.999381176
gun_control1.0-10124,0,0,1,saint paul pioneer press,2005,7,24,20050724,0.706904405,0.063673762,0.229421833,0.978112885,0.021887115
gun_control1.0-10125,0,0,0,new york times,2005,7,23,20050723,0.269872971,0.116259352,0.613867676,0.000169137,0.999830863
gun_control1.0-10126,0,0,1,atlanta journal and constitution,2005,7,20,20050720,0.230293277,0.043092816,0.726613907,0.789660556,0.210339444
gun_control1.0-10127,0,0,0,new york times,2005,7,19,20050719,0.081405113,0.073295713,0.845299174,0.010192533,0.989807467
gun_control1.0-10128,0,0,1,philadelphia inquirer,2005,7,19,20050719,0.643887988,0.177176219,0.178935793,5.39E-05,0.999946149
gun_control1.0-1013,0,0,1,usa today,1991,5,10,19910510,0.131905743,0.222454799,0.645639459,0.002295871,0.997704129
gun_control1.0-10130,0,0,0,st. louis post-dispatch,2005,7,19,20050719,0.135028349,0.138573024,0.726398628,0.000965233,0.999034767
gun_control1.0-10131,0,0,1,st. petersburg times,2005,7,19,20050719,0.686747216,0.150094911,0.163157873,0.000176037,0.999823963
gun_control1.0-10132,0,0,1,st. louis post-dispatch,2005,7,13,20050713,0.470509104,0.272562752,0.256928144,9.67E-05,0.999903258
gun_control1.0-10133,0,0,0,new york times,2005,7,11,20050711,0.184652677,0.160691559,0.654655764,0.89557949,0.10442051
gun_control1.0-10134,0,0,0,washington post,2005,7,5,20050705,0.571357284,0.047101769,0.381540946,0.984273444,0.015726556
gun_control1.0-10135,0,0,1,atlanta journal and constitution,2005,7,1,20050701,0.626927689,0.04008274,0.332989571,0.983767853,0.016232147
gun_control1.0-10137,0,1,0,washington post,2005,7,1,20050701,0.467857469,0.078495324,0.453647207,0.010061435,0.989938565
gun_control1.0-10138,0,0,1,washington post,2005,6,29,20050629,0.264971065,0.266967502,0.468061433,0.009659042,0.990340958
gun_control1.0-1014,0,0,1,usa today,1991,5,10,19910510,0.177801582,0.132914037,0.689284381,0.03040788,0.96959212
gun_control1.0-10141,0,1,0,washington post,2005,6,17,20050617,0.343597412,0.228479047,0.42792354,0.003088154,0.996911846
gun_control1.0-10142,0,0,0,philadelphia inquirer,2005,6,14,20050614,0.191126461,0.068046466,0.740827073,0.003509734,0.996490266
gun_control1.0-10143,0,0,0,denver post,2005,6,10,20050610,0.491890743,0.18845213,0.319657128,0.004426339,0.995573661
gun_control1.0-10144,0,0,0,denver post,2005,6,10,20050610,0.333915551,0.199549126,0.466535323,0.00320508,0.99679492
gun_control1.0-10145,0,0,1,palm beach post,2005,6,4,20050604,0.562840759,0.037371505,0.399787736,0.857238064,0.142761936
gun_control1.0-10146,0,0,0,palm beach post,2005,6,4,20050604,0.197779645,0.136810258,0.665410098,0.034100071,0.965899929
gun_control1.0-10147,0,0,0,washington post,2005,6,2,20050602,0.178481131,0.036194969,0.7853239,0.999623213,0.000376787
gun_control1.0-10148,0,0,0,new york times,2005,5,30,20050530,0.086862903,0.070149538,0.842987559,0.96231589,0.03768411
gun_control1.0-10149,0,0,0,saint paul pioneer press,2005,5,26,20050526,0.539446515,0.159579104,0.300974381,0.002811834,0.997188166
gun_control1.0-1015,0,0,1,usa today,1991,5,10,19910510,0.313111133,0.134117879,0.552770988,0.059594658,0.940405342
gun_control1.0-10150,0,0,0,st. louis post-dispatch,2005,5,26,20050526,0.256243211,0.073118693,0.670638096,0.02348452,0.97651548
gun_control1.0-10151,0,0,0,washington post,2005,5,26,20050526,0.396676658,0.072591674,0.530731668,0.6657746,0.3342254
gun_control1.0-10152,0,0,0,atlanta journal and constitution,2005,5,25,20050525,0.224778094,0.038958026,0.73626388,0.977886011,0.022113989
gun_control1.0-10153,0,0,0,philadelphia inquirer,2005,5,25,20050525,0.258831347,0.095853246,0.645315407,0.030499854,0.969500146
gun_control1.0-10154,0,0,0,saint paul pioneer press,2005,5,25,20050525,0.384281907,0.117254253,0.498463839,0.01418036,0.98581964
gun_control1.0-10155,0,0,0,st. louis post-dispatch,2005,5,25,20050525,0.173855144,0.330363492,0.495781364,0.0044764,0.9955236
gun_control1.0-10156,0,1,0,washington post,2005,5,22,20050522,0.085940909,0.081429932,0.832629159,0.976787847,0.023212153
gun_control1.0-10159,0,0,1,washington post,2005,5,20,20050520,0.192994497,0.111064593,0.69594091,0.007742736,0.992257264
gun_control1.0-1016,0,0,0,washington post,1991,5,10,19910510,0.161802233,0.311620335,0.526577432,3.89E-05,0.999961101
gun_control1.0-10160,0,0,0,philadelphia inquirer,2005,5,19,20050519,0.114702391,0.162843654,0.722453955,0.005784132,0.994215868
gun_control1.0-10161,0,0,0,saint paul pioneer press,2005,5,19,20050519,0.596809232,0.127695063,0.275495705,0.008111759,0.991888241
gun_control1.0-10162,0,0,1,philadelphia inquirer,2005,5,18,20050518,0.257117863,0.1136787,0.629203437,0.000363466,0.999636534
gun_control1.0-10163,0,0,0,philadelphia inquirer,2005,5,18,20050518,0.168515826,0.116488196,0.714995978,0.011309705,0.988690295
gun_control1.0-10164,0,0,0,saint paul pioneer press,2005,5,18,20050518,0.529355742,0.183518069,0.287126189,0.003397199,0.996602801
gun_control1.0-10165,0,0,1,saint paul pioneer press,2005,5,17,20050517,0.41272236,0.116008378,0.471269262,0.992298412,0.007701588
gun_control1.0-10166,0,0,0,atlanta journal and constitution,2005,5,15,20050515,0.466410841,0.153908478,0.379680681,0.05912462,0.94087538
gun_control1.0-10167,0,0,1,palm beach post,2005,5,15,20050515,0.294690376,0.145773291,0.559536333,0.997802497,0.002197503
gun_control1.0-10168,0,0,1,saint paul pioneer press,2005,5,14,20050514,0.516344061,0.194510893,0.289145046,0.016108071,0.983891929
gun_control1.0-10169,0,0,0,daily news,2005,5,13,20050513,0.047675796,0.110013896,0.842310308,0.000427837,0.999572163
gun_control1.0-1017,0,0,1,washington post,1991,5,10,19910510,0.126137311,0.054493582,0.819369107,0.903156195,0.096843805
gun_control1.0-10171,0,0,1,philadelphia inquirer,2005,5,13,20050513,0.347032499,0.121178109,0.531789391,0.092649173,0.907350827
gun_control1.0-10172,0,0,0,philadelphia inquirer,2005,5,12,20050512,0.172935953,0.071204209,0.755859838,0.112569542,0.887430458
gun_control1.0-10173,0,0,0,palm beach post,2005,5,11,20050511,0.51363883,0.054473026,0.431888144,0.928364712,0.071635288
gun_control1.0-10174,0,0,0,st. louis post-dispatch,2005,5,11,20050511,0.562981423,0.150397556,0.286621021,0.003236525,0.996763475
gun_control1.0-10175,0,0,0,philadelphia inquirer,2005,5,8,20050508,0.104792708,0.066706444,0.828500847,0.003917653,0.996082347
gun_control1.0-10176,0,0,1,palm beach post,2005,5,7,20050507,0.433479738,0.027361218,0.539159045,0.998627487,0.001372513
gun_control1.0-10177,0,0,0,new york times,2005,5,6,20050506,0.295250773,0.121322925,0.583426302,0.056431525,0.943568475
gun_control1.0-10178,0,0,1,saint paul pioneer press,2005,5,6,20050506,0.327782369,0.18216139,0.490056241,0.773334342,0.226665658
gun_control1.0-10179,0,0,1,palm beach post,2005,5,4,20050504,0.29820331,0.017134682,0.684662008,0.999901337,9.87E-05
gun_control1.0-10181,0,1,0,st. louis post-dispatch,2005,5,4,20050504,0.318121061,0.100449624,0.581429315,0.001356507,0.998643493
gun_control1.0-10182,0,1,0,saint paul pioneer press,2005,5,3,20050503,0.242519349,0.237893128,0.519587523,0.002959087,0.997040913
gun_control1.0-10183,0,0,0,atlanta journal and constitution,2005,5,2,20050502,0.515651454,0.055402222,0.428946325,0.930567671,0.069432329
gun_control1.0-10184,1,0,0,new york times,2005,4,30,20050430,0.187734974,0.091297057,0.720967969,0.933323268,0.066676732
gun_control1.0-10185,0,0,0,new york times,2005,4,29,20050429,0.136778374,0.034454245,0.828767382,0.974707667,0.025292333
gun_control1.0-10186,0,0,0,palm beach post,2005,4,29,20050429,0.313139262,0.053633927,0.633226812,0.983992369,0.016007631
gun_control1.0-10187,0,0,0,atlanta journal and constitution,2005,4,28,20050428,0.485350181,0.136583555,0.378066264,0.079194459,0.920805541
gun_control1.0-10188,0,0,0,saint paul pioneer press,2005,4,28,20050428,0.319849816,0.368165546,0.311984638,0.0024008,0.9975992
gun_control1.0-10189,0,0,1,new york times,2005,4,27,20050427,0.52344471,0.257896117,0.218659173,0.117204973,0.882795027
gun_control1.0-1019,0,0,1,atlanta journal and constitution,1991,5,9,19910509,0.169058569,0.159726643,0.671214788,0.00409893,0.99590107
gun_control1.0-10190,0,0,0,new york times,2005,4,27,20050427,0.330351224,0.079706258,0.589942518,0.113175213,0.886824787
gun_control1.0-10192,0,0,0,st. louis post-dispatch,2005,4,27,20050427,0.297404475,0.120285955,0.58230957,0.006268813,0.993731187
gun_control1.0-10193,0,0,1,st. petersburg times,2005,4,27,20050427,0.259502431,0.124145365,0.616352203,0.001306446,0.998693554
gun_control1.0-10194,0,0,0,washington post,2005,4,27,20050427,0.426396288,0.266211836,0.307391876,0.001098017,0.998901983
gun_control1.0-10195,0,0,1,washington post,2005,4,26,20050426,0.276688786,0.425594003,0.297717212,0.012767565,0.987232435
gun_control1.0-10196,0,0,0,san jose mercury news,2005,4,24,20050424,0.224295268,0.11630598,0.659398751,0.087546394,0.912453606
gun_control1.0-10197,0,0,0,st. louis post-dispatch,2005,4,17,20050417,0.522141613,0.136557893,0.341300494,0.016576844,0.983423156
gun_control1.0-10198,0,0,0,saint paul pioneer press,2005,4,15,20050415,0.319540442,0.24098255,0.439477009,0.000354783,0.999645217
gun_control1.0-10199,0,0,0,daily news,2005,4,14,20050414,0.240838512,0.064290949,0.694870539,0.044450869,0.955549131
gun_control1.0-102,0,0,1,palm beach post,1988,9,9,19880909,0.106253524,0.056994985,0.836751492,0.902019441,0.097980559
gun_control1.0-1020,0,0,0,atlanta journal and constitution,1991,5,9,19910509,0.09992644,0.113827615,0.786245945,0.048767224,0.951232776
gun_control1.0-10200,0,0,1,philadelphia inquirer,2005,4,13,20050413,0.211336841,0.09358652,0.695076639,0.002896859,0.997103141
gun_control1.0-10201,0,0,0,saint paul pioneer press,2005,4,13,20050413,0.573496256,0.101555818,0.324947926,0.063808446,0.936191554
gun_control1.0-10202,0,0,0,palm beach post,2005,4,11,20050411,0.162417438,0.094925315,0.742657247,0.429614683,0.570385317
gun_control1.0-10203,0,0,1,new york times,2005,4,9,20050409,0.187884647,0.057015898,0.755099456,0.870064114,0.129935886
gun_control1.0-10204,0,0,1,atlanta journal and constitution,2005,4,8,20050408,0.081023528,0.135419603,0.783556869,0.603006367,0.396993633
gun_control1.0-10205,0,0,0,palm beach post,2005,4,7,20050407,0.51840667,0.171051982,0.310541348,0.073151271,0.926848729
gun_control1.0-10206,0,0,1,st. louis post-dispatch,2005,4,7,20050407,0.456812995,0.097891802,0.445295203,0.015650837,0.984349163
gun_control1.0-10207,0,0,1,palm beach post,2005,4,6,20050406,0.348311583,0.313365567,0.33832285,0.001002306,0.998997694
gun_control1.0-10208,0,0,0,denver post,2005,4,5,20050405,0.178162112,0.049806242,0.772031646,0.062574398,0.937425602
gun_control1.0-10209,0,0,0,new york times,2005,4,4,20050404,0.141774764,0.073190333,0.785034903,0.644918802,0.355081198
