,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
same-sex_marriage1.0-8697,0,0,1,tampa bay times,2012,7,15,20120715,4
same-sex_marriage1.0-6650,0,0,1,new york times,2011,6,28,20110628,11
same-sex_marriage1.0-1600,0,0,1,atlanta journal and constitution,2004,6,28,20040628,12
same-sex_marriage1.0-8342,0,0,1,washington post,2012,5,12,20120512,2
same-sex_marriage1.0-2554,0,0,1,st. louis post-dispatch,2004,10,6,20041006,4
same-sex_marriage1.0-7253,0,0,1,daily news,2011,7,26,20110726,0
same-sex_marriage1.0-8201,0,0,1,san jose mercury news,2012,5,22,20120522,4
same-sex_marriage1.0-8204,0,0,1,washington post,2012,5,22,20120522,3
same-sex_marriage1.0-8208,0,0,1,atlanta journal and constitution,2012,5,20,20120520,12
same-sex_marriage1.0-4577,0,0,1,philadelphia inquirer,2007,1,15,20070115,12
same-sex_marriage1.0-7257,0,0,1,new york times,2011,7,26,20110726,4
same-sex_marriage1.0-7256,0,0,1,daily news,2011,7,26,20110726,9
same-sex_marriage1.0-1963,0,0,1,atlanta journal and constitution,2004,4,1,20040401,12
same-sex_marriage1.0-687,0,0,1,saint paul pioneer press,2003,4,4,20030404,12
same-sex_marriage1.0-3342,0,0,1,denver post,2006,2,6,20060206,5
same-sex_marriage1.0-4928,0,0,1,san jose mercury news,2011,3,23,20110323,4
same-sex_marriage1.0-4926,0,0,1,new york times,2011,3,24,20110324,4
same-sex_marriage1.0-4697,0,0,1,washington post,2011,6,25,20110625,12
same-sex_marriage1.0-4923,0,0,1,san jose mercury news,2011,3,25,20110325,0
same-sex_marriage1.0-4920,0,0,1,herald-sun,2011,3,26,20110326,3
same-sex_marriage1.0-4693,0,0,1,washington post,2011,6,25,20110625,2
same-sex_marriage1.0-4163,0,0,1,philadelphia inquirer,2006,10,25,20061025,4
same-sex_marriage1.0-4166,0,0,1,st. louis post-dispatch,2006,10,23,20061023,2
same-sex_marriage1.0-4164,0,0,1,new york times,2006,10,23,20061023,2
same-sex_marriage1.0-4077,0,0,1,saint paul pioneer press,2006,11,9,20061109,12
same-sex_marriage1.0-6922,0,0,1,new york times,2011,4,26,20110426,12
same-sex_marriage1.0-7004,0,0,1,washington post,2011,3,2,20110302,10
same-sex_marriage1.0-7001,0,0,1,washington post,2011,3,4,20110304,11
same-sex_marriage1.0-7008,0,0,1,usa today,2011,3,1,20110301,10
same-sex_marriage1.0-1962,0,0,1,atlanta journal and constitution,2004,4,1,20040401,12
same-sex_marriage1.0-8973,0,1,0,daily news,2012,10,19,20121019,10
same-sex_marriage1.0-10097,0,0,1,san jose mercury news,1996,7,9,19960709,5
same-sex_marriage1.0-10896,0,1,0,herald-sun,2000,3,25,20000325,2
same-sex_marriage1.0-10897,0,0,1,san jose mercury news,2000,3,25,20000325,10
same-sex_marriage1.0-10890,0,0,1,washington post,2000,3,30,20000330,4
same-sex_marriage1.0-10892,0,0,1,denver post,2000,3,29,20000329,12
same-sex_marriage1.0-10898,0,0,1,washington post,2000,3,25,20000325,11
same-sex_marriage1.0-10899,0,0,1,denver post,2000,3,24,20000324,12
same-sex_marriage1.0-2436,0,0,1,new york times,2004,11,4,20041104,12
same-sex_marriage1.0-2437,0,0,1,philadelphia inquirer,2004,11,4,20041104,11
same-sex_marriage1.0-2432,0,0,1,atlanta journal and constitution,2004,11,4,20041104,12
same-sex_marriage1.0-2433,0,0,1,denver post,2004,11,4,20041104,12
same-sex_marriage1.0-2431,0,0,1,atlanta journal and constitution,2004,11,4,20041104,11
same-sex_marriage1.0-6537,0,0,1,st. louis post-dispatch,2010,2,4,20100204,3
same-sex_marriage1.0-6536,0,0,1,washington post,2010,2,5,20100205,5
same-sex_marriage1.0-6534,0,0,1,san jose mercury news,2010,2,11,20100211,10
same-sex_marriage1.0-311,0,1,0,new york times,2003,11,23,20031123,10
same-sex_marriage1.0-314,0,0,1,new york times,2003,11,23,20031123,12
same-sex_marriage1.0-315,0,0,1,saint paul pioneer press,2003,11,23,20031123,4
same-sex_marriage1.0-316,0,0,1,saint paul pioneer press,2003,11,23,20031123,9
same-sex_marriage1.0-318,0,0,1,washington post,2003,11,23,20031123,12
same-sex_marriage1.0-8590,0,0,1,saint paul pioneer press,2012,8,31,20120831,12
same-sex_marriage1.0-8595,0,0,1,washington post,2012,8,28,20120828,0
same-sex_marriage1.0-8599,0,0,1,daily news,2012,8,24,20120824,10
same-sex_marriage1.0-1168,0,0,1,new york times,2004,1,11,20040111,2
same-sex_marriage1.0-1161,0,0,1,herald-sun,2004,1,13,20040113,4
same-sex_marriage1.0-1165,0,0,1,saint paul pioneer press,2004,1,12,20040112,12
same-sex_marriage1.0-1166,0,0,1,atlanta journal and constitution,2004,1,11,20040111,10
same-sex_marriage1.0-9758,0,0,1,new york times,1994,4,25,19940425,10
same-sex_marriage1.0-9752,0,0,1,san jose mercury news,1994,4,30,19940430,10
same-sex_marriage1.0-9751,0,0,1,atlanta journal and constitution,1994,4,30,19940430,10
same-sex_marriage1.0-9757,0,0,1,san jose mercury news,1994,4,26,19940426,12
same-sex_marriage1.0-2833,0,0,1,philadelphia inquirer,2005,6,7,20050607,9
same-sex_marriage1.0-216,0,0,1,new york times,2001,2,11,20010211,9
same-sex_marriage1.0-4268,0,0,1,washington post,2006,7,17,20060717,2
same-sex_marriage1.0-4260,0,0,1,denver post,2006,7,19,20060719,4
same-sex_marriage1.0-4262,0,0,1,palm beach post,2006,7,19,20060719,9
same-sex_marriage1.0-213,0,0,1,atlanta journal and constitution,2001,2,20,20010220,8
same-sex_marriage1.0-212,0,0,1,st. petersburg times,2001,2,22,20010222,2
same-sex_marriage1.0-10564,0,0,1,atlanta journal and constitution,1997,6,21,19970621,11
same-sex_marriage1.0-10566,0,0,1,atlanta journal and constitution,1997,6,20,19970620,2
same-sex_marriage1.0-10567,0,0,1,atlanta journal and constitution,1997,6,20,19970620,2
same-sex_marriage1.0-10560,0,1,0,atlanta journal and constitution,1997,6,22,19970622,2
same-sex_marriage1.0-10563,0,0,1,atlanta journal and constitution,1997,6,21,19970621,2
same-sex_marriage1.0-1658,0,0,1,new york times,2004,6,8,20040608,4
same-sex_marriage1.0-9326,0,0,1,usa today,2012,10,5,20121005,0
same-sex_marriage1.0-9323,0,0,1,new york times,2012,10,8,20121008,11
same-sex_marriage1.0-10158,0,0,1,daily news,1996,6,4,19960604,12
same-sex_marriage1.0-10155,0,0,1,herald-sun,1996,6,6,19960606,12
same-sex_marriage1.0-10151,0,0,1,atlanta journal and constitution,1996,6,7,19960607,12
same-sex_marriage1.0-10150,0,1,0,daily news,1996,6,8,19960608,12
same-sex_marriage1.0-10153,0,1,0,philadelphia inquirer,1996,6,7,19960607,12
same-sex_marriage1.0-9969,0,1,0,new york times,1996,10,15,19961015,12
same-sex_marriage1.0-1918,0,0,1,herald-sun,2004,4,11,20040411,2
same-sex_marriage1.0-9961,0,0,1,san jose mercury news,1996,10,30,19961030,4
same-sex_marriage1.0-9964,0,0,1,philadelphia inquirer,1996,10,26,19961026,0
same-sex_marriage1.0-4209,0,0,1,washington post,2006,9,15,20060915,12
same-sex_marriage1.0-3068,0,0,1,saint paul pioneer press,2005,1,4,20050104,4
same-sex_marriage1.0-3069,0,0,1,san jose mercury news,2005,1,2,20050102,4
same-sex_marriage1.0-3067,0,0,1,new york times,2005,1,6,20050106,8
same-sex_marriage1.0-3064,0,1,0,washington post,2005,1,11,20050111,12
same-sex_marriage1.0-3065,0,1,0,atlanta journal and constitution,2005,1,10,20050110,12
same-sex_marriage1.0-3282,0,0,1,usa today,2006,3,24,20060324,4
same-sex_marriage1.0-2223,0,0,1,st. louis post-dispatch,2004,7,15,20040715,12
same-sex_marriage1.0-7610,0,0,1,new york times,2012,2,9,20120209,4
same-sex_marriage1.0-7615,0,0,1,usa today,2012,2,9,20120209,12
same-sex_marriage1.0-2883,0,0,1,san jose mercury news,2005,4,25,20050425,11
same-sex_marriage1.0-2881,0,1,0,san jose mercury news,2005,4,27,20050427,12
same-sex_marriage1.0-2880,0,0,1,daily news,2005,5,2,20050502,12
same-sex_marriage1.0-3930,0,1,0,new york times,2008,7,18,20080718,10
same-sex_marriage1.0-3933,0,0,1,new york times,2008,7,17,20080717,0
same-sex_marriage1.0-3934,0,0,1,san jose mercury news,2008,7,17,20080717,4
same-sex_marriage1.0-1757,0,0,1,herald-sun,2004,5,18,20040518,4
same-sex_marriage1.0-58,0,0,1,new york times,2002,6,26,20020626,4
same-sex_marriage1.0-2085,0,1,0,herald-sun,2004,8,14,20040814,4
same-sex_marriage1.0-53,0,0,1,denver post,2002,7,1,20020701,3
same-sex_marriage1.0-2089,0,0,1,st. petersburg times,2004,8,14,20040814,4
same-sex_marriage1.0-5955,0,1,0,usa today,2009,12,14,20091214,2
same-sex_marriage1.0-1576,0,0,1,atlanta journal and constitution,2004,3,1,20040301,12
same-sex_marriage1.0-1574,0,0,1,washington post,2004,3,2,20040302,4
same-sex_marriage1.0-1575,0,0,1,washington post,2004,3,2,20040302,12
same-sex_marriage1.0-1572,0,0,1,washington post,2004,3,2,20040302,12
same-sex_marriage1.0-1570,0,0,1,san jose mercury news,2004,3,2,20040302,12
same-sex_marriage1.0-1579,0,1,0,atlanta journal and constitution,2004,3,1,20040301,2
same-sex_marriage1.0-789,0,0,1,daily news,2004,2,26,20040226,4
same-sex_marriage1.0-783,0,0,1,washington post,2004,2,27,20040227,12
same-sex_marriage1.0-10718,0,0,1,st. louis post-dispatch,2000,10,22,20001022,11
same-sex_marriage1.0-10712,0,0,1,st. louis post-dispatch,2000,11,8,20001108,11
same-sex_marriage1.0-4684,0,1,0,new york times,2011,6,25,20110625,11
same-sex_marriage1.0-10715,0,1,0,st. louis post-dispatch,2000,10,27,20001027,12
same-sex_marriage1.0-1289,0,0,1,san jose mercury news,2004,3,20,20040320,12
same-sex_marriage1.0-1287,0,0,1,philadelphia inquirer,2004,3,20,20040320,2
same-sex_marriage1.0-8369,0,0,1,philadelphia inquirer,2012,5,11,20120511,12
same-sex_marriage1.0-8367,0,0,1,philadelphia inquirer,2012,5,11,20120511,12
same-sex_marriage1.0-8362,0,0,1,new york times,2012,5,11,20120511,4
same-sex_marriage1.0-8363,0,1,0,new york times,2012,5,11,20120511,11
same-sex_marriage1.0-829,0,0,1,herald-sun,2004,2,25,20040225,9
same-sex_marriage1.0-6682,0,0,1,atlanta journal and constitution,2011,6,26,20110626,4
same-sex_marriage1.0-1699,0,1,0,st. louis post-dispatch,2004,5,26,20040526,4
same-sex_marriage1.0-5051,0,0,1,new york times,2011,1,11,20110111,9
same-sex_marriage1.0-128,0,0,1,new york times,2001,9,2,20010902,12
same-sex_marriage1.0-5055,0,0,1,san jose mercury news,2011,1,5,20110105,4
same-sex_marriage1.0-5054,0,0,1,washington post,2011,1,7,20110107,12
same-sex_marriage1.0-122,0,0,1,san jose mercury news,2001,9,11,20010911,5
same-sex_marriage1.0-121,0,1,0,atlanta journal and constitution,2001,10,11,20011011,4
same-sex_marriage1.0-127,0,1,0,washington post,2001,9,4,20010904,9
same-sex_marriage1.0-125,0,0,1,denver post,2001,9,7,20010907,5
same-sex_marriage1.0-10902,0,0,1,philadelphia inquirer,2000,3,20,20000320,11
same-sex_marriage1.0-10907,0,0,1,new york times,2000,3,18,20000318,4
same-sex_marriage1.0-1694,0,0,1,san jose mercury news,2004,5,26,20040526,4
same-sex_marriage1.0-9280,0,0,1,new york times,2012,10,19,20121019,4
same-sex_marriage1.0-4670,0,0,1,washington post,2011,6,26,20110626,12
same-sex_marriage1.0-9284,0,0,1,washington post,2012,10,19,20121019,11
same-sex_marriage1.0-4901,0,0,1,washington post,2011,4,19,20110419,12
same-sex_marriage1.0-9286,0,0,1,new york times,2012,10,18,20121018,4
same-sex_marriage1.0-4908,0,0,1,new york times,2011,4,4,20110404,0
same-sex_marriage1.0-7446,0,0,1,washington post,2012,4,1,20120401,12
same-sex_marriage1.0-7331,0,0,1,daily news,2011,7,18,20110718,9
same-sex_marriage1.0-7442,0,0,1,washington post,2012,4,3,20120403,5
same-sex_marriage1.0-7335,0,0,1,daily news,2011,7,17,20110717,9
same-sex_marriage1.0-4016,0,0,1,san jose mercury news,2006,12,2,20061202,12
same-sex_marriage1.0-4014,0,0,1,washington post,2006,12,4,20061204,4
same-sex_marriage1.0-4011,0,0,1,san jose mercury news,2006,12,4,20061204,4
same-sex_marriage1.0-7287,0,1,0,new york times,2011,7,24,20110724,11
same-sex_marriage1.0-7282,0,0,1,new york times,2011,7,24,20110724,9
same-sex_marriage1.0-7283,0,0,1,new york times,2011,7,24,20110724,10
same-sex_marriage1.0-8864,0,1,0,washington post,2012,11,12,20121112,4
same-sex_marriage1.0-3540,0,0,1,san jose mercury news,2008,5,19,20080519,4
same-sex_marriage1.0-3543,0,0,1,new york times,2008,5,18,20080518,0
same-sex_marriage1.0-8950,0,1,0,saint paul pioneer press,2012,10,29,20121029,0
same-sex_marriage1.0-3545,0,0,1,washington post,2008,5,18,20080518,11
same-sex_marriage1.0-3547,0,0,1,new york times,2008,5,17,20080517,3
same-sex_marriage1.0-6739,0,0,1,new york times,2011,6,24,20110624,9
same-sex_marriage1.0-2149,0,0,1,st. louis post-dispatch,2004,7,29,20040729,12
same-sex_marriage1.0-2415,0,0,1,new york times,2004,11,7,20041107,5
same-sex_marriage1.0-2417,0,0,1,saint paul pioneer press,2004,11,7,20041107,10
same-sex_marriage1.0-6080,0,0,1,washington post,2009,10,26,20091026,12
same-sex_marriage1.0-6087,0,1,0,daily news,2009,10,12,20091012,12
same-sex_marriage1.0-6084,0,0,1,new york times,2009,10,14,20091014,4
same-sex_marriage1.0-6088,0,0,1,denver post,2009,10,12,20091012,11
same-sex_marriage1.0-332,0,0,1,washington post,2003,11,21,20031121,12
same-sex_marriage1.0-6318,0,1,0,washington post,2010,8,11,20100811,12
same-sex_marriage1.0-338,0,0,1,new york times,2003,11,20,20031120,12
same-sex_marriage1.0-6315,0,0,1,denver post,2010,8,11,20100811,4
same-sex_marriage1.0-11030,0,0,1,new york times,1999,12,20,19991220,4
same-sex_marriage1.0-11036,0,0,1,san jose mercury news,1999,12,11,19991211,4
same-sex_marriage1.0-1149,0,0,1,new york times,2004,1,22,20040122,2
same-sex_marriage1.0-1143,0,0,1,st. louis post-dispatch,2004,1,25,20040125,5
same-sex_marriage1.0-9770,0,0,1,st. louis post-dispatch,1994,2,15,19940215,2
same-sex_marriage1.0-9771,0,0,1,denver post,1994,2,13,19940213,2
same-sex_marriage1.0-9774,0,0,1,new york times,1994,1,28,19940128,4
same-sex_marriage1.0-9775,0,0,1,new york times,1994,1,16,19940116,9
same-sex_marriage1.0-9777,0,0,1,atlanta journal and constitution,1993,12,11,19931211,4
same-sex_marriage1.0-8153,0,0,1,san jose mercury news,2012,6,1,20120601,12
same-sex_marriage1.0-8150,0,0,1,new york times,2012,6,1,20120601,4
same-sex_marriage1.0-8155,0,0,1,st. louis post-dispatch,2012,6,1,20120601,12
same-sex_marriage1.0-4241,0,0,1,saint paul pioneer press,2006,8,1,20060801,5
same-sex_marriage1.0-4247,0,0,1,san jose mercury news,2006,7,27,20060727,4
same-sex_marriage1.0-4245,0,0,1,washington post,2006,7,28,20060728,4
same-sex_marriage1.0-4249,0,0,1,saint paul pioneer press,2006,7,27,20060727,4
same-sex_marriage1.0-1876,0,0,1,philadelphia inquirer,2004,4,26,20040426,4
same-sex_marriage1.0-10505,0,0,1,san jose mercury news,1997,12,3,19971203,3
same-sex_marriage1.0-10503,0,0,1,herald-sun,1997,12,10,19971210,9
same-sex_marriage1.0-10501,0,0,1,st. louis post-dispatch,1997,12,18,19971218,4
same-sex_marriage1.0-5262,0,0,1,st. petersburg times,2008,4,5,20080405,2
same-sex_marriage1.0-607,0,0,1,new york times,2003,7,2,20030702,12
same-sex_marriage1.0-10176,0,0,1,san jose mercury news,1996,5,29,19960529,5
same-sex_marriage1.0-10175,0,0,1,new york times,1996,5,29,19960529,12
same-sex_marriage1.0-10174,0,0,1,new york times,1996,5,30,19960530,12
same-sex_marriage1.0-10171,0,0,1,washington post,1996,5,31,19960531,12
same-sex_marriage1.0-10178,0,0,1,washington post,1996,5,29,19960529,12
same-sex_marriage1.0-9948,0,0,1,st. louis post-dispatch,1996,12,4,19961204,4
same-sex_marriage1.0-9944,0,0,1,denver post,1996,12,4,19961204,4
same-sex_marriage1.0-9943,0,0,1,daily news,1996,12,4,19961204,4
same-sex_marriage1.0-9942,0,0,1,daily news,1996,12,4,19961204,11
same-sex_marriage1.0-9940,0,1,0,washington post,1996,12,5,19961205,12
same-sex_marriage1.0-8013,0,1,0,new york times,2012,1,26,20120126,12
same-sex_marriage1.0-3731,0,0,1,atlanta journal and constitution,2008,11,14,20081114,4
same-sex_marriage1.0-3041,0,0,1,philadelphia inquirer,2005,1,22,20050122,3
same-sex_marriage1.0-3042,0,0,1,new york times,2005,1,20,20050120,4
same-sex_marriage1.0-3738,0,0,1,san jose mercury news,2008,11,13,20081113,11
same-sex_marriage1.0-3048,0,0,1,washington post,2005,1,18,20050118,12
same-sex_marriage1.0-3049,0,0,1,new york times,2005,1,17,20050117,5
same-sex_marriage1.0-4539,0,0,1,washington post,2007,2,23,20070223,2
same-sex_marriage1.0-4538,0,0,1,philadelphia inquirer,2007,2,23,20070223,9
same-sex_marriage1.0-5836,0,0,1,washington post,2009,4,9,20090409,12
same-sex_marriage1.0-10200,0,1,0,san jose mercury news,1996,5,23,19960523,12
same-sex_marriage1.0-7634,0,0,1,washington post,2012,2,8,20120208,4
same-sex_marriage1.0-7631,0,0,1,san jose mercury news,2012,2,8,20120208,4
same-sex_marriage1.0-7630,0,1,0,new york times,2012,2,8,20120208,11
same-sex_marriage1.0-10206,0,0,1,herald-sun,1996,5,21,19960521,5
same-sex_marriage1.0-3955,0,0,1,washington post,2006,12,31,20061231,12
same-sex_marriage1.0-3950,0,0,1,san jose mercury news,2008,7,2,20080702,4
same-sex_marriage1.0-3959,0,0,1,saint paul pioneer press,2006,12,28,20061228,4
same-sex_marriage1.0-1566,0,0,1,new york times,2004,3,2,20040302,12
same-sex_marriage1.0-73,0,0,1,san jose mercury news,2002,4,3,20020403,3
same-sex_marriage1.0-75,0,1,0,washington post,2002,4,3,20020403,0
same-sex_marriage1.0-1778,0,0,1,philadelphia inquirer,2004,5,17,20040517,4
same-sex_marriage1.0-1775,0,0,1,new york times,2004,5,17,20040517,9
same-sex_marriage1.0-2603,0,0,1,washington post,2005,12,6,20051206,12
same-sex_marriage1.0-2604,0,0,1,palm beach post,2005,12,3,20051203,9
same-sex_marriage1.0-10778,0,1,0,atlanta journal and constitution,2000,6,30,20000630,4
same-sex_marriage1.0-10774,0,0,1,san jose mercury news,2000,7,1,20000701,2
same-sex_marriage1.0-10777,0,0,1,atlanta journal and constitution,2000,6,30,20000630,9
same-sex_marriage1.0-10771,0,0,1,washington post,2000,7,2,20000702,4
same-sex_marriage1.0-10772,0,1,0,new york times,2000,7,1,20000701,2
same-sex_marriage1.0-1558,0,0,1,washington post,2004,3,3,20040303,12
same-sex_marriage1.0-1559,0,0,1,washington post,2004,3,3,20040303,12
same-sex_marriage1.0-1550,0,0,1,new york times,2004,3,3,20040303,12
same-sex_marriage1.0-1551,0,1,0,new york times,2004,3,3,20040303,4
same-sex_marriage1.0-1804,0,0,1,philadelphia inquirer,2004,5,15,20040515,11
same-sex_marriage1.0-1805,0,0,1,philadelphia inquirer,2004,5,15,20040515,4
same-sex_marriage1.0-8386,0,0,1,washington post,2012,5,11,20120511,12
same-sex_marriage1.0-8388,0,0,1,washington post,2012,5,11,20120511,3
same-sex_marriage1.0-5075,0,0,1,san jose mercury news,2008,6,20,20080620,4
same-sex_marriage1.0-5074,0,0,1,new york times,2008,6,20,20080620,5
same-sex_marriage1.0-104,0,0,1,atlanta journal and constitution,2001,12,13,20011213,12
same-sex_marriage1.0-5079,0,0,1,daily news,2008,6,18,20080618,10
same-sex_marriage1.0-5382,0,0,1,denver post,2008,11,16,20081116,11
same-sex_marriage1.0-4386,0,0,1,new york times,2007,8,29,20070829,4
same-sex_marriage1.0-4385,0,0,1,atlanta journal and constitution,2007,8,30,20070830,12
same-sex_marriage1.0-4382,0,1,0,st. louis post-dispatch,2007,9,1,20070901,4
same-sex_marriage1.0-4380,0,0,1,new york times,2007,9,3,20070903,2
same-sex_marriage1.0-4388,0,0,1,washington post,2007,8,25,20070825,2
same-sex_marriage1.0-4658,0,0,1,daily news,2011,6,26,20110626,0
same-sex_marriage1.0-4651,0,0,1,daily news,2011,6,26,20110626,12
same-sex_marriage1.0-5923,0,0,1,denver post,2009,1,14,20090114,9
same-sex_marriage1.0-5922,0,1,0,new york times,2009,1,15,20090115,12
same-sex_marriage1.0-5924,0,0,1,herald-sun,2009,1,10,20090110,5
same-sex_marriage1.0-4039,0,0,1,washington post,2006,11,23,20061123,4
same-sex_marriage1.0-4030,0,0,1,philadelphia inquirer,2006,11,28,20061128,3
same-sex_marriage1.0-4031,0,1,0,palm beach post,2006,11,27,20061127,9
same-sex_marriage1.0-3383,0,0,1,denver post,2006,1,20,20060120,3
same-sex_marriage1.0-3381,0,0,1,washington post,2006,1,21,20060121,4
same-sex_marriage1.0-7586,0,0,1,philadelphia inquirer,2012,2,14,20120214,12
same-sex_marriage1.0-3385,0,0,1,denver post,2006,1,18,20060118,12
same-sex_marriage1.0-3384,0,0,1,denver post,2006,1,20,20060120,12
same-sex_marriage1.0-7589,0,0,1,washington post,2012,2,14,20120214,10
same-sex_marriage1.0-2385,0,0,1,new york times,2004,11,18,20041118,9
same-sex_marriage1.0-2382,0,1,0,philadelphia inquirer,2004,11,19,20041119,4
same-sex_marriage1.0-2383,0,0,1,st. petersburg times,2004,11,19,20041119,11
same-sex_marriage1.0-3566,0,1,0,usa today,2008,5,16,20080516,4
same-sex_marriage1.0-3561,0,0,1,san jose mercury news,2008,5,16,20080516,4
same-sex_marriage1.0-6863,0,0,1,new york times,2011,5,17,20110517,12
same-sex_marriage1.0-6717,0,0,1,new york times,2011,6,25,20110625,12
same-sex_marriage1.0-6867,0,0,1,new york times,2011,5,16,20110516,5
same-sex_marriage1.0-6869,0,1,0,washington post,2011,5,16,20110516,4
same-sex_marriage1.0-6718,0,0,1,new york times,2011,6,25,20110625,12
same-sex_marriage1.0-2161,0,0,1,washington post,2004,7,26,20040726,12
