,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-10007,0,0,0,herald-sun,1996,9,13,19960913,0.570606783,0.173588669,0.255804548,0.005774946,0.001510702,0.015209368,0.053200835,0.537390437,0.026189157,0.004546217,0.00621386,0.024118575,0.024350684,0.119903708,0.036556836,0.125917993,0.019116682,0
same-sex_marriage1.0-10008,0,0,0,new york times,1996,9,13,19960913,0.214733288,0.296287418,0.488979294,0.00291929,0.000704314,0.013787435,0.012970621,0.025988451,0.030888462,0.002178618,0.000595264,0.002605569,0.000993628,0.001167162,0.01023205,0.894186066,0.00078307,0
same-sex_marriage1.0-10009,0,0,0,st. petersburg times,1996,9,13,19960913,0.524564416,0.155730551,0.319705033,0.000128617,0.000706452,0.019516436,0.038101302,0.00596194,0.05287907,0.000694947,0.000597071,0.001104834,0.014814538,0.000131771,0.009519578,0.854415347,0.001428097,0
same-sex_marriage1.0-10010,1,0,0,new york times,1996,9,12,19960912,0.321990235,0.30830803,0.369701734,0.034277134,0.006731479,0.155171987,0.012115072,0.023465833,0.184213953,0.015172705,0.002539956,0.00539173,0.013694351,0.045029941,0.154911152,0.231044198,0.116240511,0
same-sex_marriage1.0-10011,0,0,1,saint paul pioneer press,1996,9,12,19960912,0.716727685,0.104687819,0.178584496,0.031072395,0.005269703,0.001412605,0.017757365,0.013235169,0.045989386,0.004767486,0.000661771,0.001909849,0.084908433,0.017667529,0.049586871,0.712064266,0.013697172,0
same-sex_marriage1.0-10012,0,0,0,atlanta journal and constitution,1996,9,11,19960911,0.509693017,0.137317834,0.352989148,0.008474191,0.001512729,0.001593827,0.040698966,0.20170171,0.214472664,0.005687386,0.003220122,0.018096956,0.049491782,0.002952088,0.004875682,0.440503873,0.006718026,0
same-sex_marriage1.0-10013,0,0,0,daily news,1996,9,11,19960911,0.211713773,0.15846834,0.629817887,0.000290434,0.000699791,0.001352861,0.011146021,0.008210769,0.019955271,0.001278143,0.000573765,0.002509458,0.00374397,0.002146637,0.004003674,0.94304935,0.001039856,0
same-sex_marriage1.0-10015,0,0,0,new york times,1996,9,11,19960911,0.230493712,0.27645272,0.493053568,0.016976477,0.00117636,0.013056161,0.011971305,0.020018634,0.071199869,0.005321574,0.000854607,0.010063705,0.004558782,0.065976681,0.021835567,0.736443212,0.020547066,0
same-sex_marriage1.0-10016,0,0,0,new york times,1996,9,11,19960911,0.441714954,0.180680805,0.377604242,0.00062524,0.001177577,0.001307397,0.004652267,0.004497892,0.013152765,0.00072139,0.000594567,0.001194415,0.001998583,0.000553344,0.010397821,0.954486196,0.004640546,0
same-sex_marriage1.0-10018,0,0,0,philadelphia inquirer,1996,9,11,19960911,0.568951341,0.128541278,0.302507381,0.002346931,0.000666933,0.002553146,0.007323767,0.834653192,0.009680915,0.001858167,0.000563671,0.000664508,0.00408342,0.004298051,0.000170841,0.127858305,0.003278155,0
same-sex_marriage1.0-10019,0,0,1,saint paul pioneer press,1996,9,11,19960911,0.452676563,0.196758884,0.350564553,0.021364193,0.006267323,0.006600425,0.026385671,0.755096606,0.020186694,0.012947792,0.008267617,0.002414939,0.067825458,0.014517697,0.008219743,0.040092567,0.009813275,0
same-sex_marriage1.0-1002,0,0,0,new york times,2004,2,14,20040214,0.378128445,0.295461585,0.326409969,0.004281466,0.000788631,0.021075083,0.002140211,0.895349116,0.008150335,0.032914092,0.000570489,0.000244206,0.025096458,0.000509238,0.004209161,0.001060589,0.003610924,0
same-sex_marriage1.0-10020,0,0,1,san jose mercury news,1996,9,11,19960911,0.261436521,0.267195765,0.471367714,0.000414912,0.000731732,0.008728928,0.015689507,0.000141983,0.012720463,0.001624193,0.000545634,0.000640608,0.000855522,0.005376943,0.057383589,0.892647686,0.002498302,0
same-sex_marriage1.0-10022,0,0,1,st. louis post-dispatch,1996,9,11,19960911,0.102996191,0.257408502,0.639595307,0.00010445,0.000681194,0.000246597,0.049608717,0.041234592,0.05208669,0.000926763,0.000575724,0.000478783,0.000983788,0.000712111,0.002414817,0.847061273,0.002884501,0
same-sex_marriage1.0-10023,0,0,1,washington post,1996,9,11,19960911,0.519118561,0.166368239,0.3145132,0.000246467,0.000711913,0.009211801,0.004664524,0.00025097,0.020374171,0.000899572,0.000583704,0.000423073,0.003988348,0.003368224,0.006814096,0.947595798,0.000867338,0
same-sex_marriage1.0-10024,0,0,0,washington post,1996,9,10,19960910,0.578208298,0.120901895,0.300889807,0.002445589,0.001441869,0.003642682,0.004555651,0.212937639,0.48942474,0.002693405,0.001075166,0.009575221,0.001786953,0.016335518,0.014464628,0.218928659,0.02069228,0
same-sex_marriage1.0-10025,0,0,1,washington post,1996,9,10,19960910,0.386122082,0.255380282,0.358497636,0.006064669,0.003154299,0.014369589,0.254195839,0.126289411,0.402032777,0.010294538,0.002352083,0.002709382,0.061031981,0.033485508,0.004650998,0.066130541,0.013238385,0
same-sex_marriage1.0-10026,0,0,0,new york times,1996,9,9,19960909,0.469838273,0.140683464,0.389478264,0.003117578,0.007106365,0.014598082,0.100836215,0.029941305,0.561059185,0.003324519,0.000792754,0.001648011,0.004082709,0.010278426,0.178530779,0.076554011,0.008130063,0
same-sex_marriage1.0-10027,0,0,0,st. louis post-dispatch,1996,9,9,19960909,0.393648813,0.114567292,0.491783895,0.007983293,0.001695295,0.025044616,0.043390297,0.372872509,0.202311136,0.006275304,0.001389988,0.008714875,0.013308006,0.092815758,0.114111053,0.10354337,0.006544499,0
same-sex_marriage1.0-10028,0,0,1,new york times,1996,9,8,19960908,0.576741106,0.144766239,0.278492656,0.001935328,0.001271016,0.022779215,0.009189082,0.108050558,0.001822089,0.000913544,0.001042118,0.000429286,0.007235878,0.740442972,0.007399209,0.059068407,0.038421297,0
same-sex_marriage1.0-10029,0,0,0,new york times,1996,9,6,19960906,0.311939843,0.271694811,0.416365346,0.001081091,0.000727667,0.001646583,0.001290655,0.004264477,0.004561853,0.001425254,0.000596621,0.006008496,0.000572368,0.001515996,0.002582243,0.9728229,0.000903796,0
same-sex_marriage1.0-10030,0,0,0,new york times,1996,9,6,19960906,0.356870243,0.28388146,0.359248297,0.00028807,0.000668158,0.00026284,0.000840094,0.560750898,0.039146768,0.001971886,0.000498229,0.000473576,0.000338071,0.000334263,0.002514983,0.389018424,0.002893741,0
same-sex_marriage1.0-10031,0,0,0,atlanta journal and constitution,1996,9,5,19960905,0.468509452,0.173019507,0.35847104,0.044635794,0.000891209,0.027276618,0.025535793,0.139124834,0.520878739,0.000763234,0.001234937,0.033906188,0.188840146,0.001869932,0.007082501,0.001714361,0.006245715,0
same-sex_marriage1.0-10032,1,0,0,daily news,1996,9,5,19960905,0.16119784,0.188321394,0.650480767,0.022421958,0.000722166,0.002104292,0.014171168,0.008218461,0.041291939,0.008155414,0.000538501,0.006934866,0.002890571,0.002098942,0.002725532,0.884461055,0.003265137,0
same-sex_marriage1.0-10033,0,0,0,saint paul pioneer press,1996,9,5,19960905,0.228427193,0.257923625,0.513649182,0.030961029,0.003074998,0.016532046,0.03644478,0.012158773,0.25275316,0.021234906,0.00062946,0.007748873,0.040612532,0.005381639,0.011992547,0.558652258,0.001822998,0
same-sex_marriage1.0-10034,0,0,1,atlanta journal and constitution,1996,9,4,19960904,0.560162543,0.195328806,0.244508651,0.002255319,0.000696096,0.00112923,0.484044981,0.092167389,0.083287619,0.001082085,0.001268267,0.069579869,0.059321973,0.027244998,0.019200452,0.15469733,0.004024392,0
same-sex_marriage1.0-10035,0,0,1,st. louis post-dispatch,1996,9,4,19960904,0.27008631,0.19572225,0.53419144,0.002103469,0.000870779,0.003785539,0.011843586,0.014920257,0.059559483,0.000550666,0.000629914,0.0021086,0.002975902,0.00418962,0.000314688,0.891871038,0.004276459,0
same-sex_marriage1.0-10036,0,0,0,washington post,1996,9,3,19960903,0.504129918,0.125307069,0.370563013,0.000202219,0.000628533,0.007211718,0.003034571,0.333569961,0.020541379,0.000235629,0.000531216,0.001683026,0.008478379,0.006983639,0.000243925,0.612863432,0.003792372,0
same-sex_marriage1.0-10037,0,0,1,philadelphia inquirer,1996,8,31,19960831,0.450155436,0.137728683,0.412115881,0.003125367,0.000686073,0.011364518,0.001563699,0.847343341,0.008379658,0.002068267,0.000579847,0.003659666,0.007433923,0.079155377,0.018557331,0.008974647,0.007108287,0
same-sex_marriage1.0-10038,0,0,1,palm beach post,1996,8,28,19960828,0.243015028,0.250947612,0.50603736,0.022278584,0.002602842,0.152862487,0.078554246,0.015206536,0.001979282,0.000743595,0.000583096,0.002028785,0.018646407,0.066848774,0.616538861,0.013289993,0.007836512,0
same-sex_marriage1.0-10039,0,0,1,new york times,1996,8,24,19960824,0.236512124,0.234839672,0.528648204,0.003874865,0.000720543,0.00449432,0.003083327,0.024014843,0.067061266,0.001885943,0.000706581,0.001545411,1.66E-05,0.000159218,0.007197485,0.882235056,0.003004565,0
same-sex_marriage1.0-1004,1,0,0,new york times,2004,2,14,20040214,0.341069702,0.257260688,0.401669611,0.070808753,0.004856365,0.064937314,0.015433101,0.424886268,0.010024558,0.147924695,0.031797003,0.002391055,0.172599391,0.009794235,0.016823929,0.024229912,0.003493421,0
same-sex_marriage1.0-10040,0,0,0,san jose mercury news,1996,8,21,19960821,0.238615401,0.337467984,0.423916614,0.000792474,0.00068802,0.002153439,0.001209296,0.010044162,0.042953244,0.000783083,0.000581493,0.001089559,0.002744287,0.00473776,0.001143715,0.921046359,0.010033108,0
same-sex_marriage1.0-10041,0,0,0,san jose mercury news,1996,8,20,19960820,0.478947487,0.26368633,0.257366183,0.001460493,0.00060723,0.001251036,0.006234934,0.011041817,0.248576868,0.002258075,0.000513212,0.00259348,0.001353488,0.000448028,0.027428391,0.671638463,0.024594484,0
same-sex_marriage1.0-10042,0,0,0,atlanta journal and constitution,1996,8,19,19960819,0.532993175,0.213360659,0.253646166,0.004813079,0.005406676,0.011343015,0.0005739,0.002719421,0.063623293,0.004318166,0.000474724,0.006411121,0.071430947,0.143367217,0.675051075,0.008284218,0.00218315,0
same-sex_marriage1.0-10043,0,0,0,saint paul pioneer press,1996,8,19,19960819,0.44943504,0.30891545,0.24164951,0.015953423,0.01536383,0.032040957,0.048252586,0.030496611,0.077287841,0.032150201,0.056490467,0.025513258,0.02698343,0.103333898,0.516524018,0.010224874,0.009384605,0
same-sex_marriage1.0-10044,1,0,0,san jose mercury news,1996,8,19,19960819,0.382258517,0.297116162,0.320625321,0.026497323,0.00112375,0.087559507,0.027938644,0.047698969,0.021300262,0.016615282,0.00713884,0.013821768,0.038186623,0.066259032,0.611159867,0.03299905,0.001701082,0
same-sex_marriage1.0-10045,0,0,1,st. louis post-dispatch,1996,8,19,19960819,0.609374934,0.126039216,0.26458585,0.020599109,0.000670302,0.002603799,0.001527025,0.059903981,0.002679027,0.002893959,0.000549587,0.00280326,0.012649865,0.061126653,0.829780571,0.00148168,0.000731181,0
same-sex_marriage1.0-10046,0,0,0,san jose mercury news,1996,8,15,19960815,0.522364536,0.308642185,0.168993279,0.00180711,0.002277017,0.098286533,0.147102335,0.00729737,0.264033758,0.002710247,0.000682559,0.003016313,0.001707413,0.001472222,0.21491937,0.24765418,0.007033572,0
same-sex_marriage1.0-10047,0,0,0,philadelphia inquirer,1996,8,13,19960813,0.741956775,0.112101333,0.145941892,0.50491496,0.002555011,0.023167259,0.039615319,0.013361743,0.061202496,0.002754233,0.00764428,0.008681795,0.258555687,0.064255217,0.006371186,0.004333356,0.002587459,0
same-sex_marriage1.0-10048,1,0,0,san jose mercury news,1996,8,13,19960813,0.261383785,0.317702688,0.420913527,0.013404417,0.002952943,0.030770337,0.028306983,0.007470886,0.452163633,0.007353264,0.000433008,0.024861909,0.003670633,0.006167019,0.067828901,0.343672583,0.010943485,0
same-sex_marriage1.0-10049,0,0,0,san jose mercury news,1996,8,13,19960813,0.588979213,0.161255483,0.249765304,0.022822775,0.002119645,0.376631034,0.07655984,0.024017609,0.049716412,0.001498806,0.000683235,0.002519438,0.320595458,0.03234051,0.038406661,0.047186557,0.004902021,0
same-sex_marriage1.0-1005,0,1,0,new york times,2004,2,14,20040214,0.675745287,0.224496618,0.099758095,0.000731102,0.000792421,0.004248472,0.003736462,0.026265724,0.002029632,0.001644351,0.000824792,0.000306801,0.122320219,0.002561655,0.006048588,0.828179618,0.000310162,0
same-sex_marriage1.0-10050,0,0,0,san jose mercury news,1996,8,11,19960811,0.625751628,0.231480057,0.142768316,0.00392684,0.001545954,0.627407622,0.079688351,0.000706413,0.020453925,0.005611539,0.000392451,0.00370736,0.060989007,0.006017275,0.149400797,0.03867377,0.001478696,0
same-sex_marriage1.0-10051,0,0,0,washington post,1996,8,10,19960810,0.442082467,0.247931872,0.309985661,0.000647003,0.000728613,0.001464752,0.00140832,0.011813361,0.003439675,0.001204747,0.000597397,0.00065651,0.001903613,0.036364258,0.004773698,0.933981939,0.001016115,0
same-sex_marriage1.0-10052,0,0,0,new york times,1996,8,7,19960807,0.508203447,0.16385452,0.327942034,0.165839431,0.001395688,0.010077924,0.004210196,0.01228228,0.012249214,0.006289954,0.005569207,0.002467285,0.004123183,0.049549996,0.293245339,0.419548345,0.013151958,0
same-sex_marriage1.0-10053,0,0,1,philadelphia inquirer,1996,8,7,19960807,0.535500135,0.127325991,0.337173874,0.001726184,0.000835009,0.014475924,0.026489669,0.652071059,0.023150472,0.006418161,0.007377761,0.015966675,0.056720623,0.001990165,0.000660482,0.189863697,0.002254119,0
same-sex_marriage1.0-10054,0,0,0,atlanta journal and constitution,1996,8,6,19960806,0.646752404,0.104077878,0.249169718,0.0165503,0.000996308,0.023986171,0.136255887,0.002981601,0.047620411,0.001897033,0.001074265,0.000744382,0.006563672,0.038380668,0.101906977,0.615100926,0.005941399,0
same-sex_marriage1.0-10055,0,0,0,st. petersburg times,1996,8,6,19960806,0.455526057,0.22535221,0.319121733,0.029318356,0.005606495,0.021982606,0.037265839,0.003939278,0.020539644,0.003674759,0.011788268,0.009942787,0.015720849,0.087150611,0.015007775,0.736003187,0.002059548,0
same-sex_marriage1.0-10056,0,0,1,atlanta journal and constitution,1996,8,3,19960803,0.664170059,0.068409042,0.267420898,0.006419813,0.001021908,0.03177447,0.006830195,0.006049202,0.004933461,0.002326633,0.00073924,0.005343077,0.015424964,0.039905915,0.042116822,0.833762437,0.003351862,0
same-sex_marriage1.0-10057,0,0,0,new york times,1996,8,3,19960803,0.545948448,0.101920384,0.352131168,0.002506584,0.000763579,0.004224492,0.001334967,0.004164575,0.005391122,0.001653012,0.000645353,0.002550904,0.00113525,0.170179689,0.006186061,0.741422203,0.057842209,0
same-sex_marriage1.0-10058,0,0,1,san jose mercury news,1996,8,3,19960803,0.327852304,0.194676742,0.477470954,0.001866988,0.000700035,0.007778616,0.016897949,0.00143713,0.006272216,0.001202105,0.000778064,0.006338416,0.002727187,0.001580059,0.001143009,0.944670721,0.006607504,0
same-sex_marriage1.0-1006,0,0,1,philadelphia inquirer,2004,2,14,20040214,0.74484458,0.123561393,0.131594027,0.005429005,0.004251939,0.009118075,0.001181611,0.759426109,0.000789845,0.00205456,0.000533959,0.001500714,0.18269572,0.018841248,0.00019145,0.010073778,0.003911987,0
same-sex_marriage1.0-10060,0,0,0,washington post,1996,8,3,19960803,0.48344027,0.189435267,0.327124463,0.004378574,0.000702989,0.015536866,0.011286601,0.001026211,0.007855834,0.000920513,0.001124145,0.003613061,0.003579943,0.002282738,0.000690819,0.944788799,0.002212906,0
same-sex_marriage1.0-10061,0,0,1,new york times,1996,7,28,19960728,0.520419898,0.128628205,0.350951898,0.03144778,0.000778738,0.005930958,0.002126944,0.144630929,0.004844693,0.004352382,0.000835518,0.000691111,0.669600841,0.090373849,0.001192757,0.038390716,0.004802784,0
same-sex_marriage1.0-10062,0,0,0,new york times,1996,7,27,19960727,0.670621925,0.191487941,0.137890135,0.027045659,0.001115963,0.177797462,0.123922055,0.479777128,0.112625437,0.003126379,0.000914988,0.008623763,0.032009281,0.003038525,0.002369056,0.014034064,0.013600239,0
same-sex_marriage1.0-10063,0,0,1,washington post,1996,7,27,19960727,0.344439892,0.175790386,0.479769722,0.006359069,0.001029832,0.005403984,0.00688712,0.05260979,0.024907707,0.002388156,0.000744971,0.000684426,0.024817612,0.018423044,0.016658508,0.825535654,0.013550128,0
same-sex_marriage1.0-10064,0,0,0,atlanta journal and constitution,1996,7,26,19960726,0.580771674,0.128592376,0.29063595,0.000945215,0.000429967,0.014353567,0.325472848,0.001066387,0.556154107,0.002039572,0.00046361,0.000654428,0.018579231,0.04212127,0.011056416,0.022071564,0.004591818,0
same-sex_marriage1.0-10065,0,0,0,daily news,1996,7,26,19960726,0.358081592,0.257449401,0.384469007,0.003485966,0.006403358,0.01440972,0.055484269,0.002776258,0.043878909,0.009491956,0.000562235,0.002656213,0.001476476,0.013837876,0.810382675,0.030936452,0.004217636,0
same-sex_marriage1.0-10066,0,0,1,st. petersburg times,1996,7,25,19960725,0.508065545,0.092064729,0.399869726,0.020395693,0.00085876,0.016711152,0.015789707,0.00051856,0.140811247,0.003504552,0.003023325,0.00341526,0.666409628,0.006270006,0.001985328,0.118039094,0.002267687,0
same-sex_marriage1.0-10067,0,0,0,st. louis post-dispatch,1996,7,22,19960722,0.351276544,0.117111947,0.531611508,0.001375601,0.000871347,0.038831424,0.00290087,0.116351,0.098092012,0.001027986,0.000649742,0.002484947,0.001727908,0.024526681,0.025399712,0.683891882,0.001868889,0
same-sex_marriage1.0-10068,0,0,0,denver post,1996,7,21,19960721,0.641977813,0.168699514,0.189322673,0.022201267,0.00191417,0.022837251,0.291999996,0.058892261,0.004828239,0.001840682,0.001384694,0.001083823,0.155675882,0.282682991,0.045404615,0.098443688,0.01081044,0
same-sex_marriage1.0-10069,0,0,0,st. petersburg times,1996,7,21,19960721,0.295299171,0.162677284,0.542023544,0.004353104,0.005118758,0.013183522,0.037194207,0.003424875,0.063877917,0.001185145,0.000728238,0.001204209,0.000888088,0.022775032,0.026278741,0.79427697,0.025511194,0
same-sex_marriage1.0-1007,0,0,0,philadelphia inquirer,2004,2,14,20040214,0.34544172,0.414494244,0.240064036,0.002053789,0.002288559,0.0011242,0.071520488,0.067601212,0.001601989,0.001463504,0.000580966,0.000277564,0.000512008,0.003700507,0.004092775,0.840277054,0.002905384,0
same-sex_marriage1.0-10070,0,0,0,new york times,1996,7,20,19960720,0.225810884,0.138991993,0.635197123,0.001639191,0.000742187,0.103221964,0.001716921,0.615665569,0.188104378,0.002260942,0.00055343,0.004102733,0.033245578,0.000219762,0.00019849,0.030390765,0.01793809,0
same-sex_marriage1.0-10072,0,0,1,st. louis post-dispatch,1996,7,19,19960719,0.508042042,0.147434188,0.34452377,0.004067089,0.006575566,0.002285073,0.073587577,0.007373446,0.017248671,0.000965804,0.000509811,0.002894808,0.001384319,0.040326878,0.838685051,0.000252473,0.003843433,0
same-sex_marriage1.0-10073,0,0,1,herald-sun,1996,7,18,19960718,0.4478865,0.13831027,0.41380323,0.000737495,0.005571572,0.067918737,0.003329931,0.019168528,0.048669473,0.0020138,0.000699679,0.015091793,0.003307624,0.208612778,0.58931906,0.001948371,0.033611158,0
same-sex_marriage1.0-10074,0,0,1,new york times,1996,7,18,19960718,0.655767929,0.140097622,0.204134448,0.008149773,0.001014877,0.628800749,0.010801042,0.15074067,0.046927377,0.00183453,0.00096547,0.00604005,0.021243032,0.01128266,0.006635918,0.09730023,0.008263622,0
same-sex_marriage1.0-10075,0,0,0,saint paul pioneer press,1996,7,16,19960716,0.3535432,0.262448174,0.384008626,0.015452899,0.007034815,0.006900032,0.049930923,0.005124104,0.226280413,0.009914271,0.003950329,0.006179819,0.041531248,0.019339739,0.034113254,0.563878476,0.010369681,0
same-sex_marriage1.0-10076,0,0,1,st. louis post-dispatch,1996,7,16,19960716,0.701108717,0.113731757,0.185159526,0.049629658,0.002197877,0.334117825,0.146142604,0.000120239,0.138234171,0.004635219,0.000667421,0.002479024,0.016179275,0.052584652,0.045067136,0.194756905,0.013187995,0
same-sex_marriage1.0-10077,0,0,1,atlanta journal and constitution,1996,7,14,19960714,0.269578452,0.227316914,0.503104635,0.056035608,0.005567845,0.045408325,0.017402959,0.011156323,0.096457933,0.010885312,0.041285369,0.002544966,0.010518082,0.003316822,0.047839427,0.645913236,0.005667794,0
same-sex_marriage1.0-10078,0,0,0,new york times,1996,7,14,19960714,0.264616838,0.198958726,0.536424435,0.008729751,0.000753785,0.002433646,0.00201908,0.004770034,0.067939273,0.001335556,0.001183873,0.000784414,3.29E-05,0.044373437,0.065439808,0.717335279,0.082869199,0
same-sex_marriage1.0-10079,1,0,0,new york times,1996,7,14,19960714,0.239675588,0.13345852,0.626865892,0.050935968,0.005135388,0.016364135,0.002278503,0.064812298,0.242441284,0.003290619,0.023734004,0.002590645,0.001913071,0.003635066,0.006173349,0.570001582,0.006694088,0
same-sex_marriage1.0-10080,0,0,0,atlanta journal and constitution,1996,7,13,19960713,0.419013284,0.160176332,0.420810383,0.000818548,0.000696006,0.007574497,0.006321948,0.001711599,0.030435414,0.00094342,0.000570662,0.001203358,0.005210462,0.000839892,0.002402658,0.938976256,0.002295279,0
same-sex_marriage1.0-10081,0,0,0,daily news,1996,7,13,19960713,0.627410016,0.202534002,0.170055982,0.00034418,0.000764478,0.000207475,0.002657352,0.004796485,0.0337425,0.001970531,0.000570052,0.002735647,0.003641317,0.000595507,0.034581107,0.911246276,0.002147093,0
same-sex_marriage1.0-10082,0,0,0,denver post,1996,7,13,19960713,0.411968885,0.139342571,0.448688544,0.000959196,0.000676389,0.001888572,0.003325511,0.002769452,0.008307803,0.001456574,0.000571663,0.000994564,0.00031407,0.000442475,0.003902721,0.933461501,0.040929507,0
same-sex_marriage1.0-10083,0,0,1,herald-sun,1996,7,13,19960713,0.338871634,0.199081531,0.462046835,0.000147209,0.000701797,0.014041028,0.001917779,0.007287724,0.013867771,0.005765066,0.00057541,0.002960272,0.001847481,0.000633499,0.001094517,0.942482671,0.006677777,0
same-sex_marriage1.0-10084,0,0,0,new york times,1996,7,13,19960713,0.222534546,0.215883709,0.561581745,0.005257222,0.001096319,0.02919898,0.016251428,0.139581684,0.011111434,0.003094397,0.009990097,0.003305537,0.006064754,0.006768492,0.033755928,0.728747994,0.005775734,0
same-sex_marriage1.0-10085,0,0,1,new york times,1996,7,13,19960713,0.297867739,0.186154392,0.515977869,0.000369142,0.000680384,0.001909024,0.000579076,0.009122769,0.027081987,0.001277102,0.000575039,0.001398037,0.003291495,0.001645068,0.001806551,0.929573476,0.02069085,0
same-sex_marriage1.0-10086,0,0,1,philadelphia inquirer,1996,7,13,19960713,0.414149339,0.176460453,0.409390207,0.002217407,0.000819583,0.026568433,0.001205117,0.006880865,0.088431224,0.000535134,0.000671984,0.004119509,0.007304696,0.001366946,0.001158198,0.858086382,0.000634523,0
same-sex_marriage1.0-10087,0,0,0,san jose mercury news,1996,7,13,19960713,0.508316188,0.157777644,0.333906167,0.002880011,0.00460666,0.215865524,0.187531939,0.159617945,0.062828245,0.003261824,0.007441094,0.012377871,0.19909131,0.088993885,0.002446496,0.04720247,0.005854726,0
same-sex_marriage1.0-10088,0,0,0,san jose mercury news,1996,7,13,19960713,0.283062042,0.183540314,0.533397644,0.003571455,0.000633089,0.006360626,0.004977552,0.000464348,0.2011779,0.001898057,0.000472079,0.000640375,0.000492012,0.000551891,0.016854009,0.730027751,0.031878857,0
same-sex_marriage1.0-1009,0,0,1,san jose mercury news,2004,2,14,20040214,0.616916116,0.29151225,0.091571634,0.015548276,0.00405996,0.011982324,0.000285526,0.685636421,0.00107168,0.067165209,0.000525494,0.000803857,0.124074175,0.075341778,0.006357322,0.003753203,0.003394774,0
same-sex_marriage1.0-10090,0,0,0,washington post,1996,7,13,19960713,0.43135104,0.146440436,0.422208524,0.116462104,0.015564993,0.01536927,0.04960563,0.014281962,0.309463794,0.019072652,0.029782345,0.143674638,0.084930518,0.01456323,0.138003497,0.04671799,0.002507376,0
same-sex_marriage1.0-10091,0,0,0,washington post,1996,7,13,19960713,0.423740438,0.117753137,0.458506425,0.001361138,0.001163761,0.008440108,0.002620398,0.003905705,0.011166712,0.000637102,0.000587591,0.00052497,0.002213591,0.013188547,0.004732952,0.947604297,0.001853129,0
same-sex_marriage1.0-10092,0,0,0,atlanta journal and constitution,1996,7,12,19960712,0.360643683,0.128027223,0.511329094,0.001360994,0.000911041,0.00386275,0.013548723,0.005740987,0.171677688,0.002024958,0.0023076,0.001768261,0.002388652,0.015290349,0.002339381,0.77443982,0.002338796,0
