,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-10007,0,0,0,herald-sun,1996,9,13,19960913,0.403919644,0.287027848,0.309052508,0.783190943,0.216809057,0.004774039,0.002064141,0.039052108,0.052892513,0.536835012,0.017491615,0.002894123,0.004720983,0.010189293,0.019701735,0.154766172,0.020509312,0.119699388,0.014409568,0
same-sex_marriage1.0-10008,0,0,0,new york times,1996,9,13,19960913,0.280560014,0.209576576,0.50986341,0.095797328,0.904202672,0.001156467,0.000705812,0.009711806,0.025992952,0.003125296,0.044383126,0.004602747,0.000634671,0.002644035,0.000913771,0.007996026,0.007023583,0.888756262,0.002353445,0
same-sex_marriage1.0-10009,0,0,0,st. petersburg times,1996,9,13,19960913,0.502897114,0.257596288,0.239506598,0.02278417,0.97721583,0.000244959,0.00055921,0.005840918,0.027441464,0.011571706,0.026370887,0.000577824,0.000628873,0.000635115,0.020335871,0.001478661,0.011730465,0.891582449,0.001001598,0
same-sex_marriage1.0-10010,1,0,0,new york times,1996,9,12,19960912,0.42367436,0.275704766,0.300620874,0.31392114,0.68607886,0.016769922,0.008375724,0.088250424,0.008605321,0.027934622,0.184860189,0.010005003,0.002972349,0.003491262,0.005283832,0.035400901,0.126441454,0.144845523,0.336763476,0
same-sex_marriage1.0-10011,0,0,1,saint paul pioneer press,1996,9,12,19960912,0.553550398,0.284281827,0.162167775,0.807416636,0.192583364,0.063663062,0.003993968,0.001175953,0.002719474,0.090043425,0.188669818,0.000895831,0.000570356,0.001425847,0.060902679,0.004619488,0.017998514,0.558728016,0.004593571,0
same-sex_marriage1.0-10012,0,0,0,atlanta journal and constitution,1996,9,11,19960911,0.442211595,0.064199585,0.493588819,0.009458166,0.990541834,0.009349774,0.002465645,0.022692332,0.176505467,0.215590934,0.250687112,0.007907193,0.00545597,0.031194113,0.093132959,0.003960962,0.003218482,0.169198293,0.008640763,0
same-sex_marriage1.0-10013,0,0,0,daily news,1996,9,11,19960911,0.272689795,0.053433866,0.673876339,0.021896489,0.978103511,0.000412401,0.000686463,0.002166261,0.004014679,0.005475823,0.063725424,0.001862929,0.000617272,0.002435767,0.006673837,0.00240543,0.006223594,0.902467737,0.000832381,0
same-sex_marriage1.0-10015,0,0,0,new york times,1996,9,11,19960911,0.425632667,0.202671722,0.371695611,0.552694692,0.447305308,0.015496099,0.001337073,0.007318628,0.016549834,0.029812972,0.1033616,0.019037985,0.000881081,0.047090737,0.004888787,0.13565585,0.045690571,0.544782069,0.028096713,0
same-sex_marriage1.0-10016,0,0,0,new york times,1996,9,11,19960911,0.420826315,0.077550416,0.50162327,0.001057713,0.998942287,0.001148919,0.00121308,0.001120006,0.00832122,0.013697447,0.107898224,0.000709243,0.001068665,0.00194511,0.006332353,0.001719473,0.011491574,0.84154867,0.001786017,0
same-sex_marriage1.0-10018,0,0,0,philadelphia inquirer,1996,9,11,19960911,0.365307506,0.169997205,0.46469529,0.005838374,0.994161626,0.002794139,0.000673177,0.002151322,0.001234597,0.791538323,0.001101566,0.001307373,0.001115247,0.000963881,0.04501227,0.00605348,0.000208903,0.143823958,0.002021763,0
same-sex_marriage1.0-10019,0,0,1,saint paul pioneer press,1996,9,11,19960911,0.486193574,0.209330948,0.304475477,0.020605431,0.979394569,0.01856312,0.004576108,0.017372709,0.031874619,0.734121912,0.012596483,0.011179456,0.001358172,0.001755878,0.111658975,0.025548311,0.009058161,0.0082875,0.012048596,0
same-sex_marriage1.0-1002,0,0,0,new york times,2004,2,14,20040214,0.344714289,0.253284332,0.402001379,0.00716539,0.99283461,0.002353,0.00070605,0.08536198,0.002887706,0.814443921,0.008915689,0.013119736,0.0005944,0.000371699,0.052938648,0.000746625,0.006484559,0.009526886,0.001549103,0
same-sex_marriage1.0-10020,0,0,1,san jose mercury news,1996,9,11,19960911,0.212687532,0.194663029,0.592649439,0.060412584,0.939587416,0.001679552,0.000552848,0.009651081,0.015764326,0.000468117,0.01339004,0.001089674,0.0005785,0.000666519,0.004971622,0.001288256,0.103086676,0.842037295,0.004775494,0
same-sex_marriage1.0-10022,0,0,1,st. louis post-dispatch,1996,9,11,19960911,0.114743403,0.069629762,0.815626835,0.029467117,0.970532883,0.000159195,0.000665261,0.000632847,0.019712858,0.053260408,0.054109907,0.000668207,0.000601895,0.000325462,0.006563768,0.000936799,0.010862412,0.849650122,0.001850859,0
same-sex_marriage1.0-10023,0,1,0,washington post,1996,9,11,19960911,0.668681045,0.084074729,0.247244226,0.002710721,0.997289279,0.001433648,0.000879534,0.015165834,0.017025251,0.000138005,0.00677019,0.000992681,0.000636311,0.000601074,0.001613518,0.007417997,0.007881692,0.938544765,0.000899501,0
same-sex_marriage1.0-10024,0,0,0,washington post,1996,9,10,19960910,0.374308048,0.27416201,0.351529942,0.471952214,0.528047786,0.005373283,0.000876694,0.013504413,0.004582251,0.299485353,0.2596533,0.001568818,0.000738059,0.003072833,0.006287184,0.008603476,0.010795969,0.377171928,0.008286439,0
same-sex_marriage1.0-10025,0,0,1,washington post,1996,9,10,19960910,0.730166999,0.1056534,0.1641796,0.013933246,0.986066754,0.011980227,0.00325031,0.014541774,0.05867672,0.11203924,0.316077031,0.008107576,0.002188073,0.004823132,0.210876577,0.063492661,0.003216776,0.18079107,0.009938835,0
same-sex_marriage1.0-10026,0,0,0,new york times,1996,9,9,19960909,0.616668808,0.121705555,0.261625636,0.101995843,0.898004157,0.007136389,0.004727925,0.015515195,0.028917595,0.014215796,0.276036277,0.001580824,0.000671423,0.001131813,0.000715027,0.0030659,0.329222186,0.314278332,0.002785318,0
same-sex_marriage1.0-10027,0,0,0,st. louis post-dispatch,1996,9,9,19960909,0.407851283,0.153778135,0.438370582,0.99287888,0.00712112,0.006862917,0.001720671,0.020665996,0.055053626,0.392426565,0.155071424,0.005574902,0.002399528,0.002925994,0.010281431,0.076905708,0.084553668,0.18272,0.002837571,0
same-sex_marriage1.0-10028,0,0,1,new york times,1996,9,8,19960908,0.492280222,0.251866058,0.255853721,0.309152843,0.690847157,0.005573955,0.001453674,0.017467928,0.016173276,0.091692052,0.030269507,0.001122673,0.001315213,0.000659488,0.017255102,0.693885973,0.00470977,0.097983224,0.020438164,0
same-sex_marriage1.0-10029,0,0,0,new york times,1996,9,6,19960906,0.433150284,0.05902539,0.507824327,0.003227796,0.996772204,0.001310946,0.000734303,0.003282658,0.002090854,0.002872914,0.003112925,0.003439276,0.00066029,0.006173964,0.000693109,0.002180645,0.007046631,0.964895837,0.001505649,0
same-sex_marriage1.0-10030,0,0,0,new york times,1996,9,6,19960906,0.379154933,0.300201965,0.320643102,0.020517935,0.979482065,0.001286171,0.001178203,0.000658311,0.001438889,0.440401264,0.113560805,0.004913134,0.00099189,0.000873528,0.001795779,9.28E-05,0.007127059,0.415977971,0.009704162,0
same-sex_marriage1.0-10031,0,0,0,atlanta journal and constitution,1996,9,5,19960905,0.55242078,0.200655524,0.246923695,0.088527573,0.911472427,0.125412361,0.001372262,0.029175099,0.032856523,0.231025759,0.101793493,0.001326798,0.002461931,0.055284533,0.328775048,0.041242401,0.031341787,0.010465982,0.007466023,0
same-sex_marriage1.0-10032,1,0,0,daily news,1996,9,5,19960905,0.427796567,0.27025178,0.301951654,0.072501363,0.927498637,0.008402096,0.000579071,0.006175547,0.004253004,0.004473366,0.041004333,0.020230561,0.000605939,0.005350062,0.005785424,0.001598867,0.001598083,0.894925222,0.005018425,0
same-sex_marriage1.0-10033,0,0,0,saint paul pioneer press,1996,9,5,19960905,0.175806919,0.227999858,0.596193223,0.173799963,0.826200037,0.046596438,0.005320591,0.030446326,0.038680217,0.012434928,0.197894478,0.017814973,0.001404229,0.003247653,0.008057414,0.009295601,0.030788916,0.587479993,0.010538244,0
same-sex_marriage1.0-10034,0,0,1,atlanta journal and constitution,1996,9,4,19960904,0.797170198,0.083487777,0.119342025,0.010596735,0.989403265,0.002511712,0.000754123,0.004231984,0.552785739,0.020969326,0.149338801,0.001111627,0.001941825,0.075266923,0.054247895,0.04487519,0.014254589,0.074007108,0.003703159,0
same-sex_marriage1.0-10035,0,0,1,st. louis post-dispatch,1996,9,4,19960904,0.417197082,0.244601591,0.338201327,0.044968299,0.955031701,0.002287223,0.000854687,0.004927876,0.023472415,0.02747291,0.065532952,0.001778434,0.000719532,0.002814423,0.011803438,0.001354853,0.000420037,0.854093726,0.002467495,0
same-sex_marriage1.0-10036,0,0,0,washington post,1996,9,3,19960903,0.386236703,0.191875124,0.421888173,0.023923254,0.976076746,0.000861655,0.000910713,0.004843024,0.014163581,0.296004122,0.075267994,0.000244195,0.000658868,0.001064942,0.009363879,0.006389616,0.00025711,0.583382144,0.006588156,0
same-sex_marriage1.0-10037,0,0,1,philadelphia inquirer,1996,8,31,19960831,0.388099618,0.09361116,0.518289221,0.002074095,0.997925905,0.005021806,0.000868211,0.004337614,0.000782836,0.589093486,0.021977796,0.001091019,0.000780701,0.003931377,0.061764825,0.114312873,0.006025575,0.176912765,0.013099118,0
same-sex_marriage1.0-10038,0,0,0,palm beach post,1996,8,28,19960828,0.411487224,0.177382373,0.411130403,0.558147838,0.441852162,0.022206331,0.00164977,0.073294666,0.011069906,0.022659589,0.003241333,0.00104658,0.000589058,0.003495527,0.037807737,0.086310978,0.696764163,0.032166334,0.007698027,0
same-sex_marriage1.0-10039,0,0,1,new york times,1996,8,24,19960824,0.146559107,0.197073121,0.656367772,0.015572393,0.984427607,0.001791792,0.000561647,0.001998028,0.003058681,0.033735223,0.079641553,0.00164013,0.000838616,0.000491865,6.84E-05,0.000137603,0.008823993,0.862353557,0.004858889,0
same-sex_marriage1.0-1004,1,0,0,new york times,2004,2,14,20040214,0.282903026,0.260324035,0.456772939,0.272786066,0.727213934,0.029731538,0.004940276,0.066427072,0.016357387,0.576257498,0.009874746,0.097390842,0.0053621,0.007423608,0.087472172,0.029851507,0.02162651,0.02675262,0.020532125,0
same-sex_marriage1.0-10040,0,0,0,san jose mercury news,1996,8,21,19960821,0.202131751,0.229652401,0.568215848,0.006589468,0.993410532,0.001269868,0.000898789,0.000243096,0.001092485,0.014101875,0.03500084,0.002248724,0.000650241,0.00121881,0.00288022,0.005139426,0.000754015,0.922652802,0.01184881,0
same-sex_marriage1.0-10041,0,0,0,san jose mercury news,1996,8,20,19960820,0.275554786,0.192131158,0.532314056,0.014215995,0.985784005,0.000812791,0.001050925,0.001136309,0.012263391,0.013254305,0.420712551,0.001109483,0.000636093,0.00855376,0.004801769,0.000990074,0.02947961,0.47585279,0.029346149,0
same-sex_marriage1.0-10042,0,0,0,atlanta journal and constitution,1996,8,19,19960819,0.423618609,0.350918719,0.225462672,0.117477023,0.882522977,0.004908785,0.005602312,0.006846004,0.002864928,0.008582478,0.01175362,0.00235583,0.001002468,0.001613592,0.025678011,0.22864804,0.693760413,0.005544056,0.000839461,0
same-sex_marriage1.0-10043,0,0,0,saint paul pioneer press,1996,8,19,19960819,0.447573612,0.358278956,0.194147433,0.332701091,0.667298909,0.019598089,0.024324125,0.037459037,0.096866957,0.041375683,0.065498949,0.062543753,0.005621044,0.025831138,0.013131722,0.133974978,0.459591577,0.006525802,0.007657147,0
same-sex_marriage1.0-10044,1,0,0,san jose mercury news,1996,8,19,19960819,0.546503941,0.21600209,0.237493968,0.72553601,0.27446399,0.065008694,0.001063059,0.079982709,0.084941296,0.023937722,0.009764746,0.02306605,0.000508308,0.015986131,0.013487757,0.144115228,0.530073774,0.005261275,0.002803252,0
same-sex_marriage1.0-10045,0,0,1,st. louis post-dispatch,1996,8,19,19960819,0.59639357,0.102129797,0.301476633,0.303325823,0.696674177,0.038844489,0.001027471,0.009203812,0.003170017,0.027850865,0.004004224,0.003665057,0.000743338,0.001851865,0.029269876,0.069365916,0.809123591,0.00109216,0.000787318,0
same-sex_marriage1.0-10046,0,0,0,san jose mercury news,1996,8,15,19960815,0.417645781,0.189077708,0.393276511,0.017784221,0.982215779,0.008420999,0.002518722,0.05946607,0.070391797,0.049235853,0.184439745,0.009023258,0.001370158,0.005485883,0.007709585,0.011885825,0.371175231,0.21012605,0.008750823,0
same-sex_marriage1.0-10047,0,0,0,philadelphia inquirer,1996,8,13,19960813,0.79546116,0.129965837,0.074573003,0.017662932,0.982337068,0.198277058,0.001452156,0.012037578,0.012147459,0.007588873,0.050171193,0.002222562,0.007235839,0.009561239,0.506329968,0.067168447,0.106996956,0.016929502,0.001881169,0
same-sex_marriage1.0-10048,1,0,0,san jose mercury news,1996,8,13,19960813,0.354671785,0.252784287,0.392543928,0.034272448,0.965727552,0.01261853,0.005008719,0.027474864,0.017299004,0.016116825,0.567020544,0.01289776,0.000561235,0.039373978,0.002990443,0.004219683,0.058422014,0.230768681,0.00522772,0
same-sex_marriage1.0-10049,0,0,0,san jose mercury news,1996,8,13,19960813,0.629818323,0.284321146,0.085860531,0.979300715,0.020699285,0.0300996,0.001587154,0.31741418,0.061329365,0.036156224,0.224503325,0.001490633,0.000856232,0.004129678,0.207822509,0.018280328,0.013171191,0.076016736,0.007142843,0
same-sex_marriage1.0-1005,0,0,1,new york times,2004,2,14,20040214,0.715278429,0.16112874,0.123592831,0.1029034,0.8970966,0.001156337,0.000653643,0.009495778,0.003431048,0.130789268,0.001661084,0.003570412,0.001033416,0.000419634,0.102708379,0.024657974,0.009622473,0.709867819,0.000932733,0
same-sex_marriage1.0-10050,0,0,0,san jose mercury news,1996,8,11,19960811,0.455267348,0.32211743,0.222615222,0.498377006,0.501622994,0.011694363,0.001439336,0.689338723,0.06206688,0.015884782,0.035023909,0.010631159,0.000552268,0.0037841,0.011283205,0.003718822,0.025710635,0.128169159,0.000702659,0
same-sex_marriage1.0-10051,0,0,0,washington post,1996,8,10,19960810,0.461176632,0.276407727,0.262415641,0.072911311,0.927088689,0.000567482,0.00076664,0.003392811,0.001310028,0.008228028,0.002671166,0.001557265,0.000693619,0.000463479,0.002870166,0.037075922,0.002697831,0.936450885,0.001254678,0
same-sex_marriage1.0-10052,0,0,0,new york times,1996,8,7,19960807,0.442787812,0.100211764,0.457000423,0.012856663,0.987143337,0.014049073,0.000963766,0.023038637,0.005845487,0.006889741,0.004638154,0.000688802,0.004694108,0.001491894,0.002843763,0.131394594,0.070635444,0.726178057,0.00664848,0
same-sex_marriage1.0-10053,0,0,1,philadelphia inquirer,1996,8,7,19960807,0.359591507,0.179578291,0.460830202,0.084046683,0.915953317,0.010126932,0.000764634,0.00249928,0.016212639,0.606526435,0.014663019,0.002721683,0.008488006,0.048890723,0.055155489,0.00118057,0.003524814,0.228222853,0.001022924,0
same-sex_marriage1.0-10054,0,0,0,atlanta journal and constitution,1996,8,6,19960806,0.600007397,0.078488381,0.321504222,0.04486952,0.95513048,0.009465078,0.000784736,0.022017745,0.060106241,0.003009432,0.012739448,0.001831219,0.001006899,0.001039298,0.023238209,0.008223626,0.016036488,0.83921696,0.001284621,0
same-sex_marriage1.0-10055,0,0,0,st. petersburg times,1996,8,6,19960806,0.472546561,0.146254777,0.381198662,0.393520035,0.606479965,0.045182459,0.014689202,0.057111924,0.044117229,0.009153052,0.021998485,0.01662383,0.001808103,0.017196542,0.044891183,0.057954999,0.022168476,0.642391301,0.004713215,0
same-sex_marriage1.0-10056,0,1,0,atlanta journal and constitution,1996,8,3,19960803,0.498147804,0.118903888,0.382948307,0.181412163,0.818587837,0.005755552,0.001137198,0.019026361,0.009219213,0.034407938,0.016881625,0.002316981,0.000765549,0.00722223,0.023652687,0.02821299,0.029996316,0.817549101,0.00385626,0
same-sex_marriage1.0-10057,0,0,0,new york times,1996,8,3,19960803,0.516715016,0.068944192,0.414340793,0.091749616,0.908250384,0.002973825,0.000749056,0.006124725,0.003149322,0.009497863,0.002999948,0.001260542,0.00067771,0.001720402,0.002241598,0.083856116,0.02000366,0.835118174,0.02962706,0
same-sex_marriage1.0-10058,0,1,0,san jose mercury news,1996,8,3,19960803,0.129275789,0.164583258,0.706140953,0.008475173,0.991524827,0.00116296,0.000882298,0.014697225,0.005126512,0.00311695,0.017793457,0.001229927,0.000910825,0.007487056,0.003131044,0.0025649,0.001983097,0.933339164,0.006574586,0
same-sex_marriage1.0-1006,0,0,1,philadelphia inquirer,2004,2,14,20040214,0.573707261,0.135922446,0.290370293,0.000927847,0.999072153,0.005515521,0.002504706,0.02229259,0.003957558,0.738493635,0.001505925,0.00238309,0.000530755,0.000454522,0.210985183,0.0039851,0.000189296,0.005874091,0.00132803,0
same-sex_marriage1.0-10060,0,0,0,washington post,1996,8,3,19960803,0.070266404,0.35156288,0.578170717,0.007604666,0.992395334,0.006484479,0.000837768,0.06051406,0.007560338,0.000173624,0.007658651,0.000941399,0.001306524,0.004217285,0.009546994,0.00851717,0.00243472,0.888036969,0.001770021,0
same-sex_marriage1.0-10061,0,0,1,new york times,1996,7,28,19960728,0.757563092,0.092504306,0.149932601,0.015791493,0.984208507,0.062894079,0.000704477,0.003461305,0.002782229,0.072042047,0.007143965,0.002565015,0.000896082,0.00159909,0.602848382,0.03963232,0.001349307,0.199186757,0.002894945,0
same-sex_marriage1.0-10062,0,0,0,new york times,1996,7,27,19960727,0.799097632,0.109477349,0.091425019,0.40052426,0.59947574,0.043151874,0.002048558,0.151930294,0.106069019,0.501632252,0.047883237,0.018697083,0.001842077,0.018922829,0.061882976,0.011673958,0.004771084,0.006272215,0.023222544,0
same-sex_marriage1.0-10063,0,1,0,washington post,1996,7,27,19960727,0.473902989,0.196106111,0.3299909,0.016103111,0.983896889,0.001568597,0.000946648,0.00788494,0.002808515,0.044233934,0.001841724,0.003239981,0.000792068,0.001889054,0.026827232,0.018561903,0.005557987,0.874797786,0.009049632,0
same-sex_marriage1.0-10064,0,0,0,atlanta journal and constitution,1996,7,26,19960726,0.605112645,0.037961771,0.356925584,0.955089582,0.044910418,0.001047979,0.000790995,0.049965465,0.237591999,0.004526827,0.60781527,0.001349167,0.00081657,0.000854439,0.020704788,0.02217503,0.034593377,0.014412256,0.003355835,0
same-sex_marriage1.0-10065,0,0,0,daily news,1996,7,26,19960726,0.383438287,0.417779872,0.198781842,0.019053768,0.980946232,0.003949696,0.01199732,0.014522514,0.036050274,0.004283195,0.130825059,0.009842099,0.000935855,0.001611587,0.00239136,0.034427202,0.40854379,0.336995825,0.003624225,0
same-sex_marriage1.0-10066,0,0,1,st. petersburg times,1996,7,25,19960725,0.603955563,0.079585687,0.316458751,0.585524485,0.414475515,0.046835142,0.001715116,0.07702119,0.031409462,0.001899108,0.019112259,0.001773115,0.002919269,0.00483643,0.719908014,0.028715671,0.014180978,0.042536062,0.007138183,0
same-sex_marriage1.0-10067,0,0,0,st. louis post-dispatch,1996,7,22,19960722,0.248723688,0.176224787,0.575051525,0.872823111,0.127176889,0.003767889,0.001307609,0.08162931,0.011796483,0.0127188,0.118246481,0.001329895,0.000880268,0.012515431,0.021590755,0.004303398,0.033583175,0.69341207,0.002918436,0
same-sex_marriage1.0-10068,0,0,0,denver post,1996,7,21,19960721,0.616946261,0.270951603,0.112102136,0.659822422,0.340177578,0.010137136,0.000695364,0.010700683,0.124857314,0.047252025,0.014117991,0.000987941,0.000727628,0.000420229,0.05840827,0.414535154,0.248490073,0.05985787,0.008812322,0
same-sex_marriage1.0-10069,0,0,0,st. petersburg times,1996,7,21,19960721,0.421171659,0.306206439,0.272621903,0.057675264,0.942324736,0.003812716,0.002534827,0.085991893,0.10741024,0.001088021,0.183248804,0.000734306,0.000577164,0.000428992,0.000913422,0.009046522,0.012489751,0.580048661,0.011674681,0
same-sex_marriage1.0-1007,0,0,0,philadelphia inquirer,2004,2,14,20040214,0.265668506,0.340401321,0.393930173,0.008545413,0.991454587,0.002694309,0.002219649,0.001979556,0.017112792,0.104876553,0.005229925,0.004903962,0.000851671,0.000210272,0.001838694,0.005533248,0.025590024,0.823471997,0.003487351,0
same-sex_marriage1.0-10070,0,0,0,new york times,1996,7,20,19960720,0.075221019,0.11278067,0.811998311,0.463307699,0.536692301,0.000621951,0.000517138,0.098677524,0.003988674,0.607510698,0.265917025,0.002074088,0.000802106,0.000980357,0.003465715,0.000225578,0.000289728,0.003205313,0.011724103,0
same-sex_marriage1.0-10072,0,0,0,st. louis post-dispatch,1996,7,19,19960719,0.661196131,0.16038738,0.178416488,0.04387756,0.95612244,0.019759729,0.005764973,0.003714412,0.040276045,0.005315525,0.008062256,0.00135324,0.000647025,0.001744487,0.016322653,0.023724723,0.870954661,0.001059903,0.001300368,0
same-sex_marriage1.0-10073,0,0,1,herald-sun,1996,7,18,19960718,0.423333513,0.116373421,0.460293066,0.127803801,0.872196199,0.00141201,0.003547479,0.037806296,0.003179752,0.05978533,0.084464348,0.008701602,0.000751721,0.005100175,0.006093996,0.287018845,0.49341,0.003377521,0.005350926,0
same-sex_marriage1.0-10074,0,0,1,new york times,1996,7,18,19960718,0.776427556,0.041727444,0.181844999,0.811329657,0.188670343,0.005619766,0.00086726,0.446744963,0.005680083,0.368437272,0.019437765,0.008163113,0.001041826,0.005317202,0.018748678,0.029879819,0.00319232,0.069209962,0.017659971,0
same-sex_marriage1.0-10075,0,0,0,saint paul pioneer press,1996,7,16,19960716,0.369289292,0.170631525,0.460079182,0.010535734,0.989464266,0.005602071,0.010681925,0.015434731,0.01712215,0.003701561,0.165778231,0.019740607,0.003476235,0.002833363,0.008140972,0.003197451,0.022795389,0.711821042,0.009674271,0
same-sex_marriage1.0-10076,0,0,1,st. louis post-dispatch,1996,7,16,19960716,0.477103743,0.261913878,0.260982379,0.955548307,0.044451693,0.108975888,0.002623254,0.240978877,0.140537867,0.001205567,0.094203224,0.001898641,0.000860434,0.015957916,0.114443222,0.108502491,0.055958711,0.103382875,0.010471032,0
same-sex_marriage1.0-10077,0,0,0,atlanta journal and constitution,1996,7,14,19960714,0.284045251,0.160193895,0.555760854,0.327671711,0.672328289,0.028446211,0.00603666,0.035886473,0.005731382,0.003651683,0.075726629,0.021315676,0.003983911,0.005643738,0.011060804,0.010628808,0.044626236,0.744938994,0.002322794,0
same-sex_marriage1.0-10078,0,0,0,new york times,1996,7,14,19960714,0.087428294,0.194550243,0.718021463,0.018480523,0.981519477,0.007531157,0.000926326,0.001072568,0.001960237,0.004302766,0.092154948,0.001234293,0.001503402,0.001173348,0.000293874,0.038949335,0.015196945,0.797561098,0.036139701,0
same-sex_marriage1.0-10079,1,0,0,new york times,1996,7,14,19960714,0.32496772,0.229399721,0.445632559,0.056994671,0.943005329,0.206704601,0.00782656,0.042648439,0.003334932,0.026573197,0.467699717,0.002653651,0.001972778,0.001734923,0.005437462,0.002351964,0.027232349,0.200313951,0.003515475,0
same-sex_marriage1.0-10080,0,0,0,atlanta journal and constitution,1996,7,13,19960713,0.308484507,0.087777971,0.603737522,0.003699601,0.996300399,0.000565311,0.00068231,0.008051472,0.012405232,0.007869038,0.053958048,0.000609355,0.00061732,0.000611738,0.001457191,0.001138604,0.001203282,0.909259609,0.001571489,0
same-sex_marriage1.0-10081,0,0,0,daily news,1996,7,13,19960713,0.35906257,0.288395844,0.352541586,0.07068211,0.92931789,0.000652055,0.000968296,0.002169474,0.011394939,0.007994178,0.022959243,0.002368628,0.000651846,0.001492848,0.007838168,0.000292688,0.000519723,0.93926424,0.001433673,0
same-sex_marriage1.0-10082,0,0,0,denver post,1996,7,13,19960713,0.333616093,0.141405815,0.524978093,0.009751819,0.990248181,0.000451325,0.000703994,0.009037092,0.001592046,0.003651894,0.018927189,0.002193848,0.000633036,0.000875048,0.001768126,0.001008358,0.001307246,0.930499162,0.027351637,0
same-sex_marriage1.0-10083,0,0,0,herald-sun,1996,7,13,19960713,0.256565173,0.140272945,0.603161882,0.120766114,0.879233886,0.000416654,0.000670222,0.025844817,0.002392818,0.035317442,0.039452607,0.002729147,0.001117198,0.000788189,0.002786433,0.000915646,0.000916329,0.877489835,0.009162662,0
same-sex_marriage1.0-10084,0,0,0,new york times,1996,7,13,19960713,0.246717594,0.250188062,0.503094344,0.341532526,0.658467474,0.006742657,0.002562351,0.018751383,0.017267281,0.325255183,0.030724344,0.006534736,0.001816243,0.008975126,0.050320088,0.005479123,0.009653604,0.508572562,0.007345318,0
same-sex_marriage1.0-10085,0,0,1,new york times,1996,7,13,19960713,0.340880276,0.088596074,0.57052365,0.004058667,0.995941333,0.000682004,0.000463383,0.00066125,0.000373636,0.141100091,0.084117274,0.001014243,0.000960085,0.000614574,0.000594585,0.000647762,0.001196825,0.759130366,0.008443922,0
