,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
Tobacco1.0-11311,0,0,1,atlanta journal and constitution,1996,8,23,19960823,0
Tobacco1.0-23622,0,0,1,daily news,2003,1,18,20030118,0
Tobacco1.0-18193,0,0,1,denver post,2001,9,27,20010927,12
Tobacco1.0-22484,0,0,1,palm beach post,2000,6,24,20000624,8
Tobacco1.0-12310,0,1,0,st. louis post-dispatch,1997,5,25,19970525,10
Tobacco1.0-22393,0,0,1,san jose mercury news,2011,7,24,20110724,12
Tobacco1.0-25595,0,0,1,usa today,2006,11,15,20061115,8
Tobacco1.0-11226,0,0,1,st. louis post-dispatch,1996,8,29,19960829,0
Tobacco1.0-11039,0,0,1,denver post,1996,9,20,19960920,12
Tobacco1.0-2681,0,0,1,saint paul pioneer press,1998,1,24,19980124,4
Tobacco1.0-11792,0,0,1,new york times,1996,10,19,19961019,4
Tobacco1.0-12323,0,0,1,herald-sun,1997,5,23,19970523,10
Tobacco1.0-11797,0,0,1,san jose mercury news,1996,10,19,19961019,8
Tobacco1.0-2177,0,0,1,herald-sun,1997,3,23,19970323,4
Tobacco1.0-2179,0,0,1,new york times,1997,3,23,19970323,4
Tobacco1.0-12905,0,0,1,herald-sun,1997,6,4,19970604,4
Tobacco1.0-20259,0,0,1,washington post,2004,6,10,20040610,6
Tobacco1.0-24756,0,0,1,san jose mercury news,2004,3,18,20040318,4
Tobacco1.0-7891,0,0,1,new york times,1994,4,4,19940404,8
Tobacco1.0-11001,0,1,0,st. petersburg times,1996,9,29,19960929,9
Tobacco1.0-27283,0,0,1,st. petersburg times,1992,3,17,19920317,10
Tobacco1.0-11003,0,0,1,st. louis post-dispatch,1996,9,29,19960929,0
Tobacco1.0-3794,0,0,1,st. louis post-dispatch,2001,3,28,20010328,8
Tobacco1.0-27286,0,0,1,washington post,1992,3,17,19920317,8
Tobacco1.0-23288,0,0,1,philadelphia inquirer,2000,7,2,20000702,0
Tobacco1.0-11006,0,0,1,atlanta journal and constitution,1996,9,28,19960928,12
Tobacco1.0-4688,0,0,1,philadelphia inquirer,2006,3,16,20060316,4
Tobacco1.0-4680,0,0,1,philadelphia inquirer,2006,3,17,20060317,0
Tobacco1.0-4683,0,1,0,saint paul pioneer press,2006,3,17,20060317,4
Tobacco1.0-25627,0,0,1,st. louis post-dispatch,2006,11,2,20061102,8
Tobacco1.0-3590,0,0,1,st. petersburg times,2000,2,13,20000213,5
Tobacco1.0-24625,0,0,1,new york times,2003,12,9,20031209,8
Tobacco1.0-4511,0,0,1,herald-sun,2005,2,5,20050205,4
Tobacco1.0-26132,0,0,1,palm beach post,2007,6,30,20070630,8
Tobacco1.0-4517,0,0,1,daily news,2005,2,4,20050204,8
Tobacco1.0-3619,0,0,1,new york times,2000,2,5,20000205,12
Tobacco1.0-22809,0,0,1,herald-sun,2000,4,11,20000411,12
Tobacco1.0-2772,0,0,1,washington post,1998,1,15,19980115,10
Tobacco1.0-27442,0,0,1,usa today,1992,1,27,19920127,5
Tobacco1.0-2771,0,0,1,washington post,1998,1,15,19980115,8
Tobacco1.0-2774,0,0,1,atlanta journal and constitution,1998,1,14,19980114,5
Tobacco1.0-22800,0,0,1,palm beach post,2000,4,12,20000412,4
Tobacco1.0-24394,0,1,0,new york times,2003,8,9,20030809,0
Tobacco1.0-18170,0,0,1,st. louis post-dispatch,2001,10,17,20011017,0
Tobacco1.0-4336,0,1,0,new york times,2005,3,22,20050322,8
Tobacco1.0-531,0,0,1,palm beach post,1991,2,2,19910202,8
Tobacco1.0-23756,0,1,0,san jose mercury news,2003,6,12,20030612,4
Tobacco1.0-24399,0,0,1,daily news,2003,8,7,20030807,10
Tobacco1.0-3424,0,0,1,new york times,2000,3,22,20000322,4
Tobacco1.0-23481,0,0,1,atlanta journal and constitution,2003,2,28,20030228,0
Tobacco1.0-24156,0,0,1,saint paul pioneer press,2003,10,29,20031029,0
Tobacco1.0-6094,0,0,1,st. louis post-dispatch,2010,3,14,20100314,5
Tobacco1.0-25443,0,0,1,saint paul pioneer press,2006,4,12,20060412,4
Tobacco1.0-24403,0,0,1,washington post,2003,8,7,20030807,12
Tobacco1.0-25976,0,1,0,saint paul pioneer press,2007,9,26,20070926,0
Tobacco1.0-16725,0,0,1,herald-sun,1999,11,20,19991120,0
Tobacco1.0-21910,0,1,0,washington post,2010,11,28,20101128,0
Tobacco1.0-2378,0,0,1,washington post,1997,2,19,19970219,5
Tobacco1.0-24717,0,1,0,denver post,2004,3,31,20040331,12
Tobacco1.0-21443,0,0,1,usa today,2008,10,9,20081009,3
Tobacco1.0-24718,0,0,1,palm beach post,2004,3,31,20040331,0
Tobacco1.0-7620,0,0,1,new york times,1994,5,27,19940527,12
Tobacco1.0-4205,0,0,1,philadelphia inquirer,2002,2,2,20020202,6
Tobacco1.0-26497,0,0,1,philadelphia inquirer,2012,7,31,20120731,5
Tobacco1.0-15308,0,1,0,philadelphia inquirer,1998,11,16,19981116,4
Tobacco1.0-8234,0,0,1,palm beach post,1995,4,8,19950408,4
Tobacco1.0-15305,0,0,1,denver post,1998,11,16,19981116,9
Tobacco1.0-15300,0,0,1,st. louis post-dispatch,1998,11,17,19981117,0
Tobacco1.0-669,0,0,1,new york times,1993,4,2,19930402,4
Tobacco1.0-20090,0,1,0,st. louis post-dispatch,2004,7,16,20040716,0
Tobacco1.0-20091,0,0,1,atlanta journal and constitution,2004,7,15,20040715,5
Tobacco1.0-4028,0,0,1,denver post,2001,1,2,20010102,8
Tobacco1.0-9012,0,0,1,new york times,1991,7,2,19910702,12
Tobacco1.0-2372,0,0,1,herald-sun,1997,2,19,19970219,4
Tobacco1.0-14787,0,0,1,daily news,1998,5,7,19980507,5
Tobacco1.0-14786,0,0,1,atlanta journal and constitution,1998,5,7,19980507,5
Tobacco1.0-4022,0,0,1,denver post,2001,1,4,20010104,9
Tobacco1.0-20870,0,0,1,st. petersburg times,2005,4,12,20050412,8
Tobacco1.0-15949,0,0,1,st. petersburg times,1999,5,8,19990508,6
Tobacco1.0-15495,0,0,1,atlanta journal and constitution,1998,10,9,19981009,10
Tobacco1.0-10449,0,0,1,st. louis post-dispatch,1995,9,2,19950902,10
Tobacco1.0-10446,0,0,1,st. louis post-dispatch,1995,9,3,19950903,4
Tobacco1.0-21872,0,0,1,san jose mercury news,2010,12,20,20101220,10
Tobacco1.0-15943,0,0,1,daily news,1999,5,8,19990508,6
Tobacco1.0-10190,0,0,1,daily news,1995,11,14,19951114,11
Tobacco1.0-1489,0,0,1,palm beach post,1995,2,22,19950222,4
Tobacco1.0-27265,0,0,1,usa today,1992,3,24,19920324,5
Tobacco1.0-15833,0,0,1,new york times,1999,6,4,19990604,4
Tobacco1.0-11365,0,0,1,denver post,1996,8,17,19960817,0
Tobacco1.0-3703,0,0,1,herald-sun,2000,1,18,20000118,0
Tobacco1.0-15788,0,1,0,atlanta journal and constitution,1999,6,12,19990612,5
Tobacco1.0-2955,0,0,1,washington post,1999,3,17,19990317,5
Tobacco1.0-9493,0,0,1,herald-sun,1995,8,9,19950809,0
Tobacco1.0-13631,0,1,0,denver post,1997,10,11,19971011,4
Tobacco1.0-27062,0,0,1,palm beach post,1990,3,7,19900307,5
Tobacco1.0-14548,0,0,1,palm beach post,1998,5,31,19980531,10
Tobacco1.0-27066,0,0,1,palm beach post,1990,3,5,19900305,0
Tobacco1.0-10043,0,0,1,palm beach post,1995,12,19,19951219,4
Tobacco1.0-10040,0,0,1,new york times,1995,12,21,19951221,5
Tobacco1.0-15548,0,0,1,st. louis post-dispatch,1998,12,28,19981228,0
Tobacco1.0-15549,0,0,1,new york times,1998,12,27,19981227,4
Tobacco1.0-9120,0,0,1,new york times,1992,11,15,19921115,12
Tobacco1.0-14012,0,0,1,denver post,1997,12,23,19971223,12
Tobacco1.0-20275,0,0,1,atlanta journal and constitution,2004,6,4,20040604,8
Tobacco1.0-20272,0,0,1,st. petersburg times,2004,6,5,20040605,0
Tobacco1.0-20270,0,0,1,new york times,2004,6,5,20040605,5
Tobacco1.0-20271,0,0,1,saint paul pioneer press,2004,6,5,20040605,12
Tobacco1.0-997,0,0,1,atlanta journal and constitution,1994,3,27,19940327,8
Tobacco1.0-17945,0,0,1,saint paul pioneer press,2000,10,10,20001010,0
Tobacco1.0-440,0,1,0,usa today,1991,3,26,19910326,4
Tobacco1.0-26955,0,0,1,usa today,1990,5,25,19900525,0
Tobacco1.0-5139,0,0,1,saint paul pioneer press,2007,1,25,20070125,5
Tobacco1.0-11367,0,0,1,philadelphia inquirer,1996,8,17,19960817,0
Tobacco1.0-22202,0,0,1,new york times,2011,11,17,20111117,0
Tobacco1.0-14301,0,0,1,washington post,1998,2,28,19980228,4
Tobacco1.0-19853,0,0,1,new york times,2004,9,26,20040926,0
Tobacco1.0-14303,0,0,1,palm beach post,1998,2,27,19980227,4
Tobacco1.0-13404,0,0,1,san jose mercury news,1997,8,13,19970813,12
Tobacco1.0-13400,0,0,1,herald-sun,1997,8,13,19970813,11
Tobacco1.0-14309,0,0,1,st. louis post-dispatch,1998,2,27,19980227,4
Tobacco1.0-19858,0,0,1,philadelphia inquirer,2004,9,24,20040924,4
Tobacco1.0-20789,0,0,1,atlanta journal and constitution,2005,5,10,20050510,5
Tobacco1.0-6474,0,0,1,daily news,2011,2,6,20110206,10
Tobacco1.0-11406,0,0,1,denver post,1996,8,10,19960810,0
Tobacco1.0-4933,0,0,1,washington post,2007,3,28,20070328,5
Tobacco1.0-14674,0,0,1,washington post,1998,5,17,19980517,0
Tobacco1.0-1039,0,0,1,san jose mercury news,1994,3,22,19940322,0
Tobacco1.0-10535,0,0,1,new york times,1993,11,12,19931112,12
Tobacco1.0-21450,0,0,1,washington post,2008,10,7,20081007,4
Tobacco1.0-21453,0,0,1,philadelphia inquirer,2008,10,6,20081006,0
Tobacco1.0-1030,0,0,1,new york times,1994,3,23,19940323,12
Tobacco1.0-13626,0,0,1,st. louis post-dispatch,1997,10,12,19971012,9
Tobacco1.0-25573,0,0,1,washington post,2006,11,23,20061123,5
Tobacco1.0-21908,0,1,0,usa today,2010,12,2,20101202,8
Tobacco1.0-26489,0,0,1,usa today,2012,8,7,20120807,8
Tobacco1.0-10539,0,0,1,new york times,1993,11,11,19931111,0
Tobacco1.0-5001,0,0,1,new york times,2007,3,3,20070303,0
Tobacco1.0-10220,0,0,1,usa today,1995,11,9,19951109,4
Tobacco1.0-10997,0,0,1,new york times,1996,9,29,19960929,12
Tobacco1.0-10992,0,0,1,palm beach post,1994,10,1,19941001,12
Tobacco1.0-13531,0,0,1,san jose mercury news,1997,10,29,19971029,10
Tobacco1.0-17897,0,0,1,san jose mercury news,2000,11,3,20001103,10
Tobacco1.0-13243,0,0,1,atlanta journal and constitution,1997,8,27,19970827,6
Tobacco1.0-14161,0,0,1,washington post,1997,11,30,19971130,10
Tobacco1.0-20474,0,0,1,daily news,2004,4,13,20040413,9
Tobacco1.0-25117,0,0,1,atlanta journal and constitution,2006,7,15,20060715,0
Tobacco1.0-18956,0,0,1,denver post,2002,6,4,20020604,9
Tobacco1.0-21473,0,0,1,san jose mercury news,2008,9,23,20080923,9
Tobacco1.0-21298,0,0,1,philadelphia inquirer,2005,8,2,20050802,8
Tobacco1.0-21292,0,0,1,saint paul pioneer press,2005,8,5,20050805,0
Tobacco1.0-14826,0,0,1,saint paul pioneer press,1998,5,2,19980502,0
Tobacco1.0-5797,0,0,1,san jose mercury news,2008,3,26,20080326,6
Tobacco1.0-26826,0,0,1,palm beach post,2013,2,21,20130221,9
Tobacco1.0-6680,0,1,0,washington post,2012,3,18,20120318,5
Tobacco1.0-12115,0,0,1,atlanta journal and constitution,1997,4,13,19970413,0
Tobacco1.0-19671,0,0,1,st. louis post-dispatch,2004,11,24,20041124,12
Tobacco1.0-18723,0,0,1,daily news,2002,8,10,20020810,5
Tobacco1.0-13333,0,0,1,washington post,1997,8,22,19970822,0
Tobacco1.0-1327,0,0,1,san jose mercury news,1994,1,4,19940104,8
Tobacco1.0-13335,0,0,1,new york times,1997,8,21,19970821,4
Tobacco1.0-18725,0,0,1,new york times,2002,8,10,20020810,10
Tobacco1.0-6115,0,0,1,daily news,2010,3,1,20100301,8
Tobacco1.0-13338,0,0,1,philadelphia inquirer,1997,8,21,19970821,4
Tobacco1.0-12752,0,1,0,san jose mercury news,1997,6,21,19970621,4
Tobacco1.0-5640,0,0,1,st. petersburg times,2008,6,1,20080601,9
Tobacco1.0-12755,0,0,1,st. louis post-dispatch,1997,6,21,19970621,5
Tobacco1.0-5313,0,1,0,daily news,2009,5,19,20090519,4
Tobacco1.0-12757,0,0,1,st. louis post-dispatch,1997,6,21,19970621,0
Tobacco1.0-17094,0,0,1,washington post,1998,3,18,19980318,4
Tobacco1.0-17091,0,0,1,san jose mercury news,1998,3,18,19980318,12
Tobacco1.0-1986,0,0,1,atlanta journal and constitution,1996,2,4,19960204,0
Tobacco1.0-21054,0,0,1,atlanta journal and constitution,2005,11,11,20051111,0
Tobacco1.0-21056,0,0,1,san jose mercury news,2005,11,10,20051110,6
Tobacco1.0-17528,0,0,1,san jose mercury news,1998,7,29,19980729,8
Tobacco1.0-17529,0,0,1,herald-sun,1998,7,28,19980728,0
Tobacco1.0-5865,0,0,1,atlanta journal and constitution,2008,2,8,20080208,0
Tobacco1.0-18704,0,0,1,herald-sun,2002,8,14,20020814,0
Tobacco1.0-7645,0,0,1,san jose mercury news,1994,5,23,19940523,5
Tobacco1.0-12573,0,1,0,st. louis post-dispatch,1997,6,29,19970629,0
Tobacco1.0-12574,0,0,1,washington post,1997,6,29,19970629,4
Tobacco1.0-12576,0,0,1,washington post,1997,6,29,19970629,5
Tobacco1.0-10825,0,0,1,denver post,1994,11,16,19941116,8
Tobacco1.0-16141,0,0,1,philadelphia inquirer,1999,4,2,19990402,10
Tobacco1.0-16143,0,0,1,san jose mercury news,1999,4,2,19990402,5
Tobacco1.0-2210,0,0,1,herald-sun,1997,3,21,19970321,4
Tobacco1.0-1924,0,0,1,st. louis post-dispatch,1996,2,15,19960215,5
Tobacco1.0-1925,0,0,1,usa today,1996,2,15,19960215,8
Tobacco1.0-16923,0,0,1,st. louis post-dispatch,1999,10,9,19991009,5
Tobacco1.0-2218,0,0,1,philadelphia inquirer,1997,3,21,19970321,4
Tobacco1.0-6200,0,0,1,san jose mercury news,2011,6,29,20110629,8
Tobacco1.0-23357,0,0,1,san jose mercury news,2003,3,21,20030321,4
Tobacco1.0-5266,0,0,1,new york times,2009,6,12,20090612,5
Tobacco1.0-17387,0,1,0,washington post,1998,8,27,19980827,4
Tobacco1.0-23517,0,0,1,new york times,2003,2,16,20030216,5
Tobacco1.0-19451,0,0,1,herald-sun,2002,10,10,20021010,4
Tobacco1.0-17638,0,1,0,denver post,1998,7,8,19980708,10
Tobacco1.0-19101,0,0,1,daily news,2002,4,17,20020417,6
Tobacco1.0-18984,0,0,1,st. louis post-dispatch,2002,5,25,20020525,0
Tobacco1.0-22128,0,0,1,palm beach post,2010,7,15,20100715,10
Tobacco1.0-27109,0,0,1,st. louis post-dispatch,1990,2,21,19900221,8
Tobacco1.0-16211,0,0,1,new york times,1999,9,19,19990919,2
Tobacco1.0-12372,0,0,1,st. petersburg times,1997,5,20,19970520,10
Tobacco1.0-16851,0,1,0,new york times,1999,10,23,19991023,8
Tobacco1.0-19587,0,0,1,san jose mercury news,2004,12,30,20041230,9
Tobacco1.0-18858,0,0,1,new york times,2002,7,1,20020701,0
Tobacco1.0-11817,0,0,1,washington post,1996,10,17,19961017,0
Tobacco1.0-11814,0,0,1,philadelphia inquirer,1996,10,17,19961017,5
Tobacco1.0-25293,0,1,0,daily news,2006,6,1,20060601,5
Tobacco1.0-6067,0,0,1,usa today,2010,3,26,20100326,0
Tobacco1.0-18853,0,0,1,philadelphia inquirer,2002,7,2,20020702,0
Tobacco1.0-7241,0,0,1,atlanta journal and constitution,1993,7,2,19930702,5
Tobacco1.0-2360,0,0,1,san jose mercury news,1997,2,24,19970224,10
Tobacco1.0-7243,0,0,1,palm beach post,1993,7,2,19930702,10
Tobacco1.0-6669,0,0,1,daily news,2012,3,21,20120321,8
Tobacco1.0-2367,0,1,0,denver post,1997,2,20,19970220,6
Tobacco1.0-1813,0,0,1,palm beach post,1996,3,12,19960312,12
Tobacco1.0-6662,0,0,1,washington post,2012,3,27,20120327,8
Tobacco1.0-24987,0,0,1,palm beach post,2004,1,3,20040103,12
Tobacco1.0-22729,0,0,1,saint paul pioneer press,2000,5,1,20000501,11
Tobacco1.0-2541,0,0,1,st. petersburg times,1997,1,19,19970119,4
Tobacco1.0-16455,0,0,1,palm beach post,1999,7,19,19990719,11
Tobacco1.0-12285,0,0,1,philadelphia inquirer,1997,5,28,19970528,4
Tobacco1.0-2544,0,0,1,new york times,1997,1,18,19970118,10
Tobacco1.0-16451,0,0,1,herald-sun,1999,7,20,19990720,0
Tobacco1.0-2546,0,1,0,palm beach post,1997,1,18,19970118,4
Tobacco1.0-23637,0,0,1,atlanta journal and constitution,2003,1,14,20030114,0
Tobacco1.0-23636,0,0,1,washington post,2003,1,15,20030115,5
Tobacco1.0-486,0,0,1,atlanta journal and constitution,1991,3,1,19910301,5
Tobacco1.0-18183,0,0,1,washington post,2001,10,7,20011007,12
Tobacco1.0-19190,0,0,1,daily news,2002,12,19,20021219,6
Tobacco1.0-23639,0,0,1,st. louis post-dispatch,2003,1,13,20030113,8
Tobacco1.0-11679,0,0,1,san jose mercury news,1996,11,12,19961112,5
Tobacco1.0-25583,0,0,1,washington post,2006,11,18,20061118,4
Tobacco1.0-11255,0,1,0,palm beach post,1996,8,26,19960826,0
Tobacco1.0-11257,0,0,1,atlanta journal and constitution,1996,8,25,19960825,5
Tobacco1.0-25584,0,0,1,st. petersburg times,2006,11,17,20061117,10
Tobacco1.0-11258,0,0,1,atlanta journal and constitution,1996,8,25,19960825,0
Tobacco1.0-7420,0,0,1,san jose mercury news,1994,6,30,19940630,8
Tobacco1.0-16153,0,1,0,washington post,1999,9,30,19990930,5
Tobacco1.0-25741,0,0,1,new york times,2006,9,27,20060927,0
Tobacco1.0-26036,0,0,1,palm beach post,2007,8,18,20070818,0
Tobacco1.0-25748,0,0,1,philadelphia inquirer,2006,9,26,20060926,5
Tobacco1.0-20622,0,0,1,saint paul pioneer press,2005,6,29,20050629,5
Tobacco1.0-23529,0,0,1,saint paul pioneer press,2003,2,13,20030213,0
Tobacco1.0-15994,0,0,1,new york times,1999,4,27,19990427,4
