,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
gun_control1.0-2947,0,0,1,atlanta journal and constitution,1994,3,17,19940317,12
gun_control1.0-2948,0,0,1,san jose mercury news,1994,3,17,19940317,6
gun_control1.0-2949,0,0,1,st. louis post-dispatch,1994,3,17,19940317,8
gun_control1.0-10804,0,0,1,new york times,2011,6,21,20110621,12
gun_control1.0-10807,0,0,1,new york times,2011,6,16,20110616,12
gun_control1.0-10693,0,0,1,saint paul pioneer press,2011,10,25,20111025,5
gun_control1.0-5282,0,0,1,denver post,1999,3,19,19990319,12
gun_control1.0-5283,0,0,1,denver post,1999,3,19,19990319,4
gun_control1.0-8149,0,0,1,st. louis post-dispatch,2000,10,3,20001003,2
gun_control1.0-10809,0,0,1,usa today,2011,6,15,20110615,6
gun_control1.0-5288,0,0,1,washington post,1999,3,18,19990318,7
gun_control1.0-4003,0,0,1,palm beach post,1996,9,19,19960919,5
gun_control1.0-10696,0,1,0,san jose mercury news,2011,10,22,20111022,11
gun_control1.0-751,0,0,1,st. louis post-dispatch,1989,4,20,19890420,5
gun_control1.0-6214,0,0,1,denver post,1999,9,1,19990901,7
gun_control1.0-8875,0,0,1,atlanta journal and constitution,2002,10,10,20021010,6
gun_control1.0-1505,0,0,1,atlanta journal and constitution,1992,5,21,19920521,2
gun_control1.0-1945,0,0,1,usa today,1993,9,16,19930916,10
gun_control1.0-803,0,0,1,st. louis post-dispatch,1989,3,21,19890321,4
gun_control1.0-1872,0,0,1,palm beach post,1993,10,18,19931018,6
gun_control1.0-1537,0,0,1,atlanta journal and constitution,1992,4,27,19920427,5
gun_control1.0-10661,0,0,1,st. petersburg times,2011,11,29,20111129,12
gun_control1.0-1383,0,0,1,st. petersburg times,1992,10,11,19921011,6
gun_control1.0-1382,0,0,1,new york times,1992,10,11,19921011,12
gun_control1.0-1381,0,0,1,st. louis post-dispatch,1992,10,15,19921015,12
gun_control1.0-6867,0,0,1,new york times,1999,11,7,19991107,5
gun_control1.0-10246,0,0,1,san jose mercury news,2005,3,9,20050309,6
gun_control1.0-10245,0,0,1,new york times,2005,3,9,20050309,7
gun_control1.0-1384,0,0,1,st. louis post-dispatch,1992,10,10,19921010,5
gun_control1.0-1389,0,0,1,atlanta journal and constitution,1992,10,2,19921002,12
gun_control1.0-6868,0,0,1,palm beach post,1999,11,6,19991106,0
gun_control1.0-3705,0,0,1,daily news,1995,6,27,19950627,12
gun_control1.0-3700,0,1,0,new york times,1995,7,1,19950701,12
gun_control1.0-5414,0,0,1,st. louis post-dispatch,1999,2,2,19990202,5
gun_control1.0-3709,0,0,1,washington post,1995,6,27,19950627,12
gun_control1.0-3708,0,0,1,usa today,1995,6,27,19950627,10
gun_control1.0-7286,0,0,1,palm beach post,2000,3,16,20000316,2
gun_control1.0-3449,0,0,1,palm beach post,1994,9,4,19940904,11
gun_control1.0-10066,0,0,1,st. petersburg times,2005,10,23,20051023,5
gun_control1.0-7901,0,0,1,st. louis post-dispatch,2001,3,1,20010301,12
gun_control1.0-10064,0,0,1,new york times,2005,10,23,20051023,12
gun_control1.0-7752,0,0,1,st. petersburg times,2000,5,13,20000513,11
gun_control1.0-7756,0,0,1,st. louis post-dispatch,2000,5,13,20000513,7
gun_control1.0-7755,0,0,1,st. louis post-dispatch,2000,5,13,20000513,12
gun_control1.0-6952,0,0,1,washington post,1999,10,12,19991012,4
gun_control1.0-3836,0,0,1,new york times,1995,5,5,19950505,4
gun_control1.0-5669,0,1,0,palm beach post,1999,6,28,19990628,12
gun_control1.0-7357,0,0,1,washington post,2000,3,8,20000308,12
gun_control1.0-5666,0,0,1,new york times,1999,6,28,19990628,12
gun_control1.0-5667,0,0,1,new york times,1999,6,28,19990628,12
gun_control1.0-5661,0,0,1,denver post,1999,6,29,19990629,12
gun_control1.0-7351,0,0,1,new york times,2000,3,8,20000308,12
gun_control1.0-4718,0,0,1,st. louis post-dispatch,1997,1,19,19970119,4
gun_control1.0-859,0,0,1,st. louis post-dispatch,1989,2,24,19890224,12
gun_control1.0-858,0,0,1,st. petersburg times,1989,2,24,19890224,5
gun_control1.0-8214,0,0,1,denver post,2000,9,9,20000909,12
gun_control1.0-4713,0,0,1,daily news,1997,1,23,19970123,6
gun_control1.0-854,0,0,1,usa today,1989,3,1,19890301,11
gun_control1.0-4710,0,0,1,washington post,1997,1,29,19970129,0
gun_control1.0-4714,0,0,1,new york times,1997,1,23,19970123,6
gun_control1.0-9981,0,0,1,st. louis post-dispatch,2004,1,15,20040115,6
gun_control1.0-3675,0,0,1,palm beach post,1995,7,16,19950716,4
gun_control1.0-3292,0,0,1,san jose mercury news,1994,12,29,19941229,4
gun_control1.0-702,0,0,1,usa today,1989,5,30,19890530,6
gun_control1.0-3291,0,0,1,new york times,1994,12,31,19941231,5
gun_control1.0-10119,0,0,1,new york times,2005,7,28,20050728,12
gun_control1.0-7136,0,0,1,denver post,2000,4,2,20000402,12
gun_control1.0-7135,0,0,1,atlanta journal and constitution,2000,4,2,20000402,11
gun_control1.0-6408,0,0,1,denver post,1999,7,24,19990724,11
gun_control1.0-6407,0,0,1,washington post,1999,7,25,19990725,0
gun_control1.0-6403,0,0,1,st. petersburg times,1999,7,28,19990728,12
gun_control1.0-6402,0,0,1,san jose mercury news,1999,7,28,19990728,12
gun_control1.0-5714,0,0,1,washington post,1999,6,22,19990622,12
gun_control1.0-5715,0,0,1,washington post,1999,6,22,19990622,12
gun_control1.0-4629,0,0,1,denver post,1997,3,14,19970314,11
gun_control1.0-4628,0,0,1,st. louis post-dispatch,1997,3,15,19970315,6
gun_control1.0-5718,0,0,1,atlanta journal and constitution,1999,6,21,19990621,7
gun_control1.0-6533,0,0,1,washington post,1999,7,1,19990701,4
gun_control1.0-4624,0,0,1,denver post,1997,3,18,19970318,6
gun_control1.0-4622,0,0,1,st. louis post-dispatch,1997,3,19,19970319,12
gun_control1.0-1875,0,0,1,washington post,1993,10,18,19931018,11
gun_control1.0-4620,0,0,1,palm beach post,1997,3,19,19970319,5
gun_control1.0-11172,0,0,1,tampa bay times,2012,3,28,20120328,0
gun_control1.0-3005,0,0,1,palm beach post,1994,2,28,19940228,5
gun_control1.0-10045,0,0,1,new york times,2005,11,5,20051105,5
gun_control1.0-4114,0,0,1,san jose mercury news,1996,6,22,19960622,5
gun_control1.0-3350,0,0,1,atlanta journal and constitution,1994,11,1,19941101,8
gun_control1.0-2892,0,1,0,san jose mercury news,1994,4,1,19940401,8
gun_control1.0-6083,0,0,1,st. louis post-dispatch,1999,5,21,19990521,11
gun_control1.0-4257,0,1,0,atlanta journal and constitution,1996,3,21,19960321,12
gun_control1.0-11176,0,0,1,palm beach post,2012,3,27,20120327,3
gun_control1.0-7627,0,0,1,san jose mercury news,2000,5,22,20000522,11
gun_control1.0-7625,0,0,1,saint paul pioneer press,2000,5,22,20000522,11
gun_control1.0-1567,0,0,1,atlanta journal and constitution,1992,4,2,19920402,12
gun_control1.0-6713,0,0,1,denver post,1999,12,31,19991231,11
gun_control1.0-1564,0,0,1,st. louis post-dispatch,1992,4,4,19920404,6
gun_control1.0-1563,0,0,1,washington post,1992,4,5,19920405,10
gun_control1.0-6242,0,0,1,st. petersburg times,1999,8,27,19990827,5
gun_control1.0-1561,0,0,1,new york times,1992,4,7,19920407,12
gun_control1.0-6716,0,0,1,new york times,1999,12,30,19991230,12
gun_control1.0-6719,0,0,1,st. louis post-dispatch,1999,12,30,19991230,12
gun_control1.0-5843,0,0,1,daily news,1999,6,14,19990614,6
gun_control1.0-1569,0,1,0,st. louis post-dispatch,1992,4,2,19920402,12
gun_control1.0-4533,0,0,1,new york times,1997,5,22,19970522,5
gun_control1.0-4531,0,0,1,new york times,1997,5,28,19970528,8
gun_control1.0-4536,0,0,1,denver post,1997,5,17,19970517,12
gun_control1.0-9608,0,0,1,st. petersburg times,2004,10,7,20041007,12
gun_control1.0-9606,0,0,1,san jose mercury news,2004,10,8,20041008,5
gun_control1.0-4251,0,0,1,daily news,1996,3,22,19960322,12
gun_control1.0-9600,0,0,1,saint paul pioneer press,2004,10,14,20041014,12
gun_control1.0-2098,0,0,1,washington post,1993,3,18,19930318,9
gun_control1.0-3924,0,0,1,st. louis post-dispatch,1995,4,12,19950412,12
gun_control1.0-2092,0,0,1,palm beach post,1993,3,28,19930328,12
gun_control1.0-2091,0,0,1,new york times,1993,3,28,19930328,12
gun_control1.0-2097,0,0,1,st. petersburg times,1993,3,21,19930321,10
gun_control1.0-6664,0,0,1,denver post,2000,1,16,20000116,4
gun_control1.0-459,0,0,1,new york times,1990,6,29,19900629,12
gun_control1.0-2899,0,0,1,atlanta journal and constitution,1994,3,30,19940330,12
gun_control1.0-1350,0,0,1,st. louis post-dispatch,1990,9,29,19900929,4
gun_control1.0-6662,0,0,1,washington post,2000,1,18,20000118,12
gun_control1.0-6669,0,0,1,denver post,2000,1,15,20000115,12
gun_control1.0-11082,0,0,1,washington post,2012,4,16,20120416,12
gun_control1.0-2342,0,0,1,st. petersburg times,1993,12,31,19931231,6
gun_control1.0-11081,0,1,0,daily news,2012,4,16,20120416,3
gun_control1.0-8559,0,0,1,new york times,2001,8,7,20010807,12
gun_control1.0-11087,0,0,1,tampa bay times,2012,4,15,20120415,3
gun_control1.0-11084,0,0,1,palm beach post,2012,4,15,20120415,7
gun_control1.0-11085,0,0,1,san jose mercury news,2012,4,15,20120415,11
gun_control1.0-3922,0,0,1,usa today,1995,4,14,19950414,9
gun_control1.0-11730,0,0,1,washington post,2012,12,23,20121223,12
gun_control1.0-11731,0,0,1,washington post,2012,12,23,20121223,11
gun_control1.0-8553,0,0,1,washington post,2001,8,13,20010813,12
gun_control1.0-9771,0,0,1,daily news,2004,6,28,20040628,12
gun_control1.0-11424,0,1,0,saint paul pioneer press,2012,8,11,20120811,8
gun_control1.0-3159,0,0,1,new york times,1995,3,15,19950315,5
gun_control1.0-11426,0,0,1,washington post,2012,8,11,20120811,10
gun_control1.0-11427,0,0,1,atlanta journal and constitution,2012,8,10,20120810,13
gun_control1.0-11428,0,0,1,new york times,2012,8,10,20120810,10
gun_control1.0-11516,0,0,1,philadelphia inquirer,2012,7,26,20120726,2
gun_control1.0-3153,0,0,1,st. louis post-dispatch,1995,3,16,19950316,6
gun_control1.0-6395,0,0,1,saint paul pioneer press,1999,7,31,19990731,11
gun_control1.0-6396,0,0,1,saint paul pioneer press,1999,7,31,19990731,0
gun_control1.0-2548,0,0,1,new york times,1993,11,22,19931122,12
gun_control1.0-2549,0,0,1,usa today,1993,11,22,19931122,12
gun_control1.0-6393,0,0,1,philadelphia inquirer,1999,7,31,19990731,12
gun_control1.0-6392,0,0,1,philadelphia inquirer,1999,7,31,19990731,6
gun_control1.0-2544,0,0,1,st. louis post-dispatch,1993,11,23,19931123,12
gun_control1.0-2546,0,0,1,usa today,1993,11,23,19931123,12
gun_control1.0-8954,0,0,1,st. louis post-dispatch,2002,7,10,20020710,12
gun_control1.0-2542,0,1,0,st. petersburg times,1993,11,23,19931123,12
gun_control1.0-8956,0,0,1,herald-sun,2002,7,4,20020704,6
gun_control1.0-7929,0,0,1,new york times,2001,2,8,20010208,8
gun_control1.0-7920,0,0,1,st. louis post-dispatch,2001,2,15,20010215,12
gun_control1.0-2405,0,0,1,new york times,1993,12,21,19931221,12
gun_control1.0-2404,0,0,1,palm beach post,1993,12,22,19931222,4
gun_control1.0-2407,0,0,1,palm beach post,1993,12,21,19931221,0
gun_control1.0-9155,0,1,0,st. petersburg times,2003,11,7,20031107,4
gun_control1.0-4117,0,0,1,denver post,1996,6,18,19960618,4
gun_control1.0-11882,0,0,1,palm beach post,2012,12,19,20121219,0
gun_control1.0-11553,0,1,0,new york times,2012,7,24,20120724,10
gun_control1.0-11555,0,0,1,philadelphia inquirer,2012,7,24,20120724,5
gun_control1.0-9396,0,0,1,philadelphia inquirer,2003,5,11,20030511,4
gun_control1.0-11557,0,0,1,san jose mercury news,2012,7,24,20120724,5
gun_control1.0-5252,0,0,1,denver post,1999,3,26,19990326,5
gun_control1.0-8829,0,0,1,palm beach post,2002,10,24,20021024,10
gun_control1.0-9807,0,0,1,atlanta journal and constitution,2004,4,18,20040418,12
gun_control1.0-8827,0,0,1,palm beach post,2002,10,25,20021025,6
gun_control1.0-5982,0,0,1,philadelphia inquirer,1999,5,28,19990528,12
gun_control1.0-8821,0,1,0,washington post,2002,10,26,20021026,6
gun_control1.0-9559,0,0,1,new york times,2004,12,17,20041217,5
gun_control1.0-1709,0,0,1,palm beach post,1991,11,19,19911119,6
gun_control1.0-1707,0,0,1,palm beach post,1991,11,20,19911120,12
gun_control1.0-1705,0,1,0,washington post,1991,11,22,19911122,12
gun_control1.0-1702,0,0,1,new york times,1991,11,22,19911122,11
gun_control1.0-4738,0,0,1,st. louis post-dispatch,1996,12,28,19961228,6
gun_control1.0-11955,0,0,1,saint paul pioneer press,2012,12,18,20121218,6
gun_control1.0-11952,0,0,1,st. louis post-dispatch,2012,12,18,20121218,12
gun_control1.0-11953,0,0,1,saint paul pioneer press,2012,12,18,20121218,5
gun_control1.0-11959,0,0,1,usa today,2012,12,18,20121218,12
gun_control1.0-4820,0,0,1,san jose mercury news,1998,8,28,19980828,12
gun_control1.0-4395,0,0,1,st. petersburg times,1997,10,16,19971016,4
gun_control1.0-4824,0,0,1,st. petersburg times,1998,8,22,19980822,11
gun_control1.0-4828,0,0,1,st. petersburg times,1998,8,16,19980816,11
gun_control1.0-3844,0,0,1,new york times,1995,5,4,19950504,12
gun_control1.0-3843,0,0,1,herald-sun,1995,5,4,19950504,12
gun_control1.0-3840,0,0,1,st. louis post-dispatch,1995,5,5,19950505,12
gun_control1.0-2790,0,0,1,usa today,1994,5,5,19940505,12
gun_control1.0-8730,0,0,1,atlanta journal and constitution,2001,4,25,20010425,12
gun_control1.0-11512,0,0,1,new york times,2012,7,26,20120726,8
gun_control1.0-8732,0,0,1,washington post,2001,4,22,20010422,12
gun_control1.0-8735,0,1,0,atlanta journal and constitution,2001,4,20,20010420,5
gun_control1.0-8734,0,0,1,washington post,2001,4,21,20010421,10
gun_control1.0-9117,0,0,1,new york times,2003,12,12,20031212,0
gun_control1.0-8739,0,0,1,washington post,2001,4,18,20010418,12
gun_control1.0-5707,0,0,1,atlanta journal and constitution,1999,6,22,19990622,12
gun_control1.0-1013,0,0,1,usa today,1991,5,10,19910510,12
gun_control1.0-1012,0,0,1,usa today,1991,5,10,19910510,5
gun_control1.0-5069,0,0,1,palm beach post,1998,4,24,19980424,12
gun_control1.0-1017,0,0,1,washington post,1991,5,10,19910510,12
gun_control1.0-2300,0,0,1,palm beach post,1994,1,7,19940107,6
gun_control1.0-1015,0,0,1,usa today,1991,5,10,19910510,12
gun_control1.0-1014,0,0,1,usa today,1991,5,10,19910510,12
gun_control1.0-1019,0,0,1,atlanta journal and constitution,1991,5,9,19910509,12
gun_control1.0-2716,0,0,1,usa today,1994,5,27,19940527,11
gun_control1.0-2711,0,0,1,denver post,1994,5,29,19940529,12
gun_control1.0-2712,0,0,1,new york times,1994,5,29,19940529,4
gun_control1.0-7428,0,0,1,st. louis post-dispatch,2000,2,27,20000227,13
gun_control1.0-632,0,0,1,st. louis post-dispatch,1989,7,29,19890729,12
gun_control1.0-11354,0,0,1,philadelphia inquirer,2012,10,15,20121015,6
gun_control1.0-1379,0,0,1,palm beach post,1992,10,17,19921017,12
gun_control1.0-6896,0,0,1,san jose mercury news,1999,10,31,19991031,0
gun_control1.0-8046,0,0,1,denver post,2000,11,8,20001108,11
gun_control1.0-1374,0,0,1,usa today,1992,10,27,19921027,12
gun_control1.0-1375,0,0,1,washington post,1992,10,27,19921027,13
gun_control1.0-8040,0,0,1,atlanta journal and constitution,2000,11,9,20001109,11
gun_control1.0-3936,0,0,1,philadelphia inquirer,1995,4,6,19950406,12
gun_control1.0-288,0,1,0,new york times,1982,4,17,19820417,12
gun_control1.0-289,0,0,1,new york times,1982,4,11,19820411,6
gun_control1.0-3938,0,0,1,philadelphia inquirer,1995,4,5,19950405,4
gun_control1.0-3939,0,1,0,saint paul pioneer press,1995,4,5,19950405,12
gun_control1.0-9565,0,0,1,washington post,2004,12,12,20041212,12
gun_control1.0-10031,0,1,0,new york times,2005,11,28,20051128,7
gun_control1.0-3042,0,0,1,palm beach post,1994,2,17,19940217,6
gun_control1.0-11607,0,0,1,san jose mercury news,2012,6,28,20120628,4
gun_control1.0-11217,0,0,1,washington post,2012,3,12,20120312,4
gun_control1.0-606,0,0,1,st. petersburg times,1989,9,15,19890915,12
gun_control1.0-600,0,0,1,st. petersburg times,1989,9,18,19890918,13
gun_control1.0-601,0,0,1,palm beach post,1989,9,17,19890917,12
gun_control1.0-602,0,0,1,palm beach post,1989,9,17,19890917,0
gun_control1.0-1178,0,1,0,st. louis post-dispatch,1991,3,29,19910329,11
gun_control1.0-1179,0,0,1,usa today,1991,3,29,19910329,12
gun_control1.0-9118,0,0,1,new york times,2003,12,12,20031212,4
gun_control1.0-1171,0,0,1,atlanta journal and constitution,1991,3,29,19910329,4
gun_control1.0-9560,0,0,1,saint paul pioneer press,2004,12,17,20041217,5
gun_control1.0-1175,0,0,1,new york times,1991,3,29,19910329,12
gun_control1.0-1177,0,0,1,palm beach post,1991,3,29,19910329,12
gun_control1.0-195,0,0,1,new york times,1986,4,9,19860409,5
gun_control1.0-3395,0,0,1,philadelphia inquirer,1994,10,6,19941006,12
gun_control1.0-3622,0,0,1,st. louis post-dispatch,1995,9,9,19950909,4
gun_control1.0-193,0,1,0,new york times,1986,4,11,19860411,12
gun_control1.0-7424,0,0,1,atlanta journal and constitution,2000,2,28,20000228,8
gun_control1.0-465,0,0,1,st. louis post-dispatch,1990,6,27,19900627,12
gun_control1.0-466,0,0,1,usa today,1990,6,27,19900627,12
gun_control1.0-9021,0,0,1,new york times,2002,5,12,20020512,4
gun_control1.0-463,0,0,1,palm beach post,1990,6,27,19900627,6
gun_control1.0-10475,0,0,1,new york times,2010,5,7,20100507,12
gun_control1.0-3391,0,0,1,san jose mercury news,1994,10,7,19941007,8
gun_control1.0-10470,0,0,1,new york times,2010,5,15,20100515,12
gun_control1.0-10471,0,1,0,st. petersburg times,2010,5,12,20100512,7
gun_control1.0-2975,0,0,1,atlanta journal and constitution,1994,3,8,19940308,7
gun_control1.0-2974,0,0,1,philadelphia inquirer,1994,3,9,19940309,12
gun_control1.0-513,0,0,1,palm beach post,1990,5,11,19900511,12
gun_control1.0-2973,0,0,1,palm beach post,1994,3,9,19940309,10
gun_control1.0-517,0,0,1,new york times,1990,4,25,19900425,6
gun_control1.0-2979,0,1,0,denver post,1994,3,7,19940307,8
gun_control1.0-10870,0,0,1,new york times,2011,4,15,20110415,5
gun_control1.0-10871,0,0,1,philadelphia inquirer,2011,4,15,20110415,8
gun_control1.0-10872,0,0,1,st. petersburg times,2011,4,15,20110415,5
gun_control1.0-10876,0,0,1,washington post,2011,4,12,20110412,10
gun_control1.0-10877,0,0,1,washington post,2011,4,12,20110412,2
gun_control1.0-10878,0,0,1,washington post,2011,4,12,20110412,12
gun_control1.0-10879,0,0,1,washington post,2011,4,9,20110409,5
gun_control1.0-5277,0,0,1,atlanta journal and constitution,1999,3,20,19990320,6
gun_control1.0-5276,0,0,1,washington post,1999,3,21,19990321,6
gun_control1.0-5275,0,0,1,washington post,1999,3,21,19990321,6
gun_control1.0-5274,0,0,1,washington post,1999,3,21,19990321,7
gun_control1.0-4014,0,0,1,san jose mercury news,1996,9,14,19960914,12
gun_control1.0-2061,0,0,1,st. louis post-dispatch,1993,5,14,19930514,12
gun_control1.0-10582,0,0,1,atlanta journal and constitution,2010,2,16,20100216,12
gun_control1.0-4019,0,0,1,palm beach post,1996,9,8,19960908,11
gun_control1.0-10587,0,0,1,washington post,2010,2,13,20100213,12
gun_control1.0-10618,0,0,1,new york times,2010,1,9,20100109,10
gun_control1.0-6540,0,1,0,san jose mercury news,2000,2,18,20000218,9
gun_control1.0-5447,0,0,1,denver post,1999,1,12,19990112,8
gun_control1.0-10610,0,0,1,st. louis post-dispatch,2010,1,16,20100116,2
gun_control1.0-1953,0,0,1,st. louis post-dispatch,1993,9,11,19930911,5
gun_control1.0-10612,0,0,1,atlanta journal and constitution,2010,1,14,20100114,4
gun_control1.0-1956,0,0,1,atlanta journal and constitution,1993,9,6,19930906,8
gun_control1.0-1957,0,1,0,new york times,1993,9,5,19930905,12
gun_control1.0-10617,0,0,1,washington post,2010,1,10,20100110,4
gun_control1.0-1390,0,0,1,atlanta journal and constitution,1992,10,2,19921002,12
gun_control1.0-1392,0,0,1,washington post,1992,10,2,19921002,11
gun_control1.0-1393,0,0,1,washington post,1992,10,1,19921001,12
gun_control1.0-1501,0,0,1,new york times,1992,5,24,19920524,4
gun_control1.0-10279,0,0,1,new york times,2005,1,6,20050106,12
gun_control1.0-1398,0,0,1,new york times,1992,9,23,19920923,11
gun_control1.0-10277,0,0,1,daily news,2005,1,6,20050106,12
gun_control1.0-5385,0,0,1,washington post,1999,2,10,19990210,4
gun_control1.0-10907,0,0,1,daily news,2011,3,9,20110309,5
gun_control1.0-5381,0,1,0,st. louis post-dispatch,1999,2,11,19990211,5
gun_control1.0-10903,0,0,1,washington post,2011,3,15,20110315,12
gun_control1.0-6162,0,0,1,washington post,1999,9,14,19990914,6
gun_control1.0-3718,0,1,0,usa today,1995,6,26,19950626,12
gun_control1.0-11519,0,0,1,st. louis post-dispatch,2012,7,26,20120726,7
gun_control1.0-3712,0,0,1,palm beach post,1995,6,26,19950626,5
gun_control1.0-224,0,0,1,new york times,1985,7,10,19850710,12
gun_control1.0-3711,0,0,1,new york times,1995,6,26,19950626,11
gun_control1.0-3714,0,0,1,philadelphia inquirer,1995,6,26,19950626,0
gun_control1.0-1629,0,0,1,st. petersburg times,1992,2,11,19920211,2
gun_control1.0-860,0,0,1,st. louis post-dispatch,1989,2,23,19890223,12
gun_control1.0-10297,0,0,1,philadelphia inquirer,2010,12,1,20101201,12
gun_control1.0-3433,0,1,0,new york times,1994,9,12,19940912,12
gun_control1.0-865,0,0,1,palm beach post,1989,2,19,19890219,12
gun_control1.0-10292,0,0,1,new york times,2010,12,16,20101216,6
gun_control1.0-869,0,0,1,palm beach post,1989,2,15,19890215,9
gun_control1.0-8035,0,0,1,denver post,2000,11,12,20001112,7
gun_control1.0-1582,0,1,0,st. louis post-dispatch,1992,3,27,19920327,0
gun_control1.0-10299,0,0,1,washington post,2010,12,1,20101201,4
gun_control1.0-10056,0,0,1,st. louis post-dispatch,2005,10,31,20051031,12
gun_control1.0-10725,0,0,1,san jose mercury news,2011,10,5,20111005,4
gun_control1.0-10054,0,1,0,st. louis post-dispatch,2005,11,2,20051102,6
gun_control1.0-7724,0,0,1,herald-sun,2000,5,14,20000514,11
gun_control1.0-10720,0,0,1,atlanta journal and constitution,2011,10,7,20111007,4
gun_control1.0-7034,0,0,1,denver post,2000,4,15,20000415,12
gun_control1.0-10729,0,0,1,denver post,2011,10,3,20111003,5
gun_control1.0-7729,0,1,0,philadelphia inquirer,2000,5,14,20000514,11
gun_control1.0-451,0,0,1,palm beach post,1990,7,16,19900716,6
gun_control1.0-5491,0,0,1,new york times,1998,12,2,19981202,4
