,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
same-sex_marriage1.0-8692,0,0,atlanta journal and constitution,2012,7,20,20120720,0,0,1
same-sex_marriage1.0-8694,0,1,washington post,2012,7,20,20120720,1,0,0
same-sex_marriage1.0-8695,0,0,washington post,2012,7,20,20120720,0,0,1
same-sex_marriage1.0-8697,0,1,tampa bay times,2012,7,15,20120715,1,0,0
same-sex_marriage1.0-8698,0,0,daily news,2012,7,13,20120713,0,0,1
same-sex_marriage1.0-8699,0,0,philadelphia inquirer,2012,7,13,20120713,0,0,1
same-sex_marriage1.0-10991,0,0,san jose mercury news,2000,1,29,20000129,0,1,0
same-sex_marriage1.0-1973,0,0,atlanta journal and constitution,2004,9,30,20040930,0,1,0
same-sex_marriage1.0-6650,0,1,new york times,2011,6,28,20110628,1,0,0
same-sex_marriage1.0-1971,0,0,st. louis post-dispatch,2004,4,1,20040401,0,0,1
same-sex_marriage1.0-1600,0,1,atlanta journal and constitution,2004,6,28,20040628,1,0,0
same-sex_marriage1.0-1977,0,0,atlanta journal and constitution,2004,9,28,20040928,0,0,1
same-sex_marriage1.0-1974,0,0,atlanta journal and constitution,2004,9,30,20040930,0,0,1
same-sex_marriage1.0-1975,0,0,new york times,2004,9,29,20040929,1,0,0
same-sex_marriage1.0-8346,0,0,denver post,2012,5,11,20120511,1,0,0
same-sex_marriage1.0-8347,0,0,denver post,2012,5,11,20120511,1,0,0
same-sex_marriage1.0-8345,0,0,daily news,2012,5,11,20120511,1,0,0
same-sex_marriage1.0-8342,0,1,washington post,2012,5,12,20120512,1,0,0
same-sex_marriage1.0-5528,0,0,san jose mercury news,2008,10,1,20081001,0,1,0
same-sex_marriage1.0-8340,0,0,washington post,2012,5,12,20120512,0,0,1
same-sex_marriage1.0-2554,0,1,st. louis post-dispatch,2004,10,6,20041006,1,0,0
same-sex_marriage1.0-7253,0,1,daily news,2011,7,26,20110726,1,0,0
same-sex_marriage1.0-8348,0,0,denver post,2012,5,11,20120511,0,1,0
same-sex_marriage1.0-8349,0,0,denver post,2012,5,11,20120511,1,0,0
same-sex_marriage1.0-8202,0,0,san jose mercury news,2012,5,22,20120522,1,0,0
same-sex_marriage1.0-8201,0,1,san jose mercury news,2012,5,22,20120522,1,0,0
same-sex_marriage1.0-7252,0,0,daily news,2011,7,26,20110726,1,0,0
same-sex_marriage1.0-8204,0,1,washington post,2012,5,22,20120522,1,0,0
same-sex_marriage1.0-8209,0,0,denver post,2012,5,20,20120520,1,0,0
same-sex_marriage1.0-8208,0,1,atlanta journal and constitution,2012,5,20,20120520,1,0,0
same-sex_marriage1.0-7254,0,0,daily news,2011,7,26,20110726,1,0,0
same-sex_marriage1.0-4577,0,1,philadelphia inquirer,2007,1,15,20070115,1,0,0
same-sex_marriage1.0-7257,0,1,new york times,2011,7,26,20110726,0,1,0
same-sex_marriage1.0-7256,0,1,daily news,2011,7,26,20110726,1,0,0
same-sex_marriage1.0-686,0,0,new york times,2003,4,6,20030406,0,0,1
same-sex_marriage1.0-4576,0,0,saint paul pioneer press,2007,1,22,20070122,0,1,0
same-sex_marriage1.0-3347,0,0,washington post,2006,2,4,20060204,1,0,0
same-sex_marriage1.0-687,0,1,saint paul pioneer press,2003,4,4,20030404,0,0,1
same-sex_marriage1.0-3344,0,0,philadelphia inquirer,2006,2,5,20060205,1,0,0
same-sex_marriage1.0-3343,0,0,palm beach post,2006,2,6,20060206,1,0,0
same-sex_marriage1.0-3342,0,1,denver post,2006,2,6,20060206,1,0,0
same-sex_marriage1.0-4928,0,1,san jose mercury news,2011,3,23,20110323,0,0,1
same-sex_marriage1.0-4926,1,0,new york times,2011,3,24,20110324,0,0,1
same-sex_marriage1.0-4924,0,0,denver post,2011,3,24,20110324,1,0,0
same-sex_marriage1.0-4697,1,0,washington post,2011,6,25,20110625,1,0,0
same-sex_marriage1.0-4923,0,1,san jose mercury news,2011,3,25,20110325,0,0,1
same-sex_marriage1.0-4920,1,0,herald-sun,2011,3,26,20110326,1,0,0
same-sex_marriage1.0-4693,0,1,washington post,2011,6,25,20110625,1,0,0
same-sex_marriage1.0-4162,0,0,new york times,2006,10,25,20061025,1,0,0
same-sex_marriage1.0-4163,0,1,philadelphia inquirer,2006,10,25,20061025,0,1,0
same-sex_marriage1.0-4160,0,0,washington post,2006,10,26,20061026,1,0,0
same-sex_marriage1.0-4161,0,0,washington post,2006,10,26,20061026,1,0,0
same-sex_marriage1.0-4166,0,1,st. louis post-dispatch,2006,10,23,20061023,1,0,0
same-sex_marriage1.0-4167,0,0,washington post,2006,10,23,20061023,0,1,0
same-sex_marriage1.0-4164,0,1,new york times,2006,10,23,20061023,1,0,0
same-sex_marriage1.0-4165,0,0,new york times,2006,10,23,20061023,0,1,0
same-sex_marriage1.0-4074,0,0,denver post,2006,11,9,20061109,0,0,1
same-sex_marriage1.0-4076,0,0,philadelphia inquirer,2006,11,9,20061109,0,0,1
same-sex_marriage1.0-4077,0,1,saint paul pioneer press,2006,11,9,20061109,0,0,1
same-sex_marriage1.0-6922,0,1,new york times,2011,4,26,20110426,1,0,0
same-sex_marriage1.0-7004,0,1,washington post,2011,3,2,20110302,0,0,1
same-sex_marriage1.0-7000,0,0,washington post,2011,3,4,20110304,1,0,0
same-sex_marriage1.0-7002,0,0,washington post,2011,3,3,20110303,0,1,0
same-sex_marriage1.0-7008,0,1,usa today,2011,3,1,20110301,1,0,0
same-sex_marriage1.0-1962,0,1,atlanta journal and constitution,2004,4,1,20040401,0,1,0
same-sex_marriage1.0-8976,0,0,new york times,2012,10,19,20121019,1,0,0
same-sex_marriage1.0-8973,0,1,daily news,2012,10,19,20121019,1,0,0
same-sex_marriage1.0-10099,0,0,st. louis post-dispatch,1996,7,5,19960705,0,0,1
same-sex_marriage1.0-10094,0,0,washington post,1996,7,12,19960712,0,1,0
same-sex_marriage1.0-10095,0,0,san jose mercury news,1996,7,10,19960710,0,1,0
same-sex_marriage1.0-10096,0,0,st. louis post-dispatch,1996,7,10,19960710,0,0,1
same-sex_marriage1.0-10097,0,1,san jose mercury news,1996,7,9,19960709,0,0,1
same-sex_marriage1.0-10090,0,0,washington post,1996,7,13,19960713,0,0,1
same-sex_marriage1.0-10091,0,0,washington post,1996,7,13,19960713,0,0,1
same-sex_marriage1.0-10092,0,0,atlanta journal and constitution,1996,7,12,19960712,0,1,0
same-sex_marriage1.0-4221,0,0,denver post,2006,9,3,20060903,0,1,0
same-sex_marriage1.0-10894,0,0,washington post,2000,3,26,20000326,1,0,0
same-sex_marriage1.0-10895,0,0,denver post,2000,3,25,20000325,0,1,0
same-sex_marriage1.0-10896,0,1,herald-sun,2000,3,25,20000325,1,0,0
same-sex_marriage1.0-10897,0,1,san jose mercury news,2000,3,25,20000325,1,0,0
same-sex_marriage1.0-10890,0,1,washington post,2000,3,30,20000330,0,1,0
same-sex_marriage1.0-10891,0,0,washington post,2000,3,30,20000330,1,0,0
same-sex_marriage1.0-10892,0,1,denver post,2000,3,29,20000329,0,0,1
same-sex_marriage1.0-10893,0,0,san jose mercury news,2000,3,26,20000326,1,0,0
same-sex_marriage1.0-10898,0,1,washington post,2000,3,25,20000325,0,0,1
same-sex_marriage1.0-10899,1,0,denver post,2000,3,24,20000324,0,1,0
same-sex_marriage1.0-2436,0,1,new york times,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2437,0,1,philadelphia inquirer,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2434,0,0,denver post,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2435,0,0,new york times,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2432,0,1,atlanta journal and constitution,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2433,0,1,denver post,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-2431,0,1,atlanta journal and constitution,2004,11,4,20041104,1,0,0
same-sex_marriage1.0-2438,0,0,philadelphia inquirer,2004,11,4,20041104,0,0,1
same-sex_marriage1.0-6539,0,0,san jose mercury news,2010,2,2,20100202,1,0,0
same-sex_marriage1.0-6538,0,0,washington post,2010,2,4,20100204,0,0,1
same-sex_marriage1.0-6533,0,0,san jose mercury news,2010,2,12,20100212,1,0,0
same-sex_marriage1.0-6532,0,0,san jose mercury news,2010,2,12,20100212,1,0,0
same-sex_marriage1.0-6531,0,0,palm beach post,2010,2,12,20100212,1,0,0
same-sex_marriage1.0-6530,0,0,denver post,2010,2,13,20100213,1,0,0
same-sex_marriage1.0-6537,0,1,st. louis post-dispatch,2010,2,4,20100204,1,0,0
same-sex_marriage1.0-6536,0,1,washington post,2010,2,5,20100205,0,0,1
same-sex_marriage1.0-6535,0,0,washington post,2010,2,10,20100210,0,1,0
same-sex_marriage1.0-6534,0,1,san jose mercury news,2010,2,11,20100211,1,0,0
same-sex_marriage1.0-311,0,1,new york times,2003,11,23,20031123,1,0,0
same-sex_marriage1.0-312,0,0,new york times,2003,11,23,20031123,1,0,0
same-sex_marriage1.0-314,0,1,new york times,2003,11,23,20031123,0,1,0
same-sex_marriage1.0-315,0,1,saint paul pioneer press,2003,11,23,20031123,0,0,1
same-sex_marriage1.0-316,0,1,saint paul pioneer press,2003,11,23,20031123,1,0,0
same-sex_marriage1.0-317,0,0,st. louis post-dispatch,2003,11,23,20031123,1,0,0
same-sex_marriage1.0-318,0,1,washington post,2003,11,23,20031123,0,1,0
same-sex_marriage1.0-319,0,0,washington post,2003,11,23,20031123,1,0,0
same-sex_marriage1.0-8592,0,0,new york times,2012,8,29,20120829,1,0,0
same-sex_marriage1.0-8591,0,0,new york times,2012,8,30,20120830,1,0,0
same-sex_marriage1.0-8590,0,1,saint paul pioneer press,2012,8,31,20120831,1,0,0
same-sex_marriage1.0-8597,0,0,herald-sun,2012,8,26,20120826,1,0,0
same-sex_marriage1.0-8595,0,1,washington post,2012,8,28,20120828,1,0,0
same-sex_marriage1.0-8599,0,1,daily news,2012,8,24,20120824,1,0,0
same-sex_marriage1.0-8598,0,0,new york times,2012,8,26,20120826,1,0,0
same-sex_marriage1.0-1168,0,1,new york times,2004,1,11,20040111,1,0,0
same-sex_marriage1.0-1161,0,1,herald-sun,2004,1,13,20040113,0,1,0
same-sex_marriage1.0-1160,0,0,denver post,2004,1,13,20040113,1,0,0
same-sex_marriage1.0-1163,0,0,philadelphia inquirer,2004,1,13,20040113,1,0,0
same-sex_marriage1.0-1162,0,0,new york times,2004,1,13,20040113,1,0,0
same-sex_marriage1.0-1165,0,1,saint paul pioneer press,2004,1,12,20040112,0,0,1
same-sex_marriage1.0-1164,0,0,denver post,2004,1,12,20040112,0,0,1
same-sex_marriage1.0-1167,0,0,denver post,2004,1,11,20040111,0,0,1
same-sex_marriage1.0-1166,0,1,atlanta journal and constitution,2004,1,11,20040111,0,1,0
same-sex_marriage1.0-9758,0,1,new york times,1994,4,25,19940425,1,0,0
same-sex_marriage1.0-9759,0,0,atlanta journal and constitution,1994,4,22,19940422,1,0,0
same-sex_marriage1.0-9752,0,1,san jose mercury news,1994,4,30,19940430,0,0,1
same-sex_marriage1.0-9753,0,0,st. louis post-dispatch,1994,4,29,19940429,0,1,0
same-sex_marriage1.0-9750,0,0,atlanta journal and constitution,1994,5,2,19940502,1,0,0
same-sex_marriage1.0-9751,0,1,atlanta journal and constitution,1994,4,30,19940430,0,0,1
same-sex_marriage1.0-9757,0,1,san jose mercury news,1994,4,26,19940426,0,0,1
same-sex_marriage1.0-9754,0,0,atlanta journal and constitution,1994,4,27,19940427,1,0,0
same-sex_marriage1.0-9755,0,0,new york times,1994,4,27,19940427,0,0,1
same-sex_marriage1.0-2832,0,0,saint paul pioneer press,2005,6,8,20050608,1,0,0
same-sex_marriage1.0-2833,0,1,philadelphia inquirer,2005,6,7,20050607,1,0,0
same-sex_marriage1.0-215,0,0,denver post,2001,2,15,20010215,1,0,0
same-sex_marriage1.0-214,0,0,san jose mercury news,2001,2,20,20010220,1,0,0
same-sex_marriage1.0-217,0,0,denver post,2001,2,6,20010206,1,0,0
same-sex_marriage1.0-216,0,1,new york times,2001,2,11,20010211,1,0,0
same-sex_marriage1.0-4268,0,1,washington post,2006,7,17,20060717,0,0,1
same-sex_marriage1.0-4265,0,0,new york times,2006,7,18,20060718,0,0,1
same-sex_marriage1.0-4264,0,0,st. louis post-dispatch,2006,7,19,20060719,0,1,0
same-sex_marriage1.0-4267,0,0,washington post,2006,7,18,20060718,0,1,0
same-sex_marriage1.0-4266,0,0,palm beach post,2006,7,18,20060718,1,0,0
same-sex_marriage1.0-4261,0,0,new york times,2006,7,19,20060719,1,0,0
same-sex_marriage1.0-4260,0,1,denver post,2006,7,19,20060719,0,0,1
same-sex_marriage1.0-4263,0,0,san jose mercury news,2006,7,19,20060719,1,0,0
same-sex_marriage1.0-4262,0,1,palm beach post,2006,7,19,20060719,1,0,0
same-sex_marriage1.0-213,0,1,atlanta journal and constitution,2001,2,20,20010220,1,0,0
same-sex_marriage1.0-212,0,1,st. petersburg times,2001,2,22,20010222,0,1,0
same-sex_marriage1.0-10569,0,0,new york times,1997,6,20,19970620,1,0,0
same-sex_marriage1.0-4512,0,0,st. louis post-dispatch,2007,3,23,20070323,0,0,1
same-sex_marriage1.0-10564,1,0,atlanta journal and constitution,1997,6,21,19970621,1,0,0
same-sex_marriage1.0-10565,0,0,st. louis post-dispatch,1997,6,21,19970621,0,1,0
same-sex_marriage1.0-10566,0,1,atlanta journal and constitution,1997,6,20,19970620,0,1,0
same-sex_marriage1.0-10567,0,1,atlanta journal and constitution,1997,6,20,19970620,0,0,1
same-sex_marriage1.0-10560,0,1,atlanta journal and constitution,1997,6,22,19970622,0,0,1
same-sex_marriage1.0-10561,0,0,san jose mercury news,1997,6,22,19970622,0,0,1
same-sex_marriage1.0-10563,0,1,atlanta journal and constitution,1997,6,21,19970621,0,0,1
same-sex_marriage1.0-1658,0,1,new york times,2004,6,8,20040608,0,0,1
same-sex_marriage1.0-9326,0,1,usa today,2012,10,5,20121005,0,1,0
same-sex_marriage1.0-4205,0,0,saint paul pioneer press,2006,9,17,20060917,1,0,0
same-sex_marriage1.0-4204,0,0,new york times,2006,9,17,20060917,1,0,0
same-sex_marriage1.0-9323,0,1,new york times,2012,10,8,20121008,1,0,0
same-sex_marriage1.0-10159,0,0,daily news,1996,6,3,19960603,0,0,1
same-sex_marriage1.0-10158,0,1,daily news,1996,6,4,19960604,1,0,0
same-sex_marriage1.0-10155,0,1,herald-sun,1996,6,6,19960606,0,0,1
same-sex_marriage1.0-10154,0,0,san jose mercury news,1996,6,7,19960607,1,0,0
same-sex_marriage1.0-10157,0,0,st. louis post-dispatch,1996,6,6,19960606,1,0,0
same-sex_marriage1.0-10156,0,0,saint paul pioneer press,1996,6,6,19960606,0,1,0
same-sex_marriage1.0-10151,0,1,atlanta journal and constitution,1996,6,7,19960607,1,0,0
same-sex_marriage1.0-10150,0,1,daily news,1996,6,8,19960608,0,1,0
same-sex_marriage1.0-10153,0,1,philadelphia inquirer,1996,6,7,19960607,1,0,0
same-sex_marriage1.0-10152,0,0,new york times,1996,6,7,19960607,0,1,0
same-sex_marriage1.0-9969,0,1,new york times,1996,10,15,19961015,0,0,1
same-sex_marriage1.0-9968,0,0,washington post,1996,10,17,19961017,1,0,0
same-sex_marriage1.0-5887,0,0,san jose mercury news,2009,3,2,20090302,0,1,0
same-sex_marriage1.0-9961,0,1,san jose mercury news,1996,10,30,19961030,0,0,1
same-sex_marriage1.0-9963,0,0,denver post,1996,10,26,19961026,1,0,0
same-sex_marriage1.0-4485,0,0,new york times,2007,4,23,20070423,1,0,0
same-sex_marriage1.0-9964,0,1,philadelphia inquirer,1996,10,26,19961026,1,0,0
same-sex_marriage1.0-9967,0,0,washington post,1996,10,18,19961018,0,0,1
same-sex_marriage1.0-9966,0,0,philadelphia inquirer,1996,10,18,19961018,0,0,1
same-sex_marriage1.0-5337,0,0,atlanta journal and constitution,2008,12,18,20081218,1,0,0
same-sex_marriage1.0-1919,0,0,new york times,2004,4,11,20040411,1,0,0
same-sex_marriage1.0-825,0,0,denver post,2004,2,25,20040225,0,1,0
same-sex_marriage1.0-4209,0,1,washington post,2006,9,15,20060915,1,0,0
same-sex_marriage1.0-3068,0,1,saint paul pioneer press,2005,1,4,20050104,0,0,1
same-sex_marriage1.0-3069,0,1,san jose mercury news,2005,1,2,20050102,1,0,0
same-sex_marriage1.0-3066,0,0,atlanta journal and constitution,2005,1,7,20050107,0,0,1
