,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
gun_control1.0-10264,0,0,1,saint paul pioneer press,2005,1,23,20050123,0,1,0
gun_control1.0-10266,0,0,1,denver post,2005,1,21,20050121,0,1,0
gun_control1.0-10268,0,0,1,st. petersburg times,2005,1,20,20050120,0,0,1
gun_control1.0-10269,0,1,0,new york times,2005,1,19,20050119,0,0,1
gun_control1.0-10276,0,0,1,saint paul pioneer press,2005,1,9,20050109,1,0,0
gun_control1.0-10277,0,0,1,daily news,2005,1,6,20050106,0,0,1
gun_control1.0-10279,0,1,0,new york times,2005,1,6,20050106,0,0,1
gun_control1.0-10286,0,1,0,new york times,2010,12,30,20101230,1,0,0
gun_control1.0-10292,0,0,1,new york times,2010,12,16,20101216,0,0,1
gun_control1.0-10297,0,0,1,philadelphia inquirer,2010,12,1,20101201,0,0,1
gun_control1.0-10298,0,0,1,st. louis post-dispatch,2010,12,1,20101201,1,0,0
gun_control1.0-10299,0,0,1,washington post,2010,12,1,20101201,1,0,0
gun_control1.0-1030,0,0,1,usa today,1991,5,9,19910509,0,0,1
gun_control1.0-10300,0,0,1,philadelphia inquirer,2010,11,30,20101130,0,0,1
gun_control1.0-10303,0,0,1,philadelphia inquirer,2010,11,21,20101121,1,0,0
gun_control1.0-10306,0,1,0,daily news,2010,11,17,20101117,0,0,1
gun_control1.0-10307,0,0,1,philadelphia inquirer,2010,11,17,20101117,0,0,1
gun_control1.0-10308,0,0,1,philadelphia inquirer,2010,11,17,20101117,0,0,1
gun_control1.0-10310,0,0,1,atlanta journal and constitution,2010,11,9,20101109,0,1,0
gun_control1.0-10315,0,0,1,philadelphia inquirer,2010,10,29,20101029,0,1,0
gun_control1.0-10316,0,0,1,washington post,2010,10,27,20101027,0,0,1
gun_control1.0-10319,0,0,1,daily news,2010,10,25,20101025,0,0,1
gun_control1.0-10320,0,1,0,st. petersburg times,2010,10,25,20101025,0,0,1
gun_control1.0-10322,0,0,1,washington post,2010,10,22,20101022,0,0,1
gun_control1.0-10323,0,0,1,san jose mercury news,2010,10,21,20101021,0,0,1
gun_control1.0-10325,0,0,1,philadelphia inquirer,2010,10,20,20101020,0,1,0
gun_control1.0-10327,0,0,1,denver post,2010,10,18,20101018,0,0,1
gun_control1.0-1033,0,0,1,washington post,1991,5,9,19910509,0,0,1
gun_control1.0-10330,0,0,1,philadelphia inquirer,2010,10,14,20101014,1,0,0
gun_control1.0-10331,0,0,1,new york times,2010,10,13,20101013,0,1,0
gun_control1.0-10334,0,0,1,washington post,2010,10,7,20101007,1,0,0
gun_control1.0-10335,0,0,1,philadelphia inquirer,2010,10,6,20101006,1,0,0
gun_control1.0-10344,0,0,1,st. petersburg times,2010,9,30,20100930,0,0,1
gun_control1.0-10347,0,0,1,new york times,2010,9,27,20100927,0,0,1
gun_control1.0-10349,0,0,1,san jose mercury news,2010,9,24,20100924,0,1,0
gun_control1.0-10350,0,0,1,philadelphia inquirer,2010,9,22,20100922,1,0,0
gun_control1.0-10354,0,0,1,palm beach post,2010,9,18,20100918,0,0,1
gun_control1.0-10356,0,0,1,philadelphia inquirer,2010,9,18,20100918,0,0,1
gun_control1.0-10357,0,0,1,daily news,2010,9,16,20100916,0,0,1
gun_control1.0-10360,0,0,1,san jose mercury news,2010,9,7,20100907,0,0,1
gun_control1.0-10364,0,0,1,san jose mercury news,2010,9,1,20100901,1,0,0
gun_control1.0-10366,0,0,1,washington post,2010,8,27,20100827,0,1,0
gun_control1.0-10368,0,0,1,atlanta journal and constitution,2010,8,24,20100824,1,0,0
gun_control1.0-10369,0,0,1,san jose mercury news,2010,8,24,20100824,0,0,1
gun_control1.0-10370,0,0,1,washington post,2010,8,23,20100823,1,0,0
gun_control1.0-10371,0,0,1,philadelphia inquirer,2010,8,18,20100818,0,0,1
gun_control1.0-10372,0,0,1,washington post,2010,8,18,20100818,1,0,0
gun_control1.0-10377,0,0,1,st. petersburg times,2010,8,4,20100804,1,0,0
gun_control1.0-10378,0,0,1,denver post,2010,8,2,20100802,1,0,0
gun_control1.0-10380,0,0,1,st. petersburg times,2010,7,30,20100730,1,0,0
gun_control1.0-10385,0,0,1,atlanta journal and constitution,2010,7,24,20100724,1,0,0
gun_control1.0-10387,0,1,0,san jose mercury news,2010,7,19,20100719,1,0,0
gun_control1.0-10393,0,1,0,new york times,2010,7,13,20100713,1,0,0
gun_control1.0-10394,0,0,1,atlanta journal and constitution,2010,7,12,20100712,0,0,1
gun_control1.0-10398,0,1,0,atlanta journal and constitution,2010,7,6,20100706,0,1,0
gun_control1.0-104,0,0,1,palm beach post,1988,8,30,19880830,0,0,1
gun_control1.0-10401,0,0,1,washington post,2010,7,6,20100706,0,1,0
gun_control1.0-10402,0,0,1,atlanta journal and constitution,2010,7,5,20100705,1,0,0
gun_control1.0-10404,0,0,1,new york times,2010,7,4,20100704,1,0,0
gun_control1.0-10406,0,0,1,san jose mercury news,2010,7,4,20100704,1,0,0
gun_control1.0-10407,0,0,1,washington post,2010,7,4,20100704,0,0,1
gun_control1.0-10411,0,0,1,st. petersburg times,2010,7,2,20100702,0,0,1
gun_control1.0-10418,0,1,0,philadelphia inquirer,2010,6,30,20100630,0,0,1
gun_control1.0-1042,0,0,1,palm beach post,1991,5,8,19910508,1,0,0
gun_control1.0-10422,0,0,1,daily news,2010,6,29,20100629,1,0,0
gun_control1.0-10427,0,0,1,new york times,2010,6,29,20100629,1,0,0
gun_control1.0-1043,0,0,1,st. louis post-dispatch,1991,5,8,19910508,1,0,0
gun_control1.0-10430,0,0,1,philadelphia inquirer,2010,6,29,20100629,0,0,1
gun_control1.0-10433,0,1,0,st. louis post-dispatch,2010,6,29,20100629,1,0,0
gun_control1.0-10434,0,0,1,st. louis post-dispatch,2010,6,29,20100629,0,0,1
gun_control1.0-10437,0,0,1,washington post,2010,6,29,20100629,1,0,0
gun_control1.0-10438,0,0,1,san jose mercury news,2010,6,28,20100628,1,0,0
gun_control1.0-10441,0,0,1,denver post,2010,6,26,20100626,0,0,1
gun_control1.0-10442,0,0,1,atlanta journal and constitution,2010,6,24,20100624,0,0,1
gun_control1.0-10444,0,0,1,philadelphia inquirer,2010,6,19,20100619,0,0,1
gun_control1.0-10445,0,1,0,palm beach post,2010,6,18,20100618,1,0,0
gun_control1.0-10448,0,0,1,washington post,2010,6,17,20100617,1,0,0
gun_control1.0-1045,0,1,0,st. louis post-dispatch,1991,5,8,19910508,0,1,0
gun_control1.0-10453,0,0,1,philadelphia inquirer,2010,6,14,20100614,0,0,1
gun_control1.0-10463,0,0,1,daily news,2010,5,21,20100521,0,0,1
gun_control1.0-10464,0,0,1,washington post,2010,5,21,20100521,0,0,1
gun_control1.0-10466,0,0,1,washington post,2010,5,19,20100519,0,0,1
gun_control1.0-10468,0,0,1,daily news,2010,5,15,20100515,0,0,1
gun_control1.0-10470,0,0,1,new york times,2010,5,15,20100515,0,0,1
gun_control1.0-10472,0,0,1,washington post,2010,5,10,20100510,1,0,0
gun_control1.0-10473,0,0,1,new york times,2010,5,8,20100508,0,0,1
gun_control1.0-10475,0,0,1,new york times,2010,5,7,20100507,0,0,1
gun_control1.0-10481,0,0,1,usa today,2010,5,3,20100503,1,0,0
gun_control1.0-10482,0,0,1,atlanta journal and constitution,2010,4,28,20100428,1,0,0
gun_control1.0-10483,0,0,1,washington post,2010,4,28,20100428,1,0,0
gun_control1.0-10484,0,0,1,new york times,2010,4,27,20100427,0,0,1
gun_control1.0-10487,0,0,1,denver post,2010,4,24,20100424,1,0,0
gun_control1.0-10490,0,0,1,daily news,2010,4,21,20100421,0,0,1
gun_control1.0-10494,0,0,1,san jose mercury news,2010,4,20,20100420,0,0,1
gun_control1.0-10496,0,0,1,washington post,2010,4,20,20100420,0,0,1
gun_control1.0-10499,0,0,1,washington post,2010,4,20,20100420,0,0,1
gun_control1.0-105,0,0,1,new york times,1988,8,20,19880820,0,0,1
gun_control1.0-10501,0,0,1,washington post,2010,4,19,20100419,0,0,1
gun_control1.0-10504,0,1,0,new york times,2010,4,18,20100418,0,0,1
gun_control1.0-1051,0,0,1,washington post,1991,5,8,19910508,0,0,1
gun_control1.0-10510,0,0,1,philadelphia inquirer,2010,4,16,20100416,0,0,1
gun_control1.0-10515,0,0,1,washington post,2010,4,4,20100404,0,0,1
gun_control1.0-10522,0,0,1,washington post,2010,3,27,20100327,0,0,1
gun_control1.0-10524,0,0,1,washington post,2010,3,24,20100324,0,0,1
gun_control1.0-10526,0,0,1,palm beach post,2010,3,19,20100319,1,0,0
gun_control1.0-10527,0,0,1,st. petersburg times,2010,3,19,20100319,1,0,0
gun_control1.0-10529,0,0,1,usa today,2010,3,18,20100318,0,0,1
gun_control1.0-10535,0,0,1,saint paul pioneer press,2010,3,10,20100310,1,0,0
gun_control1.0-10536,0,0,1,atlanta journal and constitution,2010,3,9,20100309,0,0,1
gun_control1.0-10540,0,0,1,herald-sun,2010,3,7,20100307,1,0,0
gun_control1.0-10544,0,0,1,san jose mercury news,2010,3,5,20100305,1,0,0
gun_control1.0-10546,0,0,1,washington post,2010,3,5,20100305,0,1,0
gun_control1.0-10547,0,0,1,philadelphia inquirer,2010,3,4,20100304,0,0,1
gun_control1.0-1055,0,1,0,washington post,1991,5,8,19910508,1,0,0
gun_control1.0-10553,0,0,1,usa today,2010,3,3,20100303,0,0,1
gun_control1.0-10556,0,0,1,washington post,2010,3,3,20100303,0,0,1
gun_control1.0-10559,0,0,1,saint paul pioneer press,2010,3,2,20100302,1,0,0
gun_control1.0-1056,0,0,1,new york times,1991,5,7,19910507,0,1,0
gun_control1.0-10561,0,0,1,washington post,2010,3,2,20100302,0,0,1
gun_control1.0-10565,0,1,0,san jose mercury news,2010,2,28,20100228,1,0,0
gun_control1.0-10566,0,0,1,san jose mercury news,2010,2,28,20100228,0,1,0
gun_control1.0-10569,0,0,1,usa today,2010,2,26,20100226,1,0,0
gun_control1.0-1057,0,0,1,new york times,1991,5,7,19910507,1,0,0
gun_control1.0-10575,0,0,1,new york times,2010,2,20,20100220,0,0,1
gun_control1.0-10577,0,0,1,washington post,2010,2,19,20100219,0,0,1
gun_control1.0-1058,0,0,1,usa today,1991,5,7,19910507,0,0,1
gun_control1.0-10582,0,0,1,atlanta journal and constitution,2010,2,16,20100216,0,0,1
gun_control1.0-10583,0,1,0,atlanta journal and constitution,2010,2,16,20100216,1,0,0
gun_control1.0-10589,0,0,1,atlanta journal and constitution,2010,2,11,20100211,0,0,1
gun_control1.0-10591,0,0,1,st. petersburg times,2010,2,9,20100209,0,0,1
gun_control1.0-10593,0,0,1,washington post,2010,2,8,20100208,1,0,0
gun_control1.0-10599,0,0,1,denver post,2010,1,27,20100127,1,0,0
gun_control1.0-106,0,0,1,new york times,1988,8,20,19880820,0,0,1
gun_control1.0-10600,0,0,1,st. louis post-dispatch,2010,1,26,20100126,1,0,0
gun_control1.0-10603,0,0,1,denver post,2010,1,23,20100123,0,0,1
gun_control1.0-10608,0,0,1,palm beach post,2010,1,18,20100118,0,1,0
gun_control1.0-1061,0,0,1,usa today,1991,5,7,19910507,0,0,1
gun_control1.0-10610,0,0,1,st. louis post-dispatch,2010,1,16,20100116,1,0,0
gun_control1.0-10612,0,0,1,atlanta journal and constitution,2010,1,14,20100114,1,0,0
gun_control1.0-10617,0,0,1,washington post,2010,1,10,20100110,1,0,0
gun_control1.0-10618,0,0,1,new york times,2010,1,9,20100109,0,0,1
gun_control1.0-10622,0,0,1,washington post,2011,12,30,20111230,1,0,0
gun_control1.0-10624,0,0,1,new york times,2011,12,29,20111229,0,0,1
gun_control1.0-10626,0,1,0,atlanta journal and constitution,2011,12,24,20111224,1,0,0
gun_control1.0-10627,0,0,1,new york times,2011,12,23,20111223,1,0,0
gun_control1.0-10629,0,0,1,usa today,2011,12,20,20111220,1,0,0
gun_control1.0-10630,0,0,1,daily news,2011,12,19,20111219,0,0,1
gun_control1.0-10632,0,0,1,daily news,2011,12,17,20111217,0,0,1
gun_control1.0-10635,0,1,0,daily news,2011,12,15,20111215,0,0,1
gun_control1.0-10640,0,0,1,san jose mercury news,2011,12,12,20111212,0,0,1
gun_control1.0-10641,0,0,1,san jose mercury news,2011,12,12,20111212,0,0,1
gun_control1.0-10642,0,0,1,atlanta journal and constitution,2011,12,11,20111211,1,0,0
gun_control1.0-10643,0,0,1,san jose mercury news,2011,12,11,20111211,0,0,1
gun_control1.0-10646,0,0,1,palm beach post,2011,12,9,20111209,0,0,1
gun_control1.0-10647,0,0,1,san jose mercury news,2011,12,9,20111209,1,0,0
gun_control1.0-10651,0,0,1,st. petersburg times,2011,12,7,20111207,0,0,1
gun_control1.0-10661,0,0,1,st. petersburg times,2011,11,29,20111129,0,1,0
gun_control1.0-1067,0,0,1,washington post,1991,5,6,19910506,0,0,1
gun_control1.0-10670,0,0,1,new york times,2011,11,17,20111117,1,0,0
gun_control1.0-10671,0,1,0,new york times,2011,11,15,20111115,0,0,1
gun_control1.0-10673,0,0,1,usa today,2011,11,15,20111115,1,0,0
gun_control1.0-1068,0,0,1,atlanta journal and constitution,1991,5,5,19910505,0,0,1
gun_control1.0-10682,0,0,1,new york times,2011,11,8,20111108,0,0,1
gun_control1.0-10687,0,0,1,saint paul pioneer press,2011,10,30,20111030,0,0,1
gun_control1.0-10691,0,1,0,washington post,2011,10,28,20111028,0,1,0
gun_control1.0-10696,0,0,1,san jose mercury news,2011,10,22,20111022,1,0,0
gun_control1.0-107,0,0,1,palm beach post,1988,8,16,19880816,1,0,0
gun_control1.0-10700,0,0,1,palm beach post,2011,10,19,20111019,0,0,1
gun_control1.0-10702,0,0,1,san jose mercury news,2011,10,15,20111015,0,0,1
gun_control1.0-10704,0,0,1,saint paul pioneer press,2011,10,14,20111014,0,0,1
gun_control1.0-10705,0,0,1,st. petersburg times,2011,10,14,20111014,1,0,0
gun_control1.0-10708,0,0,1,new york times,2011,10,13,20111013,0,0,1
gun_control1.0-10711,0,0,1,st. petersburg times,2011,10,11,20111011,0,0,1
gun_control1.0-10718,0,0,1,washington post,2011,10,10,20111010,0,0,1
gun_control1.0-10719,0,0,1,philadelphia inquirer,2011,10,9,20111009,0,0,1
gun_control1.0-10720,0,0,1,atlanta journal and constitution,2011,10,7,20111007,0,0,1
gun_control1.0-10725,0,0,1,san jose mercury news,2011,10,5,20111005,0,0,1
gun_control1.0-10726,0,0,1,washington post,2011,10,5,20111005,0,0,1
gun_control1.0-10729,0,0,1,denver post,2011,10,3,20111003,1,0,0
gun_control1.0-1073,0,0,1,atlanta journal and constitution,1991,5,2,19910502,0,0,1
gun_control1.0-10733,0,0,1,palm beach post,2011,9,26,20110926,0,0,1
gun_control1.0-10735,0,0,1,new york times,2011,9,19,20110919,1,0,0
gun_control1.0-10737,0,0,1,st. petersburg times,2011,9,16,20110916,0,0,1
gun_control1.0-1074,0,1,0,new york times,1991,5,2,19910502,1,0,0
gun_control1.0-10747,0,0,1,philadelphia inquirer,2011,9,8,20110908,0,1,0
gun_control1.0-10749,0,0,1,new york times,2011,9,7,20110907,0,0,1
gun_control1.0-1075,0,1,0,new york times,1991,5,2,19910502,0,1,0
gun_control1.0-10751,0,0,1,usa today,2011,9,7,20110907,0,0,1
gun_control1.0-10752,0,0,1,philadelphia inquirer,2011,9,3,20110903,0,0,1
gun_control1.0-10753,0,0,1,st. petersburg times,2011,9,2,20110902,0,0,1
gun_control1.0-10754,0,0,1,usa today,2011,9,2,20110902,0,0,1
gun_control1.0-10755,0,0,1,st. petersburg times,2011,9,1,20110901,1,0,0
gun_control1.0-10756,0,0,1,palm beach post,2011,8,31,20110831,1,0,0
gun_control1.0-10761,0,0,1,washington post,2011,8,15,20110815,1,0,0
gun_control1.0-10763,0,0,1,st. petersburg times,2011,8,12,20110812,0,0,1
gun_control1.0-10766,0,0,1,st. petersburg times,2011,8,5,20110805,0,0,1
gun_control1.0-10767,0,0,1,new york times,2011,8,4,20110804,0,1,0
gun_control1.0-1077,0,0,1,usa today,1991,5,2,19910502,0,0,1
gun_control1.0-10776,0,1,0,washington post,2011,7,20,20110720,0,0,1
gun_control1.0-10778,0,0,1,washington post,2011,7,17,20110717,0,0,1
gun_control1.0-10779,0,0,1,palm beach post,2011,7,14,20110714,0,1,0
gun_control1.0-10781,0,0,1,st. louis post-dispatch,2011,7,13,20110713,1,0,0
gun_control1.0-10783,0,0,1,washington post,2011,7,12,20110712,0,0,1
gun_control1.0-10786,0,0,1,saint paul pioneer press,2011,7,8,20110708,1,0,0
gun_control1.0-10791,0,0,1,san jose mercury news,2011,7,7,20110707,1,0,0
gun_control1.0-10793,0,0,1,new york times,2011,7,2,20110702,0,0,1
gun_control1.0-10794,0,0,1,washington post,2011,7,2,20110702,1,0,0
gun_control1.0-10798,0,0,1,new york times,2011,6,28,20110628,0,0,1
gun_control1.0-108,0,0,1,new york times,1988,8,15,19880815,0,0,1
gun_control1.0-1080,0,0,1,atlanta journal and constitution,1991,5,1,19910501,0,0,1
gun_control1.0-10804,0,0,1,new york times,2011,6,21,20110621,0,0,1
gun_control1.0-10807,0,0,1,new york times,2011,6,16,20110616,0,0,1
gun_control1.0-10809,0,0,1,usa today,2011,6,15,20110615,0,0,1
gun_control1.0-10811,0,0,1,philadelphia inquirer,2011,6,14,20110614,1,0,0
gun_control1.0-10816,0,0,1,herald-sun,2011,6,8,20110608,1,0,0
gun_control1.0-10819,0,0,1,daily news,2011,6,4,20110604,0,0,1
gun_control1.0-10821,0,0,1,st. petersburg times,2011,6,3,20110603,0,0,1
gun_control1.0-10822,0,0,1,saint paul pioneer press,2011,6,2,20110602,0,0,1
gun_control1.0-10824,0,0,1,herald-sun,2011,5,31,20110531,1,0,0
gun_control1.0-10825,0,0,1,st. petersburg times,2011,5,31,20110531,1,0,0
gun_control1.0-10826,0,0,1,st. petersburg times,2011,5,28,20110528,0,0,1
gun_control1.0-10827,0,0,1,herald-sun,2011,5,26,20110526,1,0,0
gun_control1.0-10828,0,0,1,st. petersburg times,2011,5,25,20110525,0,0,1
gun_control1.0-10830,0,0,1,usa today,2011,5,18,20110518,0,0,1
gun_control1.0-10832,0,0,1,st. louis post-dispatch,2011,5,17,20110517,0,0,1
gun_control1.0-10833,0,0,1,usa today,2011,5,17,20110517,1,0,0
gun_control1.0-10836,0,0,1,st. petersburg times,2011,5,15,20110515,0,0,1
gun_control1.0-10837,0,0,1,usa today,2011,5,13,20110513,1,0,0
gun_control1.0-10839,0,0,1,new york times,2011,5,9,20110509,0,0,1
gun_control1.0-10840,0,0,1,st. petersburg times,2011,5,7,20110507,0,0,1
gun_control1.0-10841,0,1,0,philadelphia inquirer,2011,5,3,20110503,1,0,0
gun_control1.0-10843,0,0,1,washington post,2011,5,2,20110502,0,1,0
gun_control1.0-10845,0,0,1,new york times,2011,4,30,20110430,0,0,1
gun_control1.0-10846,0,0,1,washington post,2011,4,30,20110430,0,0,1
gun_control1.0-10847,0,0,1,herald-sun,2011,4,29,20110429,0,0,1
gun_control1.0-10850,0,0,1,st. petersburg times,2011,4,29,20110429,1,0,0
gun_control1.0-10851,0,0,1,saint paul pioneer press,2011,4,28,20110428,1,0,0
gun_control1.0-10853,0,0,1,usa today,2011,4,27,20110427,1,0,0
gun_control1.0-10855,0,0,1,usa today,2011,4,25,20110425,1,0,0
gun_control1.0-10856,0,1,0,usa today,2011,4,25,20110425,0,0,1
gun_control1.0-10857,0,0,1,new york times,2011,4,23,20110423,0,0,1
gun_control1.0-10858,0,0,1,palm beach post,2011,4,23,20110423,0,1,0
gun_control1.0-10859,0,0,1,washington post,2011,4,22,20110422,0,0,1
