,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14
same-sex_marriage1.0-10007,0,0,0,herald-sun,1996,9,13,19960913,0.570606783,0.173588669,0.255804548,0.005774946,0.001510702,0.015209368,0.053200835,0.537390437,0.026189157,0.004546217,0.00621386,0.024118575,0.024350684,0.119903708,0.036556836,0.125917993,0.019116682,0,0.034112014,0.007905668,0.358198852,0.397859416,0.373425124,0.502638253,0.008402146,0.017292166,0.036982785,0.454384385,0.292526744,0.497371488,0.536123756,0.209613715,0.28041184
same-sex_marriage1.0-10008,0,0,0,new york times,1996,9,13,19960913,0.214733288,0.296287418,0.488979294,0.00291929,0.000704314,0.013787435,0.012970621,0.025988451,0.030888462,0.002178618,0.000595264,0.002605569,0.000993628,0.001167162,0.01023205,0.894186066,0.00078307,0,0.039980601,0.004312834,0.189178039,0.177722489,0.648878096,0.429457515,0.001109834,0.000152292,0.091922815,0.181193858,0.121936323,0.3154359,0.994270996,0.111167107,0.120569597
same-sex_marriage1.0-10009,0,0,0,st. petersburg times,1996,9,13,19960913,0.524564416,0.155730551,0.319705033,0.000128617,0.000706452,0.019516436,0.038101302,0.00596194,0.05287907,0.000694947,0.000597071,0.001104834,0.014814538,0.000131771,0.009519578,0.854415347,0.001428097,0,0.022723703,0.00577662,0.665752617,0.944193733,0.383986749,0.383560053,0.002434191,2.12E-05,0.005194284,0.245578478,0.088401025,0.488434526,0.986709895,0.075541772,0.11879417
same-sex_marriage1.0-10010,1,0,0,new york times,1996,9,12,19960912,0.321990235,0.30830803,0.369701734,0.034277134,0.006731479,0.155171987,0.012115072,0.023465833,0.184213953,0.015172705,0.002539956,0.00539173,0.013694351,0.045029941,0.154911152,0.231044198,0.116240511,0,0.086558678,0.005490424,0.347452987,0.33196693,0.524375529,0.499349663,0.018658185,0.023197278,0.101240806,0.088534278,0.12913264,0.413347737,0.595542754,0.193279012,0.30347047
same-sex_marriage1.0-10011,0,0,1,saint paul pioneer press,1996,9,12,19960912,0.716727685,0.104687819,0.178584496,0.031072395,0.005269703,0.001412605,0.017757365,0.013235169,0.045989386,0.004767486,0.000661771,0.001909849,0.084908433,0.017667529,0.049586871,0.712064266,0.013697172,0,0.296431654,0.007719891,0.24259605,0.169676299,0.876861104,0.429355237,0.034455967,0.430688006,0.142439245,0.434657639,0.09731619,0.21240659,0.911424869,0.04533672,0.258145302
same-sex_marriage1.0-10012,0,0,0,atlanta journal and constitution,1996,9,11,19960911,0.509693017,0.137317834,0.352989148,0.008474191,0.001512729,0.001593827,0.040698966,0.20170171,0.214472664,0.005687386,0.003220122,0.018096956,0.049491782,0.002952088,0.004875682,0.440503873,0.006718026,0,0.053317538,0.011354022,0.433426016,0.383576418,0.932901149,0.486744935,0.031233367,0.00020373,0.468700261,0.756749247,0.045180913,0.340153902,0.7672485,0.039530557,0.070832279
same-sex_marriage1.0-10013,0,0,0,daily news,1996,9,11,19960911,0.211713773,0.15846834,0.629817887,0.000290434,0.000699791,0.001352861,0.011146021,0.008210769,0.019955271,0.001278143,0.000573765,0.002509458,0.00374397,0.002146637,0.004003674,0.94304935,0.001039856,0,0.016711614,0.005081553,0.57040252,0.813344633,0.27122368,0.416251206,0.005718258,0.000201345,0.00568047,0.167764312,0.08553468,0.300619735,0.994437171,0.085234564,0.035946835
same-sex_marriage1.0-10015,0,0,0,new york times,1996,9,11,19960911,0.230493712,0.27645272,0.493053568,0.016976477,0.00117636,0.013056161,0.011971305,0.020018634,0.071199869,0.005321574,0.000854607,0.010063705,0.004558782,0.065976681,0.021835567,0.736443212,0.020547066,0,0.041960192,0.004739026,0.147828675,0.313422659,0.223118141,0.437675277,0.01336409,0.000359933,0.040458237,0.986316681,0.441783396,0.313958855,0.83507555,0.175412489,0.192072259
same-sex_marriage1.0-10016,0,0,0,new york times,1996,9,11,19960911,0.441714954,0.180680805,0.377604242,0.00062524,0.001177577,0.001307397,0.004652267,0.004497892,0.013152765,0.00072139,0.000594567,0.001194415,0.001998583,0.000553344,0.010397821,0.954486196,0.004640546,0,0.045397794,0.004002464,0.252578121,0.299623715,0.458214606,0.467494073,0.002672368,2.17E-05,0.011633826,0.162114568,0.107203784,0.432200821,0.998336117,0.166906087,0.069177346
same-sex_marriage1.0-10018,0,0,0,philadelphia inquirer,1996,9,11,19960911,0.568951341,0.128541278,0.302507381,0.002346931,0.000666933,0.002553146,0.007323767,0.834653192,0.009680915,0.001858167,0.000563671,0.000664508,0.00408342,0.004298051,0.000170841,0.127858305,0.003278155,0,0.061260969,0.006440452,0.367808539,0.091934107,0.995915438,0.412838624,0.064615092,1.91E-05,0.037426077,0.737361956,0.170141618,0.228204942,0.758609306,0.115487049,0.065890571
same-sex_marriage1.0-10019,0,0,1,saint paul pioneer press,1996,9,11,19960911,0.452676563,0.196758884,0.350564553,0.021364193,0.006267323,0.006600425,0.026385671,0.755096606,0.020186694,0.012947792,0.008267617,0.002414939,0.067825458,0.014517697,0.008219743,0.040092567,0.009813275,0,0.02364276,0.007933643,0.074069953,0.088742682,0.978347946,0.533582715,0.022265889,0.00054532,0.195284141,0.572477829,0.145083786,0.129016286,0.388067335,0.047209136,0.099505858
same-sex_marriage1.0-1002,0,0,0,new york times,2004,2,14,20040214,0.378128445,0.295461585,0.326409969,0.004281466,0.000788631,0.021075083,0.002140211,0.895349116,0.008150335,0.032914092,0.000570489,0.000244206,0.025096458,0.000509238,0.004209161,0.001060589,0.003610924,0,0.014387285,0.023653561,0.204185563,0.127137655,0.994894575,0.438681692,0.049331392,9.11E-05,0.011870351,0.307607346,0.138595255,0.452472139,0.112395993,0.029061691,0.093946357
same-sex_marriage1.0-10020,0,0,1,san jose mercury news,1996,9,11,19960911,0.261436521,0.267195765,0.471367714,0.000414912,0.000731732,0.008728928,0.015689507,0.000141983,0.012720463,0.001624193,0.000545634,0.000640608,0.000855522,0.005376943,0.057383589,0.892647686,0.002498302,0,0.051281477,0.004361281,0.84952526,0.714668887,0.279779282,0.365387345,0.012974787,0.00068582,0.00520989,0.137043039,0.182249174,0.990513277,0.997390542,0.070513104,0.078998846
same-sex_marriage1.0-10022,0,0,1,st. louis post-dispatch,1996,9,11,19960911,0.102996191,0.257408502,0.639595307,0.00010445,0.000681194,0.000246597,0.049608717,0.041234592,0.05208669,0.000926763,0.000575724,0.000478783,0.000983788,0.000712111,0.002414817,0.847061273,0.002884501,0,0.026375766,0.004902378,0.626054927,0.745627799,0.836205413,0.516834181,0.003514097,0.000203832,0.005683417,0.195463381,0.061807522,0.32139373,0.998798728,0.138968427,0.055900064
same-sex_marriage1.0-10023,0,0,1,washington post,1996,9,11,19960911,0.519118561,0.166368239,0.3145132,0.000246467,0.000711913,0.009211801,0.004664524,0.00025097,0.020374171,0.000899572,0.000583704,0.000423073,0.003988348,0.003368224,0.006814096,0.947595798,0.000867338,0,0.017032831,0.002859881,0.16913157,0.531580012,0.077638632,0.386142915,0.004045653,5.96E-05,0.013701633,0.104263371,0.104365694,0.53794718,0.995820356,0.053586355,0.067535002
same-sex_marriage1.0-10024,0,0,0,washington post,1996,9,10,19960910,0.578208298,0.120901895,0.300889807,0.002445589,0.001441869,0.003642682,0.004555651,0.212937639,0.48942474,0.002693405,0.001075166,0.009575221,0.001786953,0.016335518,0.014464628,0.218928659,0.02069228,0,0.175075981,0.005137273,0.513538086,0.158249727,0.913053897,0.465459131,0.012662708,0.00250345,0.024368618,0.336631003,0.103455161,0.196586442,0.974117035,0.175014978,0.185680714
same-sex_marriage1.0-10025,0,0,1,washington post,1996,9,10,19960910,0.386122082,0.255380282,0.358497636,0.006064669,0.003154299,0.014369589,0.254195839,0.126289411,0.402032777,0.010294538,0.002352083,0.002709382,0.061031981,0.033485508,0.004650998,0.066130541,0.013238385,0,0.021291591,0.009379515,0.244739589,0.267293362,0.981793586,0.468174639,0.007521927,0.000430515,0.009267225,0.415610207,0.320670741,0.354626375,0.837434005,0.095775504,0.119154398
same-sex_marriage1.0-10026,0,0,0,new york times,1996,9,9,19960909,0.469838273,0.140683464,0.389478264,0.003117578,0.007106365,0.014598082,0.100836215,0.029941305,0.561059185,0.003324519,0.000792754,0.001648011,0.004082709,0.010278426,0.178530779,0.076554011,0.008130063,0,0.042403961,0.005631603,0.210263306,0.666550717,0.709314682,0.411717242,0.028291408,0.001080173,0.050321065,0.211888814,0.131409419,0.587694415,0.960008489,0.164208536,0.08222626
same-sex_marriage1.0-10027,0,0,0,st. louis post-dispatch,1996,9,9,19960909,0.393648813,0.114567292,0.491783895,0.007983293,0.001695295,0.025044616,0.043390297,0.372872509,0.202311136,0.006275304,0.001389988,0.008714875,0.013308006,0.092815758,0.114111053,0.10354337,0.006544499,0,0.019938762,0.005850388,0.47788881,0.666793724,0.906541506,0.437675277,0.013661627,0.0005531,0.024519821,0.395759102,0.323257545,0.292252288,0.72053519,0.152915686,0.136697643
same-sex_marriage1.0-10028,0,0,1,new york times,1996,9,8,19960908,0.576741106,0.144766239,0.278492656,0.001935328,0.001271016,0.022779215,0.009189082,0.108050558,0.001822089,0.000913544,0.001042118,0.000429286,0.007235878,0.740442972,0.007399209,0.059068407,0.038421297,0,0.031858661,0.006071642,0.378327912,0.071217966,0.968149144,0.432526136,0.009455336,8.03E-05,0.009594453,0.271053579,0.210580788,0.218795301,0.877636892,0.111963994,0.205710445
same-sex_marriage1.0-10029,0,0,0,new york times,1996,9,6,19960906,0.311939843,0.271694811,0.416365346,0.001081091,0.000727667,0.001646583,0.001290655,0.004264477,0.004561853,0.001425254,0.000596621,0.006008496,0.000572368,0.001515996,0.002582243,0.9728229,0.000903796,0,0.088583337,0.003679231,0.185536364,0.741206345,0.669823489,0.431988141,0.012593177,0.003678467,0.012390263,0.080721142,0.106895546,0.391195603,0.982446278,0.1552867,0.065779072
same-sex_marriage1.0-10030,0,0,0,new york times,1996,9,6,19960906,0.356870243,0.28388146,0.359248297,0.00028807,0.000668158,0.00026284,0.000840094,0.560750898,0.039146768,0.001971886,0.000498229,0.000473576,0.000338071,0.000334263,0.002514983,0.389018424,0.002893741,0,0.013233554,0.005775502,0.094920408,0.124872474,0.997047219,0.486971444,0.006242363,0.000400854,0.005899623,0.249731645,0.139877374,0.212800762,0.976796692,0.276785407,0.145604263
same-sex_marriage1.0-10031,0,0,0,atlanta journal and constitution,1996,9,5,19960905,0.468509452,0.173019507,0.35847104,0.044635794,0.000891209,0.027276618,0.025535793,0.139124834,0.520878739,0.000763234,0.001234937,0.033906188,0.188840146,0.001869932,0.007082501,0.001714361,0.006245715,0,0.701641901,0.014879355,0.054295884,0.317734772,0.923722083,0.487519142,0.002555699,0.000794439,0.343782695,0.889607837,0.159102391,0.731810801,0.275708743,0.014097234,0.221816335
same-sex_marriage1.0-10032,1,0,0,daily news,1996,9,5,19960905,0.16119784,0.188321394,0.650480767,0.022421958,0.000722166,0.002104292,0.014171168,0.008218461,0.041291939,0.008155414,0.000538501,0.006934866,0.002890571,0.002098942,0.002725532,0.884461055,0.003265137,0,0.319346927,0.004793179,0.133957877,0.280720309,0.259484294,0.326582975,0.006289515,0.001950673,0.033039145,0.088083206,0.121938022,0.22645779,0.996759672,0.092681394,0.158417653
same-sex_marriage1.0-10033,0,0,0,saint paul pioneer press,1996,9,5,19960905,0.228427193,0.257923625,0.513649182,0.030961029,0.003074998,0.016532046,0.03644478,0.012158773,0.25275316,0.021234906,0.00062946,0.007748873,0.040612532,0.005381639,0.011992547,0.558652258,0.001822998,0,0.04108345,0.004299359,0.188641136,0.438700107,0.77939812,0.487532166,0.007336335,0.00332047,0.100534042,0.17905072,0.109518165,0.260757764,0.894612476,0.196217191,0.156135961
same-sex_marriage1.0-10034,0,0,1,atlanta journal and constitution,1996,9,4,19960904,0.560162543,0.195328806,0.244508651,0.002255319,0.000696096,0.00112923,0.484044981,0.092167389,0.083287619,0.001082085,0.001268267,0.069579869,0.059321973,0.027244998,0.019200452,0.15469733,0.004024392,0,0.276750937,0.016242155,0.114675593,0.846139047,0.924499096,0.464675224,0.005022672,0.002803578,0.707004502,0.902016238,0.140951526,0.482480853,0.706141114,0.035839903,0.09252048
same-sex_marriage1.0-10035,0,0,1,st. louis post-dispatch,1996,9,4,19960904,0.27008631,0.19572225,0.53419144,0.002103469,0.000870779,0.003785539,0.011843586,0.014920257,0.059559483,0.000550666,0.000629914,0.0021086,0.002975902,0.00418962,0.000314688,0.891871038,0.004276459,0,0.23738325,0.004929808,0.220172183,0.274506113,0.54569632,0.434440458,0.008331773,0.001177787,0.259355941,0.145332076,0.0925093,0.165706344,0.996370216,0.115453346,0.057795895
same-sex_marriage1.0-10036,0,0,0,washington post,1996,9,3,19960903,0.504129918,0.125307069,0.370563013,0.000202219,0.000628533,0.007211718,0.003034571,0.333569961,0.020541379,0.000235629,0.000531216,0.001683026,0.008478379,0.006983639,0.000243925,0.612863432,0.003792372,0,0.01209157,0.004874153,0.81736963,0.664593559,0.939028165,0.386142915,0.0054587,0.001385156,0.036717597,0.424050761,0.095148894,0.369667271,0.919789261,0.093850224,0.135168548
same-sex_marriage1.0-10037,0,0,1,philadelphia inquirer,1996,8,31,19960831,0.450155436,0.137728683,0.412115881,0.003125367,0.000686073,0.011364518,0.001563699,0.847343341,0.008379658,0.002068267,0.000579847,0.003659666,0.007433923,0.079155377,0.018557331,0.008974647,0.007108287,0,0.031941042,0.008690677,0.215783637,0.107786399,0.760180148,0.397045755,0.092793485,0.000943362,0.013157538,0.195407139,0.222679663,0.244381536,0.734151212,0.12096556,0.178810705
same-sex_marriage1.0-10038,0,0,1,palm beach post,1996,8,28,19960828,0.243015028,0.250947612,0.50603736,0.022278584,0.002602842,0.152862487,0.078554246,0.015206536,0.001979282,0.000743595,0.000583096,0.002028785,0.018646407,0.066848774,0.616538861,0.013289993,0.007836512,0,0.01662508,0.010747997,0.344458196,0.223416132,0.31570997,0.323632668,0.036864413,0.00074151,0.003745053,0.48760588,0.385742465,0.456240069,0.206721245,0.031060143,0.107849193
same-sex_marriage1.0-10039,0,0,1,new york times,1996,8,24,19960824,0.236512124,0.234839672,0.528648204,0.003874865,0.000720543,0.00449432,0.003083327,0.024014843,0.067061266,0.001885943,0.000706581,0.001545411,1.66E-05,0.000159218,0.007197485,0.882235056,0.003004565,0,0.015228654,0.005262449,0.836859788,0.113437528,0.961979942,0.330542019,0.005060141,4.63E-05,0.009860901,0.087790634,0.029067673,0.674056033,0.999711932,0.108587759,0.060693701
same-sex_marriage1.0-1004,1,0,0,new york times,2004,2,14,20040214,0.341069702,0.257260688,0.401669611,0.070808753,0.004856365,0.064937314,0.015433101,0.424886268,0.010024558,0.147924695,0.031797003,0.002391055,0.172599391,0.009794235,0.016823929,0.024229912,0.003493421,0,0.023606601,0.01033254,0.631257512,0.313731129,0.962050895,0.4367732,0.017809961,0.00371592,0.122396131,0.164792293,0.161790743,0.361166969,0.119921682,0.02059394,0.388645991
same-sex_marriage1.0-10040,0,0,0,san jose mercury news,1996,8,21,19960821,0.238615401,0.337467984,0.423916614,0.000792474,0.00068802,0.002153439,0.001209296,0.010044162,0.042953244,0.000783083,0.000581493,0.001089559,0.002744287,0.00473776,0.001143715,0.921046359,0.010033108,0,0.017751141,0.003460645,0.040896055,0.035700566,0.843516496,0.316927511,0.007983254,4.84E-05,0.006917612,0.062553253,0.034200762,0.145048037,0.983879289,0.093758773,0.047941791
same-sex_marriage1.0-10041,0,0,0,san jose mercury news,1996,8,20,19960820,0.478947487,0.26368633,0.257366183,0.001460493,0.00060723,0.001251036,0.006234934,0.011041817,0.248576868,0.002258075,0.000513212,0.00259348,0.001353488,0.000448028,0.027428391,0.671638463,0.024594484,0,0.006670054,0.006764488,0.513047223,0.621076579,0.901004321,0.432625252,0.005760243,0.000274521,0.041833196,0.216034815,0.09616638,0.259396399,0.995845984,0.228472978,0.035750579
same-sex_marriage1.0-10042,0,0,0,atlanta journal and constitution,1996,8,19,19960819,0.532993175,0.213360659,0.253646166,0.004813079,0.005406676,0.011343015,0.0005739,0.002719421,0.063623293,0.004318166,0.000474724,0.006411121,0.071430947,0.143367217,0.675051075,0.008284218,0.00218315,0,0.054987063,0.008067715,0.203181797,0.038610891,0.20184881,0.417806594,0.006712807,0.000893275,0.063819955,0.197236783,0.353832222,0.895457354,0.067314023,0.024871138,0.126531102
same-sex_marriage1.0-10043,0,0,0,saint paul pioneer press,1996,8,19,19960819,0.44943504,0.30891545,0.24164951,0.015953423,0.01536383,0.032040957,0.048252586,0.030496611,0.077287841,0.032150201,0.056490467,0.025513258,0.02698343,0.103333898,0.516524018,0.010224874,0.009384605,0,0.032025665,0.007525633,0.267331672,0.119586205,0.100284543,0.371039426,0.016411713,0.023103792,0.023297926,0.050129194,0.275065518,0.468581481,0.268023249,0.164682292,0.263439214
same-sex_marriage1.0-10044,1,0,0,san jose mercury news,1996,8,19,19960819,0.382258517,0.297116162,0.320625321,0.026497323,0.00112375,0.087559507,0.027938644,0.047698969,0.021300262,0.016615282,0.00713884,0.013821768,0.038186623,0.066259032,0.611159867,0.03299905,0.001701082,0,0.145341606,0.012508051,0.285143783,0.093441255,0.184518682,0.432625252,0.077892402,0.006150599,0.037856589,0.137469748,0.461110453,0.753891115,0.194803622,0.083535805,0.13392259
same-sex_marriage1.0-10045,0,0,1,st. louis post-dispatch,1996,8,19,19960819,0.609374934,0.126039216,0.26458585,0.020599109,0.000670302,0.002603799,0.001527025,0.059903981,0.002679027,0.002893959,0.000549587,0.00280326,0.012649865,0.061126653,0.829780571,0.00148168,0.000731181,0,0.378308285,0.010439314,0.054824934,0.19643139,0.283680307,0.282492073,0.018004392,0.000696133,0.019341803,0.148125286,0.403397731,0.932085195,0.127896906,0.067491643,0.076641916
same-sex_marriage1.0-10046,0,0,0,san jose mercury news,1996,8,15,19960815,0.522364536,0.308642185,0.168993279,0.00180711,0.002277017,0.098286533,0.147102335,0.00729737,0.264033758,0.002710247,0.000682559,0.003016313,0.001707413,0.001472222,0.21491937,0.24765418,0.007033572,0,0.378749319,0.013678025,0.475491501,0.481143296,0.942958365,0.230402354,0.025498088,2.15E-06,0.119120366,0.641978468,0.22532187,0.777297461,0.934083321,0.109903128,0.075582968
same-sex_marriage1.0-10047,0,0,0,philadelphia inquirer,1996,8,13,19960813,0.741956775,0.112101333,0.145941892,0.50491496,0.002555011,0.023167259,0.039615319,0.013361743,0.061202496,0.002754233,0.00764428,0.008681795,0.258555687,0.064255217,0.006371186,0.004333356,0.002587459,0,0.894382097,0.037584456,0.134862608,0.11076312,0.789846385,0.295479344,0.042308173,0.00918992,0.026761712,0.839943071,0.621762396,0.672429968,0.383552512,0.071087968,0.116374486
same-sex_marriage1.0-10048,1,0,0,san jose mercury news,1996,8,13,19960813,0.261383785,0.317702688,0.420913527,0.013404417,0.002952943,0.030770337,0.028306983,0.007470886,0.452163633,0.007353264,0.000433008,0.024861909,0.003670633,0.006167019,0.067828901,0.343672583,0.010943485,0,0.075185959,0.004975614,0.153455393,0.21217879,0.70998104,0.384919798,0.021881556,0.000334983,0.072636007,0.085338513,0.090250779,0.39120224,0.805641915,0.335893355,0.114718751
same-sex_marriage1.0-10049,0,0,0,san jose mercury news,1996,8,13,19960813,0.588979213,0.161255483,0.249765304,0.022822775,0.002119645,0.376631034,0.07655984,0.024017609,0.049716412,0.001498806,0.000683235,0.002519438,0.320595458,0.03234051,0.038406661,0.047186557,0.004902021,0,0.149163913,0.015004147,0.896237644,0.398597199,0.643068805,0.323632668,0.006778886,1.89E-05,0.011853988,0.757300444,0.572964747,0.422280404,0.493518505,0.030654859,0.166000314
same-sex_marriage1.0-1005,0,1,0,new york times,2004,2,14,20040214,0.675745287,0.224496618,0.099758095,0.000731102,0.000792421,0.004248472,0.003736462,0.026265724,0.002029632,0.001644351,0.000824792,0.000306801,0.122320219,0.002561655,0.006048588,0.828179618,0.000310162,0,0.012458175,0.009325013,0.006676492,0.068696808,0.991777125,0.429448096,0.005479246,0.000160017,0.005547877,0.247302676,0.143591008,0.832080789,0.906374234,0.032468038,0.114402033
same-sex_marriage1.0-10050,0,0,0,san jose mercury news,1996,8,11,19960811,0.625751628,0.231480057,0.142768316,0.00392684,0.001545954,0.627407622,0.079688351,0.000706413,0.020453925,0.005611539,0.000392451,0.00370736,0.060989007,0.006017275,0.149400797,0.03867377,0.001478696,0,0.023635633,0.016391782,0.89822106,0.948633287,0.561217888,0.296289603,0.072125429,0.000168188,0.273427969,0.537710867,0.229653545,0.419032272,0.479668654,0.04329788,0.098639309
same-sex_marriage1.0-10051,0,0,0,washington post,1996,8,10,19960810,0.442082467,0.247931872,0.309985661,0.000647003,0.000728613,0.001464752,0.00140832,0.011813361,0.003439675,0.001204747,0.000597397,0.00065651,0.001903613,0.036364258,0.004773698,0.933981939,0.001016115,0,0.048152418,0.00557397,0.080327622,0.225161285,0.651429535,0.269988561,0.025747673,6.58E-05,0.007329756,0.131110792,0.247071532,0.30144293,0.993266928,0.047486973,0.106275399
same-sex_marriage1.0-10052,0,0,0,new york times,1996,8,7,19960807,0.508203447,0.16385452,0.327942034,0.165839431,0.001395688,0.010077924,0.004210196,0.01228228,0.012249214,0.006289954,0.005569207,0.002467285,0.004123183,0.049549996,0.293245339,0.419548345,0.013151958,0,0.568390478,0.007521487,0.146031637,0.127773283,0.211274861,0.335993487,0.027429859,0.003124189,0.008512799,0.119130367,0.292507698,0.452717426,0.979907877,0.046175834,0.086987499
same-sex_marriage1.0-10053,0,0,1,philadelphia inquirer,1996,8,7,19960807,0.535500135,0.127325991,0.337173874,0.001726184,0.000835009,0.014475924,0.026489669,0.652071059,0.023150472,0.006418161,0.007377761,0.015966675,0.056720623,0.001990165,0.000660482,0.189863697,0.002254119,0,0.179463302,0.012350202,0.632870907,0.717434283,0.944755415,0.302565618,0.011058012,0.000407746,0.51854645,0.538226575,0.13425241,0.353550113,0.759588383,0.022007473,0.09176789
same-sex_marriage1.0-10054,0,0,0,atlanta journal and constitution,1996,8,6,19960806,0.646752404,0.104077878,0.249169718,0.0165503,0.000996308,0.023986171,0.136255887,0.002981601,0.047620411,0.001897033,0.001074265,0.000744382,0.006563672,0.038380668,0.101906977,0.615100926,0.005941399,0,0.100476045,0.007308164,0.395140781,0.108795403,0.24249635,0.369781261,0.031682275,0.065292417,0.006127604,0.069376715,0.200422527,0.576458429,0.905389129,0.02951683,0.097523153
