,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
Tobacco1.0-19463,0,1,0,saint paul pioneer press,2002,10,8,20021008,0,0,1
Tobacco1.0-19462,0,0,1,new york times,2002,10,8,20021008,0,0,1
Tobacco1.0-18999,0,0,1,herald-sun,2002,5,21,20020521,0,1,0
Tobacco1.0-19448,0,0,1,daily news,2002,10,10,20021010,0,0,1
Tobacco1.0-19469,0,0,1,philadelphia inquirer,2002,10,7,20021007,1,0,0
Tobacco1.0-16206,0,0,1,atlanta journal and constitution,1999,9,21,19990921,0,1,0
Tobacco1.0-24720,0,0,1,st. petersburg times,2004,3,31,20040331,1,0,0
Tobacco1.0-14930,0,0,1,denver post,1998,6,21,19980621,0,0,1
Tobacco1.0-19260,0,0,1,atlanta journal and constitution,2002,12,3,20021203,0,0,1
Tobacco1.0-12084,0,0,1,saint paul pioneer press,1997,4,17,19970417,0,0,1
Tobacco1.0-19268,0,0,1,denver post,2002,11,27,20021127,0,1,0
Tobacco1.0-16209,0,0,1,st. louis post-dispatch,1999,9,21,19990921,0,0,1
Tobacco1.0-2592,0,0,1,palm beach post,1997,1,4,19970104,1,0,0
Tobacco1.0-16842,0,0,1,st. louis post-dispatch,1999,10,28,19991028,1,0,0
Tobacco1.0-22062,0,0,1,san jose mercury news,2010,9,6,20100906,0,0,1
Tobacco1.0-11539,0,0,1,palm beach post,1996,12,7,19961207,0,1,0
Tobacco1.0-22064,0,0,1,washington post,2010,9,1,20100901,0,1,0
Tobacco1.0-16848,0,0,1,palm beach post,1999,10,24,19991024,0,0,1
Tobacco1.0-11536,0,0,1,palm beach post,1996,12,8,19961208,0,0,1
Tobacco1.0-10286,0,0,1,san jose mercury news,1995,10,24,19951024,0,0,1
Tobacco1.0-21197,0,0,1,saint paul pioneer press,2005,8,27,20050827,1,0,0
Tobacco1.0-6859,0,0,1,atlanta journal and constitution,1992,8,2,19920802,0,0,1
Tobacco1.0-7270,0,0,1,st. louis post-dispatch,1993,6,24,19930624,0,0,1
Tobacco1.0-24970,0,0,1,st. louis post-dispatch,2004,1,7,20040107,0,0,1
Tobacco1.0-7272,0,1,0,usa today,1993,6,24,19930624,0,1,0
Tobacco1.0-6677,0,1,0,new york times,2012,3,18,20120318,0,0,1
Tobacco1.0-24978,0,0,1,new york times,2004,1,4,20040104,0,0,1
Tobacco1.0-6671,0,0,1,st. louis post-dispatch,2012,3,20,20120320,0,1,0
Tobacco1.0-6854,0,0,1,new york times,1992,8,5,19920805,0,0,1
Tobacco1.0-8050,0,0,1,atlanta journal and constitution,1995,5,25,19950525,0,0,1
Tobacco1.0-22719,0,0,1,denver post,2000,5,3,20000503,1,0,0
Tobacco1.0-26736,0,0,1,daily news,2013,4,22,20130422,0,0,1
Tobacco1.0-16448,0,0,1,atlanta journal and constitution,1999,7,20,19990720,0,0,1
Tobacco1.0-7095,0,0,1,atlanta journal and constitution,1992,5,5,19920505,0,0,1
Tobacco1.0-2576,0,0,1,palm beach post,1997,1,10,19970110,0,1,0
Tobacco1.0-7092,0,0,1,washington post,1992,5,12,19920512,0,0,1
Tobacco1.0-16443,0,0,1,new york times,1999,7,21,19990721,1,0,0
Tobacco1.0-23624,0,0,1,st. louis post-dispatch,2003,1,18,20030118,0,1,0
Tobacco1.0-22488,0,0,1,herald-sun,2000,6,23,20000623,0,0,1
Tobacco1.0-11311,0,0,1,atlanta journal and constitution,1996,8,23,19960823,0,0,1
Tobacco1.0-23622,0,0,1,daily news,2003,1,18,20030118,0,1,0
Tobacco1.0-18193,0,0,1,denver post,2001,9,27,20010927,0,0,1
Tobacco1.0-22485,0,0,1,saint paul pioneer press,2000,6,24,20000624,0,1,0
Tobacco1.0-22484,0,0,1,palm beach post,2000,6,24,20000624,0,0,1
Tobacco1.0-12310,0,0,1,st. louis post-dispatch,1997,5,25,19970525,0,0,1
Tobacco1.0-22393,0,1,0,san jose mercury news,2011,7,24,20110724,0,0,1
Tobacco1.0-11226,0,1,0,st. louis post-dispatch,1996,8,29,19960829,0,0,1
Tobacco1.0-11039,0,0,1,denver post,1996,9,20,19960920,0,0,1
Tobacco1.0-2681,0,0,1,saint paul pioneer press,1998,1,24,19980124,0,1,0
Tobacco1.0-11792,0,0,1,new york times,1996,10,19,19961019,0,0,1
Tobacco1.0-12323,0,0,1,herald-sun,1997,5,23,19970523,0,0,1
Tobacco1.0-11797,0,0,1,san jose mercury news,1996,10,19,19961019,0,1,0
Tobacco1.0-2177,0,0,1,herald-sun,1997,3,23,19970323,0,0,1
Tobacco1.0-2179,0,0,1,new york times,1997,3,23,19970323,0,0,1
Tobacco1.0-12905,0,0,1,herald-sun,1997,6,4,19970604,0,1,0
Tobacco1.0-26005,0,1,0,washington post,2007,9,2,20070902,0,1,0
Tobacco1.0-20259,0,0,1,washington post,2004,6,10,20040610,0,0,1
Tobacco1.0-24756,0,0,1,san jose mercury news,2004,3,18,20040318,0,0,1
Tobacco1.0-7891,0,0,1,new york times,1994,4,4,19940404,0,0,1
Tobacco1.0-23280,0,0,1,san jose mercury news,2000,7,6,20000706,0,0,1
Tobacco1.0-11001,0,0,1,st. petersburg times,1996,9,29,19960929,0,0,1
Tobacco1.0-27283,0,0,1,st. petersburg times,1992,3,17,19920317,0,0,1
Tobacco1.0-11003,0,0,1,st. louis post-dispatch,1996,9,29,19960929,1,0,0
Tobacco1.0-3794,0,0,1,st. louis post-dispatch,2001,3,28,20010328,0,0,1
Tobacco1.0-11006,0,0,1,atlanta journal and constitution,1996,9,28,19960928,0,0,1
Tobacco1.0-4688,0,0,1,philadelphia inquirer,2006,3,16,20060316,1,0,0
Tobacco1.0-4680,0,0,1,philadelphia inquirer,2006,3,17,20060317,0,0,1
Tobacco1.0-4683,0,0,1,saint paul pioneer press,2006,3,17,20060317,0,0,1
Tobacco1.0-4684,0,0,1,st. petersburg times,2006,3,17,20060317,0,0,1
Tobacco1.0-25627,0,1,0,st. louis post-dispatch,2006,11,2,20061102,0,0,1
Tobacco1.0-3590,0,0,1,st. petersburg times,2000,2,13,20000213,0,1,0
Tobacco1.0-24625,0,0,1,new york times,2003,12,9,20031209,0,0,1
Tobacco1.0-4511,0,0,1,herald-sun,2005,2,5,20050205,1,0,0
Tobacco1.0-26132,0,0,1,palm beach post,2007,6,30,20070630,0,0,1
Tobacco1.0-4517,0,0,1,daily news,2005,2,4,20050204,0,0,1
Tobacco1.0-14737,0,0,1,saint paul pioneer press,1998,5,11,19980511,0,0,1
Tobacco1.0-3619,0,1,0,new york times,2000,2,5,20000205,1,0,0
Tobacco1.0-7308,0,0,1,palm beach post,1993,6,13,19930613,0,0,1
Tobacco1.0-2772,0,0,1,washington post,1998,1,15,19980115,0,0,1
Tobacco1.0-27442,0,0,1,usa today,1992,1,27,19920127,0,0,1
Tobacco1.0-2771,0,0,1,washington post,1998,1,15,19980115,0,0,1
Tobacco1.0-2774,0,0,1,atlanta journal and constitution,1998,1,14,19980114,0,0,1
Tobacco1.0-24394,0,0,1,new york times,2003,8,9,20030809,0,0,1
Tobacco1.0-18170,0,0,1,st. louis post-dispatch,2001,10,17,20011017,0,1,0
Tobacco1.0-4336,0,1,0,new york times,2005,3,22,20050322,1,0,0
Tobacco1.0-531,0,1,0,palm beach post,1991,2,2,19910202,0,0,1
Tobacco1.0-23756,0,0,1,san jose mercury news,2003,6,12,20030612,1,0,0
Tobacco1.0-24399,0,0,1,daily news,2003,8,7,20030807,1,0,0
Tobacco1.0-23481,0,0,1,atlanta journal and constitution,2003,2,28,20030228,0,1,0
Tobacco1.0-24156,0,0,1,saint paul pioneer press,2003,10,29,20031029,1,0,0
Tobacco1.0-6094,0,0,1,st. louis post-dispatch,2010,3,14,20100314,0,0,1
Tobacco1.0-24401,0,0,1,saint paul pioneer press,2003,8,7,20030807,0,0,1
Tobacco1.0-25443,0,0,1,saint paul pioneer press,2006,4,12,20060412,0,1,0
Tobacco1.0-24403,0,1,0,washington post,2003,8,7,20030807,0,1,0
Tobacco1.0-16725,0,0,1,herald-sun,1999,11,20,19991120,1,0,0
Tobacco1.0-13761,0,0,1,new york times,1997,9,22,19970922,0,1,0
Tobacco1.0-21910,0,0,1,washington post,2010,11,28,20101128,0,0,1
Tobacco1.0-2378,0,0,1,washington post,1997,2,19,19970219,0,0,1
Tobacco1.0-24717,0,0,1,denver post,2004,3,31,20040331,0,0,1
Tobacco1.0-21443,0,0,1,usa today,2008,10,9,20081009,1,0,0
Tobacco1.0-24718,0,0,1,palm beach post,2004,3,31,20040331,0,0,1
Tobacco1.0-7620,0,0,1,new york times,1994,5,27,19940527,0,0,1
Tobacco1.0-4205,0,0,1,philadelphia inquirer,2002,2,2,20020202,0,0,1
Tobacco1.0-26497,0,0,1,philadelphia inquirer,2012,7,31,20120731,0,0,1
Tobacco1.0-15308,0,0,1,philadelphia inquirer,1998,11,16,19981116,0,0,1
Tobacco1.0-15309,0,0,1,saint paul pioneer press,1998,11,16,19981116,0,0,1
Tobacco1.0-8234,0,0,1,palm beach post,1995,4,8,19950408,0,0,1
Tobacco1.0-8237,0,0,1,new york times,1995,4,7,19950407,0,0,1
Tobacco1.0-15305,0,1,0,denver post,1998,11,16,19981116,0,0,1
Tobacco1.0-8231,0,0,1,herald-sun,1995,4,8,19950408,1,0,0
Tobacco1.0-15300,0,0,1,st. louis post-dispatch,1998,11,17,19981117,0,0,1
Tobacco1.0-20090,0,0,1,st. louis post-dispatch,2004,7,16,20040716,0,0,1
Tobacco1.0-20091,0,0,1,atlanta journal and constitution,2004,7,15,20040715,0,0,1
Tobacco1.0-4028,0,1,0,denver post,2001,1,2,20010102,0,0,1
Tobacco1.0-9012,0,0,1,new york times,1991,7,2,19910702,1,0,0
Tobacco1.0-2372,0,0,1,herald-sun,1997,2,19,19970219,0,0,1
Tobacco1.0-14786,0,0,1,atlanta journal and constitution,1998,5,7,19980507,0,0,1
Tobacco1.0-4021,0,0,1,philadelphia inquirer,2001,1,5,20010105,0,0,1
Tobacco1.0-14782,0,0,1,st. louis post-dispatch,1998,5,8,19980508,0,0,1
Tobacco1.0-20870,0,0,1,st. petersburg times,2005,4,12,20050412,0,0,1
Tobacco1.0-15949,0,1,0,st. petersburg times,1999,5,8,19990508,0,1,0
Tobacco1.0-15495,0,0,1,atlanta journal and constitution,1998,10,9,19981009,0,1,0
Tobacco1.0-10449,0,0,1,st. louis post-dispatch,1995,9,2,19950902,0,0,1
Tobacco1.0-10446,0,0,1,st. louis post-dispatch,1995,9,3,19950903,0,0,1
Tobacco1.0-15943,0,0,1,daily news,1999,5,8,19990508,0,1,0
Tobacco1.0-10190,0,0,1,daily news,1995,11,14,19951114,0,0,1
Tobacco1.0-10193,0,1,0,philadelphia inquirer,1995,11,14,19951114,1,0,0
Tobacco1.0-1489,0,0,1,palm beach post,1995,2,22,19950222,0,0,1
Tobacco1.0-15781,0,0,1,washington post,1999,6,13,19990613,0,0,1
Tobacco1.0-27265,0,0,1,usa today,1992,3,24,19920324,0,0,1
Tobacco1.0-15833,0,1,0,new york times,1999,6,4,19990604,0,1,0
Tobacco1.0-11365,0,1,0,denver post,1996,8,17,19960817,1,0,0
Tobacco1.0-3703,0,0,1,herald-sun,2000,1,18,20000118,0,0,1
Tobacco1.0-15788,0,0,1,atlanta journal and constitution,1999,6,12,19990612,1,0,0
Tobacco1.0-2955,0,0,1,washington post,1999,3,17,19990317,0,0,1
Tobacco1.0-9493,0,0,1,herald-sun,1995,8,9,19950809,0,0,1
Tobacco1.0-13631,0,0,1,denver post,1997,10,11,19971011,0,0,1
Tobacco1.0-27062,0,0,1,palm beach post,1990,3,7,19900307,0,0,1
Tobacco1.0-14548,0,0,1,palm beach post,1998,5,31,19980531,0,0,1
Tobacco1.0-27066,0,0,1,palm beach post,1990,3,5,19900305,1,0,0
Tobacco1.0-10043,0,0,1,palm beach post,1995,12,19,19951219,0,0,1
Tobacco1.0-10040,0,0,1,new york times,1995,12,21,19951221,0,1,0
Tobacco1.0-15548,0,0,1,st. louis post-dispatch,1998,12,28,19981228,0,0,1
Tobacco1.0-15549,0,0,1,new york times,1998,12,27,19981227,0,0,1
Tobacco1.0-9120,0,0,1,new york times,1992,11,15,19921115,0,0,1
Tobacco1.0-14012,0,0,1,denver post,1997,12,23,19971223,0,0,1
Tobacco1.0-5742,0,0,1,daily news,2008,4,18,20080418,0,0,1
Tobacco1.0-20275,0,1,0,atlanta journal and constitution,2004,6,4,20040604,0,1,0
Tobacco1.0-20272,0,0,1,st. petersburg times,2004,6,5,20040605,1,0,0
Tobacco1.0-20270,0,0,1,new york times,2004,6,5,20040605,0,0,1
Tobacco1.0-20271,0,0,1,saint paul pioneer press,2004,6,5,20040605,1,0,0
Tobacco1.0-997,0,0,1,atlanta journal and constitution,1994,3,27,19940327,0,0,1
Tobacco1.0-17945,0,0,1,saint paul pioneer press,2000,10,10,20001010,0,0,1
Tobacco1.0-26951,0,0,1,palm beach post,1990,5,25,19900525,0,0,1
Tobacco1.0-440,0,0,1,usa today,1991,3,26,19910326,0,0,1
Tobacco1.0-26953,0,0,1,st. louis post-dispatch,1990,5,25,19900525,0,0,1
Tobacco1.0-26955,0,0,1,usa today,1990,5,25,19900525,0,0,1
Tobacco1.0-448,0,0,1,palm beach post,1991,3,23,19910323,0,0,1
Tobacco1.0-5139,0,0,1,saint paul pioneer press,2007,1,25,20070125,0,1,0
Tobacco1.0-11367,0,0,1,philadelphia inquirer,1996,8,17,19960817,0,0,1
Tobacco1.0-15160,0,0,1,daily news,1998,11,26,19981126,1,0,0
Tobacco1.0-22202,0,0,1,new york times,2011,11,17,20111117,0,0,1
Tobacco1.0-14301,0,0,1,washington post,1998,2,28,19980228,0,1,0
Tobacco1.0-19853,0,0,1,new york times,2004,9,26,20040926,0,1,0
Tobacco1.0-14303,0,0,1,palm beach post,1998,2,27,19980227,0,0,1
Tobacco1.0-13404,0,0,1,san jose mercury news,1997,8,13,19970813,0,0,1
Tobacco1.0-14305,0,0,1,saint paul pioneer press,1998,2,27,19980227,0,0,1
Tobacco1.0-13400,0,0,1,herald-sun,1997,8,13,19970813,0,0,1
Tobacco1.0-14309,0,0,1,st. louis post-dispatch,1998,2,27,19980227,0,0,1
Tobacco1.0-19858,0,1,0,philadelphia inquirer,2004,9,24,20040924,0,0,1
Tobacco1.0-14673,0,0,1,washington post,1998,5,17,19980517,1,0,0
Tobacco1.0-20789,0,0,1,atlanta journal and constitution,2005,5,10,20050510,0,0,1
Tobacco1.0-6474,0,0,1,daily news,2011,2,6,20110206,1,0,0
Tobacco1.0-11406,0,0,1,denver post,1996,8,10,19960810,0,0,1
Tobacco1.0-4933,0,0,1,washington post,2007,3,28,20070328,0,0,1
Tobacco1.0-1039,0,0,1,san jose mercury news,1994,3,22,19940322,0,0,1
Tobacco1.0-10535,0,0,1,new york times,1993,11,12,19931112,0,0,1
Tobacco1.0-21451,0,0,1,daily news,2008,10,6,20081006,0,0,1
Tobacco1.0-21450,0,0,1,washington post,2008,10,7,20081007,0,0,1
Tobacco1.0-21453,0,0,1,philadelphia inquirer,2008,10,6,20081006,0,1,0
Tobacco1.0-1030,0,0,1,new york times,1994,3,23,19940323,0,0,1
Tobacco1.0-13626,0,0,1,st. louis post-dispatch,1997,10,12,19971012,0,0,1
Tobacco1.0-25573,0,1,0,washington post,2006,11,23,20061123,0,0,1
Tobacco1.0-26489,0,0,1,usa today,2012,8,7,20120807,0,0,1
Tobacco1.0-10539,0,0,1,new york times,1993,11,11,19931111,1,0,0
Tobacco1.0-5001,0,0,1,new york times,2007,3,3,20070303,0,0,1
Tobacco1.0-19927,0,0,1,denver post,2004,9,9,20040909,1,0,0
Tobacco1.0-10220,0,0,1,usa today,1995,11,9,19951109,0,1,0
Tobacco1.0-10997,0,0,1,new york times,1996,9,29,19960929,0,0,1
Tobacco1.0-10992,0,0,1,palm beach post,1994,10,1,19941001,1,0,0
Tobacco1.0-13245,0,0,1,atlanta journal and constitution,1997,8,27,19970827,0,0,1
Tobacco1.0-13531,0,0,1,san jose mercury news,1997,10,29,19971029,0,0,1
Tobacco1.0-17897,0,0,1,san jose mercury news,2000,11,3,20001103,0,0,1
Tobacco1.0-13240,0,0,1,st. petersburg times,1997,8,28,19970828,0,0,1
Tobacco1.0-13243,0,0,1,atlanta journal and constitution,1997,8,27,19970827,0,0,1
Tobacco1.0-19929,0,0,1,saint paul pioneer press,2004,9,9,20040909,0,0,1
Tobacco1.0-14161,0,0,1,washington post,1997,11,30,19971130,1,0,0
Tobacco1.0-20474,0,0,1,daily news,2004,4,13,20040413,0,1,0
Tobacco1.0-25117,0,1,0,atlanta journal and constitution,2006,7,15,20060715,1,0,0
Tobacco1.0-18956,0,1,0,denver post,2002,6,4,20020604,0,0,1
Tobacco1.0-21473,0,0,1,san jose mercury news,2008,9,23,20080923,0,0,1
Tobacco1.0-21298,0,0,1,philadelphia inquirer,2005,8,2,20050802,0,0,1
Tobacco1.0-21292,0,0,1,saint paul pioneer press,2005,8,5,20050805,0,1,0
Tobacco1.0-14826,0,0,1,saint paul pioneer press,1998,5,2,19980502,1,0,0
Tobacco1.0-26826,0,0,1,palm beach post,2013,2,21,20130221,0,0,1
Tobacco1.0-6680,0,0,1,washington post,2012,3,18,20120318,0,0,1
Tobacco1.0-17412,0,0,1,san jose mercury news,1998,8,20,19980820,0,0,1
Tobacco1.0-12115,0,0,1,atlanta journal and constitution,1997,4,13,19970413,1,0,0
Tobacco1.0-19671,0,0,1,st. louis post-dispatch,2004,11,24,20041124,0,0,1
Tobacco1.0-18723,0,0,1,daily news,2002,8,10,20020810,0,0,1
Tobacco1.0-13333,0,0,1,washington post,1997,8,22,19970822,0,1,0
Tobacco1.0-1327,0,0,1,san jose mercury news,1994,1,4,19940104,1,0,0
Tobacco1.0-13335,0,0,1,new york times,1997,8,21,19970821,0,1,0
Tobacco1.0-17301,0,0,1,atlanta journal and constitution,1998,9,19,19980919,0,0,1
Tobacco1.0-6115,0,1,0,daily news,2010,3,1,20100301,0,0,1
Tobacco1.0-12750,0,0,1,saint paul pioneer press,1997,6,21,19970621,0,0,1
Tobacco1.0-13338,0,0,1,philadelphia inquirer,1997,8,21,19970821,0,0,1
Tobacco1.0-12752,0,0,1,san jose mercury news,1997,6,21,19970621,0,0,1
Tobacco1.0-5640,0,0,1,st. petersburg times,2008,6,1,20080601,1,0,0
Tobacco1.0-12755,0,1,0,st. louis post-dispatch,1997,6,21,19970621,0,0,1
Tobacco1.0-5313,0,0,1,daily news,2009,5,19,20090519,0,0,1
Tobacco1.0-12757,0,0,1,st. louis post-dispatch,1997,6,21,19970621,0,0,1
Tobacco1.0-17094,0,1,0,washington post,1998,3,18,19980318,0,0,1
Tobacco1.0-17090,0,0,1,saint paul pioneer press,1998,3,18,19980318,0,1,0
Tobacco1.0-17091,0,0,1,san jose mercury news,1998,3,18,19980318,1,0,0
Tobacco1.0-1986,0,0,1,atlanta journal and constitution,1996,2,4,19960204,1,0,0
Tobacco1.0-21054,0,0,1,atlanta journal and constitution,2005,11,11,20051111,0,0,1
Tobacco1.0-21056,0,0,1,san jose mercury news,2005,11,10,20051110,0,0,1
Tobacco1.0-10820,0,0,1,atlanta journal and constitution,1994,11,17,19941117,0,0,1
Tobacco1.0-17528,0,0,1,san jose mercury news,1998,7,29,19980729,0,0,1
Tobacco1.0-17529,0,0,1,herald-sun,1998,7,28,19980728,1,0,0
Tobacco1.0-5865,0,0,1,atlanta journal and constitution,2008,2,8,20080208,0,0,1
Tobacco1.0-25563,0,0,1,usa today,2006,11,28,20061128,0,0,1
Tobacco1.0-7645,0,0,1,san jose mercury news,1994,5,23,19940523,0,0,1
Tobacco1.0-7644,0,1,0,palm beach post,1994,5,23,19940523,0,1,0
Tobacco1.0-12573,0,0,1,st. louis post-dispatch,1997,6,29,19970629,0,0,1
