,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,assignment,weight,directness,Explicit,Implicit
Immigration1.0-36397,0,0,1,new york times,1988,7,17,19880717,laurie_54.0_r,0.5,1,0,1
Immigration1.0-36398,0,0,1,new york times,1988,7,17,19880717,alex_59.0_rt,0.5,1,0,1
Immigration1.0-36398,0,0,1,new york times,1988,7,17,19880717,allie_59.0_rt,0.5,1,0,1
Immigration1.0-5301,0,0,1,new york times,1998,7,11,19980711,allie_64.0_rt,0.5,1,0,1
Immigration1.0-5301,0,0,1,new york times,1998,7,11,19980711,laurie_64.0_rt,0.5,1,0,1
Immigration1.0-16099,0,0,1,washington post,2004,7,29,20040729,emily_56.2_rt,0.5,1,0,1
Immigration1.0-16099,0,0,1,washington post,2004,7,29,20040729,spencer_56.0_rt,0.5,1,0,1
Immigration1.0-26486,0,1,0,atlanta journal and constitution,2008,4,27,20080427,corey_64.0_rt,0.5,1,0,1
Immigration1.0-26486,0,1,0,atlanta journal and constitution,2008,4,27,20080427,spencer_64.0_rt,0.5,1,0,1
Immigration1.0-24419,0,0,1,usa today,2007,5,25,20070525,sam_58.0_rt,0.5,1,0,1
Immigration1.0-24419,0,0,1,usa today,2007,5,25,20070525,jeremy_58.0_rt,0.5,1,0,1
Immigration1.0-33707,0,1,0,atlanta journal and constitution,2012,10,11,20121011,corey_56.0_rt,0.5,1,0,1
Immigration1.0-33707,0,1,0,atlanta journal and constitution,2012,10,11,20121011,emily_56.0_rt,0.5,1,0,1
Immigration1.0-26488,0,0,1,daily news,2008,4,27,20080427,laurie_55.0_r,0.5,1,0,1
Immigration1.0-26488,0,0,1,daily news,2008,4,27,20080427,emily_55.2_r,0.5,1,0,1
Immigration1.0-38395,0,0,1,new york times,1992,2,19,19920219,allie_58.0_rt,0.5,1,0,1
Immigration1.0-38395,0,0,1,new york times,1992,2,19,19920219,spencer_58.0_rt,0.5,1,0,1
Immigration1.0-21214,0,0,1,saint paul pioneer press,2006,5,30,20060530,sam_61.0_rt,0.5,0,1,0
Immigration1.0-21214,0,0,1,saint paul pioneer press,2006,5,30,20060530,corey_61.0_rt,0.5,1,0,1
Immigration1.0-10077,0,0,1,new york times,2001,8,5,20010805,nick_62.0_rt,0.5,1,0,1
Immigration1.0-10077,0,0,1,new york times,2001,8,5,20010805,kristine_62.0_rt,0.5,1,0,1
Immigration1.0-27689,0,0,1,new york times,2008,10,18,20081018,corey_59.0_rt,0.5,1,0,1
Immigration1.0-27689,0,0,1,new york times,2008,10,18,20081018,dana_59.0_rt,0.5,1,0,1
Immigration1.0-1825,0,0,1,palm beach post,1996,5,30,19960530,allie_60.2_rt,0.5,1,0,1
Immigration1.0-1825,0,0,1,palm beach post,1996,5,30,19960530,corey_60.2_rt,0.5,1,0,1
Immigration1.0-14949,0,0,1,washington post,2003,10,30,20031030,spencer_60.2_rt,0.5,1,0,1
Immigration1.0-14949,0,0,1,washington post,2003,10,30,20031030,alex_60.0_rt,0.5,1,0,1
Immigration1.0-13660,0,0,1,daily news,2003,1,13,20030113,emily_60.0_rt,0.5,1,0,1
Immigration1.0-13660,0,0,1,daily news,2003,1,13,20030113,nick_60.0_rt,0.5,1,0,1
Immigration1.0-29761,0,0,1,san jose mercury news,2010,7,29,20100729,nick_58.0_rt,0.5,0,1,0
Immigration1.0-29761,0,0,1,san jose mercury news,2010,7,29,20100729,laurie_58.0_rt,0.5,0,1,0
Immigration1.0-10384,0,0,1,daily news,2001,10,19,20011019,corey_58.0_rt,0.5,1,0,1
Immigration1.0-10384,0,0,1,daily news,2001,10,19,20011019,spencer_58.2_rt,0.5,1,0,1
Immigration1.0-10389,0,0,1,washington post,2001,10,19,20011019,gareth_56.0_rt,0.5,1,0,1
Immigration1.0-10389,0,0,1,washington post,2001,10,19,20011019,corey_56.2_rt,0.5,1,0,1
Immigration1.0-17766,0,0,1,san jose mercury news,2005,8,26,20050826,dana_60.0_rt,0.5,1,0,1
Immigration1.0-17766,0,0,1,san jose mercury news,2005,8,26,20050826,sam_60.0_rt,0.5,1,0,1
Immigration1.0-39661,0,0,1,usa today,1993,6,8,19930608,corey_58.0_rt,0.5,1,0,1
Immigration1.0-39661,0,0,1,usa today,1993,6,8,19930608,spencer_58.2_rt,0.5,1,0,1
Immigration1.0-31418,0,0,1,new york times,2011,8,17,20110817,corey_56.0_rt,0.5,1,0,1
Immigration1.0-31418,0,0,1,new york times,2011,8,17,20110817,emily_56.0_rt,0.5,1,0,1
Immigration1.0-20221,0,0,1,usa today,2006,4,28,20060428,alex_55.0_r,0.5,0,1,0
Immigration1.0-20221,0,0,1,usa today,2006,4,28,20060428,allie_55.0_r,0.5,0,1,0
Immigration1.0-376,0,0,1,new york times,1995,8,29,19950829,allie_58.0_rt,0.5,1,0,1
Immigration1.0-376,0,0,1,new york times,1995,8,29,19950829,spencer_58.0_rt,0.5,1,0,1
Immigration1.0-35570,0,0,1,new york times,1985,7,26,19850726,corey_54.0_r,0.5,1,0,1
Immigration1.0-35570,0,0,1,new york times,1985,7,26,19850726,laurie_54.0_r,0.5,1,0,1
Immigration1.0-7653,0,0,1,new york times,2000,1,12,20000112,allie_60.2_rt,0.5,1,0,1
Immigration1.0-7653,0,0,1,new york times,2000,1,12,20000112,corey_60.2_rt,0.5,1,0,1
Immigration1.0-37717,0,0,1,palm beach post,1991,10,28,19911028,sam_59.0_rt,0.5,1,0,1
Immigration1.0-37717,0,0,1,palm beach post,1991,10,28,19911028,emily_59.0_rt,0.5,1,0,1
Immigration1.0-28145,0,0,1,atlanta journal and constitution,2010,1,15,20100115,gareth_61.0_rt,0.5,1,0,1
Immigration1.0-28145,0,0,1,atlanta journal and constitution,2010,1,15,20100115,nick_61.0_rt,0.5,1,0,1
Immigration1.0-28142,0,0,1,san jose mercury news,2009,4,1,20090401,corey_65.0_rt,0.5,1,0,1
Immigration1.0-28142,0,0,1,san jose mercury news,2009,4,1,20090401,hannah_65.2_rt,0.5,1,0,1
Immigration1.0-34164,0,0,1,daily news,2012,12,2,20121202,sam_62.0_rt,0.5,0,1,0
Immigration1.0-34164,0,0,1,daily news,2012,12,2,20121202,alex_62.0_rt,0.5,0,1,0
Immigration1.0-39442,0,0,1,palm beach post,1993,7,29,19930729,allie_64.0_rt,0.5,1,0,1
Immigration1.0-39442,0,0,1,palm beach post,1993,7,29,19930729,laurie_64.0_rt,0.5,1,0,1
Immigration1.0-39440,0,0,1,washington post,1993,7,30,19930730,kristine_60.0_rt,0.5,1,0,1
Immigration1.0-39440,0,0,1,washington post,1993,7,30,19930730,corey_60.0_rt,0.5,1,0,1
Immigration1.0-22151,0,0,1,daily news,2006,8,20,20060820,spencer_62.0_rt,0.5,1,0,1
Immigration1.0-22151,0,0,1,daily news,2006,8,20,20060820,corey_62.0_rt,0.5,1,0,1
Immigration1.0-32474,0,0,1,new york times,2012,1,1,20120101,emily_60.0_rt,0.5,1,0,1
Immigration1.0-32474,0,0,1,new york times,2012,1,1,20120101,nick_60.0_rt,0.5,1,0,1
Immigration1.0-11031,0,0,1,saint paul pioneer press,2001,11,18,20011118,corey_56.0_rt,1,1,0,1
Immigration1.0-11034,0,0,1,washington post,2001,11,18,20011118,emily_56.2_rt,0.5,1,0,1
Immigration1.0-11034,0,0,1,washington post,2001,11,18,20011118,spencer_56.0_rt,0.5,1,0,1
Immigration1.0-35410,0,0,1,new york times,1983,5,24,19830524,emily_56.2_rt,0.5,1,0,1
Immigration1.0-35410,0,0,1,new york times,1983,5,24,19830524,spencer_56.0_rt,0.5,1,0,1
Immigration1.0-7430,0,0,1,philadelphia inquirer,2000,2,19,20000219,gareth_60.0_rt,0.5,1,0,1
Immigration1.0-7430,0,0,1,philadelphia inquirer,2000,2,19,20000219,allie_60.0_rt,0.5,1,0,1
Immigration1.0-19011,0,0,1,daily news,2005,12,23,20051223,nick_58.2_rt,0.5,0,1,0
Immigration1.0-19011,0,0,1,daily news,2005,12,23,20051223,emily_58.0_rt,0.5,0,1,0
Immigration1.0-7436,0,0,1,st. louis post-dispatch,2000,2,19,20000219,corey_54.0_r,0.5,1,0,1
Immigration1.0-7436,0,0,1,st. louis post-dispatch,2000,2,19,20000219,laurie_54.0_r,0.5,1,0,1
Immigration1.0-7438,0,0,1,washington post,2000,2,19,20000219,allie_60.2_rt,0.5,1,0,1
Immigration1.0-7438,0,0,1,washington post,2000,2,19,20000219,corey_60.2_rt,0.5,1,0,1
Immigration1.0-41212,0,0,1,san jose mercury news,1994,11,11,19941111,dana_57.0_rt,0.5,1,0,1
Immigration1.0-41212,0,0,1,san jose mercury news,1994,11,11,19941111,corey_57.0_rt,0.5,1,0,1
Immigration1.0-18490,0,0,1,daily news,2005,10,13,20051013,gareth_56.0_rt,0.5,1,0,1
Immigration1.0-18490,0,0,1,daily news,2005,10,13,20051013,corey_56.2_rt,0.5,1,0,1
Immigration1.0-18491,0,0,1,palm beach post,2005,10,13,20051013,alex_54.0_r,0.5,1,0,1
Immigration1.0-18491,0,0,1,palm beach post,2005,10,13,20051013,emily_54.0_r,0.5,1,0,1
Immigration1.0-18492,0,0,1,st. petersburg times,2005,10,13,20051013,nick_59.0_rt,0.5,1,0,1
Immigration1.0-18492,0,0,1,st. petersburg times,2005,10,13,20051013,spencer_59.0_rt,0.5,1,0,1
Immigration1.0-6740,0,0,1,palm beach post,1999,5,25,19990525,nick_58.0_rt,0.5,1,0,1
Immigration1.0-6740,0,0,1,palm beach post,1999,5,25,19990525,laurie_58.0_rt,0.5,1,0,1
Immigration1.0-6742,0,0,1,new york times,1999,5,23,19990523,alex_59.0_rt,0.5,1,0,1
Immigration1.0-6742,0,0,1,new york times,1999,5,23,19990523,allie_59.0_rt,0.5,1,0,1
Immigration1.0-26315,0,0,1,new york times,2008,5,27,20080527,corey_59.0_rt,0.5,1,0,1
Immigration1.0-26315,0,0,1,new york times,2008,5,27,20080527,dana_59.0_rt,0.5,1,0,1
Immigration1.0-26311,0,0,1,atlanta journal and constitution,2008,5,27,20080527,nick_58.2_rt,0.5,0,1,0
Immigration1.0-26311,0,0,1,atlanta journal and constitution,2008,5,27,20080527,emily_58.0_rt,0.5,0,1,0
Immigration1.0-6749,0,0,1,new york times,1999,5,21,19990521,emily_61.0_rt,0.5,1,0,1
Immigration1.0-6749,0,0,1,new york times,1999,5,21,19990521,gareth_61.2_rt,0.5,1,0,1
Immigration1.0-13863,0,0,1,atlanta journal and constitution,2003,6,5,20030605,alex_55.0_r,0.5,1,0,1
Immigration1.0-13863,0,0,1,atlanta journal and constitution,2003,6,5,20030605,allie_55.0_r,0.5,1,0,1
Immigration1.0-18167,0,0,1,new york times,2005,12,10,20051210,allie_54.0_r,0.5,0,1,0
Immigration1.0-18167,0,0,1,new york times,2005,12,10,20051210,hannah_54.0_r,0.5,0,1,0
Immigration1.0-16562,0,0,1,san jose mercury news,2004,11,19,20041119,emily_60.0_rt,0.5,1,0,1
Immigration1.0-16562,0,0,1,san jose mercury news,2004,11,19,20041119,nick_60.0_rt,0.5,1,0,1
Immigration1.0-18721,0,1,0,denver post,2006,2,12,20060212,nick_58.2_rt,0.5,1,0,1
Immigration1.0-18721,0,1,0,denver post,2006,2,12,20060212,emily_58.0_rt,0.5,1,0,1
Immigration1.0-18727,0,0,1,washington post,2006,2,12,20060212,gareth_58.0_rt,0.5,1,0,1
Immigration1.0-18727,0,0,1,washington post,2006,2,12,20060212,allie_58.2_rt,0.5,1,0,1
Immigration1.0-36143,0,0,1,new york times,1986,7,8,19860708,alex_54.0_r,0.5,1,0,1
Immigration1.0-36143,0,0,1,new york times,1986,7,8,19860708,emily_54.0_r,0.5,1,0,1
Immigration1.0-18729,0,0,1,atlanta journal and constitution,2006,2,11,20060211,dana_62.0_rt,0.25,1,0,1
Immigration1.0-18729,0,0,1,atlanta journal and constitution,2006,2,11,20060211,kristine_65.0_rt,0.25,1,0,1
Immigration1.0-18729,0,0,1,atlanta journal and constitution,2006,2,11,20060211,gareth_62.0_rt,0.25,1,0,1
Immigration1.0-18729,0,0,1,atlanta journal and constitution,2006,2,11,20060211,allie_65.0_rt,0.25,1,0,1
Immigration1.0-10802,0,0,1,washington post,2001,12,20,20011220,gareth_58.0_rt,0.5,1,0,1
Immigration1.0-10802,0,0,1,washington post,2001,12,20,20011220,allie_58.2_rt,0.5,1,0,1
Immigration1.0-32393,0,0,1,new york times,2012,1,24,20120124,laurie_55.0_r,0.5,0,1,0
Immigration1.0-32393,0,0,1,new york times,2012,1,24,20120124,emily_55.2_r,0.5,0,1,0
Immigration1.0-34768,0,0,1,new york times,1981,10,10,19811010,nick_56.0_rt,0.5,1,0,1
Immigration1.0-34768,0,0,1,new york times,1981,10,10,19811010,allie_56.0_rt,0.5,1,0,1
Immigration1.0-25663,0,0,1,denver post,2007,10,31,20071031,allie_62.0_rt,0.5,1,0,1
Immigration1.0-25663,0,0,1,denver post,2007,10,31,20071031,emily_62.0_rt,0.5,1,0,1
Immigration1.0-20949,0,0,1,atlanta journal and constitution,2006,6,21,20060621,laurie_59.0_rt,0.5,0,1,0
Immigration1.0-20949,0,0,1,atlanta journal and constitution,2006,6,21,20060621,gareth_59.0_rt,0.5,0,1,0
Immigration1.0-30733,0,0,1,daily news,2010,12,31,20101231,alex_55.0_r,0.5,1,0,1
Immigration1.0-30733,0,0,1,daily news,2010,12,31,20101231,allie_55.0_r,0.5,1,0,1
Immigration1.0-30736,0,0,1,washington post,2010,12,31,20101231,dana_57.0_rt,0.5,1,0,1
Immigration1.0-30736,0,0,1,washington post,2010,12,31,20101231,corey_57.0_rt,0.5,1,0,1
Immigration1.0-32645,0,0,1,st. petersburg times,2011,11,28,20111128,corey_59.0_rt,0.5,1,0,1
Immigration1.0-32645,0,0,1,st. petersburg times,2011,11,28,20111128,dana_59.0_rt,0.5,1,0,1
Immigration1.0-32646,0,0,1,washington post,2011,11,28,20111128,gareth_56.0_rt,0.5,1,0,1
Immigration1.0-32646,0,0,1,washington post,2011,11,28,20111128,corey_56.2_rt,0.5,1,0,1
Immigration1.0-9338,0,0,1,atlanta journal and constitution,2001,2,22,20010222,sam_62.0_rt,0.5,1,0,1
Immigration1.0-9338,0,0,1,atlanta journal and constitution,2001,2,22,20010222,alex_62.0_rt,0.5,1,0,1
Immigration1.0-25271,0,0,1,st. petersburg times,2007,8,25,20070825,dana_60.0_rt,0.5,1,0,1
Immigration1.0-25271,0,0,1,st. petersburg times,2007,8,25,20070825,sam_60.0_rt,0.5,1,0,1
Immigration1.0-28312,0,1,0,san jose mercury news,2009,11,17,20091117,nick_58.2_rt,0.5,1,0,1
Immigration1.0-28312,0,1,0,san jose mercury news,2009,11,17,20091117,emily_58.0_rt,0.5,1,0,1
Immigration1.0-28316,0,0,1,new york times,2009,11,14,20091114,gareth_61.0_rt,0.5,1,0,1
Immigration1.0-28316,0,0,1,new york times,2009,11,14,20091114,nick_61.0_rt,0.5,1,0,1
Immigration1.0-34393,0,0,1,new york times,1980,4,8,19800408,allie_54.0_r,0.5,1,0,1
Immigration1.0-34393,0,0,1,new york times,1980,4,8,19800408,hannah_54.0_r,0.5,1,0,1
Immigration1.0-9806,0,0,1,new york times,2001,5,23,20010523,nick_58.2_rt,0.5,1,0,1
Immigration1.0-9806,0,0,1,new york times,2001,5,23,20010523,emily_58.0_rt,0.5,1,0,1
Immigration1.0-5464,0,0,1,herald-sun,1998,5,31,19980531,allie_60.2_rt,0.5,1,0,1
Immigration1.0-5464,0,0,1,herald-sun,1998,5,31,19980531,corey_60.2_rt,0.5,1,0,1
Immigration1.0-9773,0,0,1,saint paul pioneer press,2001,5,27,20010527,dana_61.0_rt,0.5,1,0,1
Immigration1.0-9773,0,0,1,saint paul pioneer press,2001,5,27,20010527,spencer_61.0_rt,0.5,1,0,1
Immigration1.0-17575,0,0,1,washington post,2005,4,15,20050415,corey_58.0_rt,0.5,1,0,1
Immigration1.0-17575,0,0,1,washington post,2005,4,15,20050415,spencer_58.2_rt,0.5,1,0,1
Immigration1.0-4846,0,0,1,philadelphia inquirer,1998,3,22,19980322,sam_57.0_rt,0.5,1,0,1
Immigration1.0-4846,0,0,1,philadelphia inquirer,1998,3,22,19980322,allie_57.0_rt,0.5,1,0,1
Immigration1.0-1363,0,0,1,st. louis post-dispatch,1996,3,21,19960321,emily_60.0_rt,0.5,1,0,1
Immigration1.0-1363,0,0,1,st. louis post-dispatch,1996,3,21,19960321,nick_60.0_rt,0.5,1,0,1
Immigration1.0-1361,0,1,0,st. petersburg times,1996,3,21,19960321,hannah_65.0_rt,0.5,1,0,1
Immigration1.0-1361,0,1,0,st. petersburg times,1996,3,21,19960321,alex_65.0_rt,0.5,1,0,1
Immigration1.0-38273,0,0,1,palm beach post,1992,5,6,19920506,jeremy_57.0_rt,0.5,1,0,1
Immigration1.0-38273,0,0,1,palm beach post,1992,5,6,19920506,kristine_58.0_rt,0.5,1,0,1
Immigration1.0-38276,0,1,0,new york times,1992,5,3,19920503,emily_61.0_rt,0.5,1,0,1
Immigration1.0-38276,0,1,0,new york times,1992,5,3,19920503,gareth_61.2_rt,0.5,1,0,1
Immigration1.0-4513,0,0,1,denver post,1997,10,31,19971031,corey_64.0_rt,0.5,1,0,1
Immigration1.0-4513,0,0,1,denver post,1997,10,31,19971031,spencer_64.0_rt,0.5,1,0,1
Immigration1.0-31606,0,0,1,atlanta journal and constitution,2011,7,5,20110705,emily_56.2_rt,0.5,1,0,1
Immigration1.0-31606,0,0,1,atlanta journal and constitution,2011,7,5,20110705,spencer_56.0_rt,0.5,1,0,1
Immigration1.0-4514,0,0,1,palm beach post,1997,10,31,19971031,nick_62.0_rt,0.5,1,0,1
Immigration1.0-4514,0,0,1,palm beach post,1997,10,31,19971031,kristine_62.0_rt,0.5,1,0,1
Immigration1.0-39059,0,0,1,new york times,1992,6,21,19920621,nick_58.0_rt,0.5,1,0,1
Immigration1.0-39059,0,0,1,new york times,1992,6,21,19920621,laurie_58.0_rt,0.5,1,0,1
Immigration1.0-29407,0,0,1,palm beach post,2010,5,6,20100506,gareth_58.0_rt,0.5,1,0,1
Immigration1.0-29407,0,0,1,palm beach post,2010,5,6,20100506,allie_58.2_rt,0.5,1,0,1
Immigration1.0-14006,0,0,1,saint paul pioneer press,2003,5,15,20030515,sam_62.0_rt,0.5,1,0,1
Immigration1.0-14006,0,0,1,saint paul pioneer press,2003,5,15,20030515,alex_62.0_rt,0.5,1,0,1
Immigration1.0-14002,0,0,1,new york times,2003,5,15,20030515,allie_54.0_r,0.5,1,0,1
Immigration1.0-14002,0,0,1,new york times,2003,5,15,20030515,hannah_54.0_r,0.5,1,0,1
Immigration1.0-10249,0,0,1,denver post,2001,7,14,20010714,corey_64.0_rt,0.5,0,1,0
Immigration1.0-10249,0,0,1,denver post,2001,7,14,20010714,spencer_64.0_rt,0.5,0,1,0
Immigration1.0-10246,0,0,1,palm beach post,2001,7,15,20010715,gareth_58.0_rt,0.5,0,1,0
Immigration1.0-10246,0,0,1,palm beach post,2001,7,15,20010715,allie_58.2_rt,0.5,0,1,0
Immigration1.0-8177,0,0,1,atlanta journal and constitution,2000,3,16,20000316,corey_54.0_r,0.5,1,0,1
Immigration1.0-8177,0,0,1,atlanta journal and constitution,2000,3,16,20000316,laurie_54.0_r,0.5,1,0,1
Immigration1.0-16717,0,0,1,daily news,2004,10,12,20041012,allie_61.0_rt,0.5,1,0,1
Immigration1.0-16717,0,0,1,daily news,2004,10,12,20041012,alex_61.0_rt,0.5,1,0,1
Immigration1.0-23335,0,0,1,new york times,2007,2,27,20070227,sam_62.0_rt,0.5,1,0,1
Immigration1.0-23335,0,0,1,new york times,2007,2,27,20070227,alex_62.0_rt,0.5,1,0,1
Immigration1.0-583,0,0,1,daily news,1995,6,23,19950623,gareth_56.0_rt,0.5,1,0,1
Immigration1.0-583,0,0,1,daily news,1995,6,23,19950623,corey_56.2_rt,0.5,1,0,1
Immigration1.0-21796,0,0,1,washington post,2006,7,1,20060701,allie_62.0_rt,0.5,0,1,0
Immigration1.0-21796,0,0,1,washington post,2006,7,1,20060701,emily_62.0_rt,0.5,0,1,0
Immigration1.0-21794,0,0,1,st. petersburg times,2006,7,1,20060701,sam_59.0_rt,0.5,1,0,1
Immigration1.0-21794,0,0,1,st. petersburg times,2006,7,1,20060701,emily_59.0_rt,0.5,1,0,1
Immigration1.0-40623,0,0,1,palm beach post,1994,6,11,19940611,corey_56.0_rt,0.5,1,0,1
Immigration1.0-40623,0,0,1,palm beach post,1994,6,11,19940611,emily_56.0_rt,0.5,1,0,1
Immigration1.0-8015,0,0,1,st. louis post-dispatch,2000,4,9,20000409,allie_61.0_rt,0.5,0,1,0
Immigration1.0-8015,0,0,1,st. louis post-dispatch,2000,4,9,20000409,alex_61.0_rt,0.5,0,1,0
Immigration1.0-637,0,0,1,atlanta journal and constitution,1995,6,15,19950615,nick_59.0_rt,0.5,1,0,1
Immigration1.0-637,0,0,1,atlanta journal and constitution,1995,6,15,19950615,spencer_59.0_rt,0.5,1,0,1
Immigration1.0-636,0,0,1,philadelphia inquirer,1995,6,16,19950616,spencer_60.2_rt,0.5,1,0,1
Immigration1.0-636,0,0,1,philadelphia inquirer,1995,6,16,19950616,alex_60.0_rt,0.5,1,0,1
Immigration1.0-32000,0,0,1,palm beach post,2011,10,10,20111010,sam_59.0_rt,0.5,0,1,0
Immigration1.0-32000,0,0,1,palm beach post,2011,10,10,20111010,emily_59.0_rt,0.5,0,1,0
Immigration1.0-19357,0,0,1,herald-sun,2006,3,22,20060322,gareth_61.0_rt,0.5,0,1,0
Immigration1.0-19357,0,0,1,herald-sun,2006,3,22,20060322,nick_61.0_rt,0.5,0,1,0
Immigration1.0-19601,0,0,1,new york times,2006,4,12,20060412,alex_54.0_r,0.5,0,1,0
Immigration1.0-19601,0,0,1,new york times,2006,4,12,20060412,emily_54.0_r,0.5,0,1,0
Immigration1.0-22313,0,0,1,san jose mercury news,2006,11,15,20061115,alex_58.0_rt,0.5,1,0,1
Immigration1.0-22313,0,0,1,san jose mercury news,2006,11,15,20061115,dana_58.0_rt,0.5,1,0,1
Immigration1.0-12878,0,0,1,denver post,2002,12,26,20021226,hannah_65.0_rt,0.5,1,0,1
Immigration1.0-12878,0,0,1,denver post,2002,12,26,20021226,alex_65.0_rt,0.5,1,0,1
Immigration1.0-14318,0,0,1,herald-sun,2003,9,24,20030924,dana_57.0_rt,0.5,1,0,1
Immigration1.0-14318,0,0,1,herald-sun,2003,9,24,20030924,corey_57.0_rt,0.5,1,0,1
Immigration1.0-16,0,0,1,san jose mercury news,1995,4,25,19950425,corey_59.0_rt,0.5,1,0,1
Immigration1.0-16,0,0,1,san jose mercury news,1995,4,25,19950425,dana_59.0_rt,0.5,1,0,1
Immigration1.0-9948,0,0,1,st. petersburg times,2001,8,25,20010825,gareth_60.0_rt,0.5,0,1,0
Immigration1.0-9948,0,0,1,st. petersburg times,2001,8,25,20010825,allie_60.0_rt,0.5,0,1,0
Immigration1.0-9491,0,0,1,philadelphia inquirer,2001,1,11,20010111,nick_59.0_rt,0.5,1,0,1
Immigration1.0-9491,0,0,1,philadelphia inquirer,2001,1,11,20010111,spencer_59.0_rt,0.5,1,0,1
Immigration1.0-25786,0,1,0,st. louis post-dispatch,2007,10,18,20071018,allie_58.0_rt,0.5,1,0,1
Immigration1.0-25786,0,1,0,st. louis post-dispatch,2007,10,18,20071018,spencer_58.0_rt,0.5,1,0,1
